,0
717,Bhagidari Party(P)
718,Bharatiya Ekta Dal
719,Viro Ke Vir Indian Party
720,Loktantrik Samajik Nyay Party
721,Bhartiya Manavta Party
722,Hindustan Peoples Party (Democratic)
723,Jan Janwadi Party
724,Akhil Bhartiya Parivar Party
725,Loktantrik Lok Rajyam Party
726,Hamara Sahara Party
727,Rashtrawadi Janlok Party (Satya)
728,Samajwadi Lok Parishad
729,Pragatisheel Magahi Samaj
730,Adarsh Jankalyan Dal
731,Bhartiya Sarthak Party
732,Rashtriya Jan Kalyan Party Secular
733,Yuva Bihar Sena
734,Karpoori Janta Dal
735,Bhartiya Lok Chetna Party
736,Naki Bharatiya Ekta Party
737,Bhartiya Lok Nayak Party
738,Bhartiya Gandhiwadi Party
739,Aazad Samaj Party (Kanshi Ram)
740,Sanyukt Kisan Vikas Party
741,Akhand Bharat Janpriya Party
742,Bhartiya Jagaran Party
743,Samajhdar Party
744,Rashtriya Lok Morcha
745,Rashtriya Sanatan Party
746,Bharat Jago Janta Party
747,Super Power India Party
748,Sainik Samaj Party
749,Haryana Jansena Party
750,Hamar Raj Party
751,Aap Sabki Apni Party
752,Sarv Adi Dal
753,Azad Janata Party
754,Bhrashtachar Mukti Morcha
755,Dhoom Sena
756,Nyaydharmsabha
757,Loktantra Congress Party
758,Bhartiya Janta Secular Party
759,Asankhya Samaj Party
760,Lokshahi Ekta Party
761,Jindabad Kranti Party
762,Bahujan Dravida Party
763,Jai Hind National Party
764,Rashtriya Suraksha Party
765,India Greens Party
766,Samaj Vikas Kranti Party
767,Bharatiya Jan Jagriti Party
768,Public Political Party
769,Rashtriya Republican Party
770,Sarvlokhit Samaj Party
771,Bahujan Shoshit Samaj Sangharsh Samta Party
772,Log Party
773,Akhil Bhartiya Sudhar Party
774,Aman Samaj Party
775,Hamara Sahi Vikalp Party
776,Bahujan National Party (Ambedkar)
777,Saman Adhikar Party
778,Rashtravadi Loktantrik Party (India)
779,Aam Janshakti Party
780,Bharatiya Liberal Party
781,Azad Samaj Party
782,Swaraj Bhartiya Nyay Party
783,Rashtriya Janmorcha
784,Delhi Janta Party
785,Bhartiya Mahasangh Party
786,Bhartiya Veer Dal
787,Revolutionary Goans Party
788,Swatantrata Abhivyakti Party
789,Hindrashtra Sangh
790,Gujarat Sarva Samaj Party
791,Gujarat Loktantra Party
792,Sarva Samaj Janata Party
793,Akhila Vijaya Party
794,Gunj Satya Ni Janata Party
795,Bhartiya Jan Parishad
796,Garib Kalyan Party
797,New India United Party
798,Satyawadi Rakshak Party
799,Malwa Congress
800,Aadi Bharat Party
801,Dhanwan Bharat Party
802,Aapki Awaaz Party
803,Aam Janmat Party
804,Swaraj Kranti Party
805,Rashtriya Mahaswaraj Bhumi Party
806,Saath Sahakar Vikas Party
807,Mission All India Independent Justice Party
808,Bharatiya Yuva Jan Ekta Party
809,Youth India Peace Party
810,Global Republican Party
811,Hindvi Swarajyay Dal
812,Democratic Bharatiya Samaj Party
813,Insaniyat Party
814,Jan Sewa Driver Party
815,Indian National Lok Dal
816,Samst Samaj Party
817,Swayam Shashan Party
818,Samrat Mihir Bhoj Samaj Party
819,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann)
820,Vikas India Party
821,Nationalist Congress Party – Sharadchandra Pawar
822,Aam Aadmi Parivartan Party
823,Bharatiya Asha Party
824,Akhil Bhartiya Kisan Majdoor Party
825,Buland Bharat Party
826,Rashtriya Janshakti Party(Eklavya)
827,Jan Sewak Kranti Party
828,Rashtriya Devbhumi Party
829,Rashtriya Samaj Dal (R)
830,Himachal Janta Party
831,Democratic Progressive Azad Party
832,Jammu & Kashmir National Panthers Party (Bhim)
833,National Loktantrik Party
834,Jammu and Kashmir Apni Party
835,Garib Democratic Party
836,Jammu and Kashmir Nationalist Peoples Front
837,National Awami United Party
838,Bharat Jodo Party
839,Lokhit Adhikar Party
840,Indian National Socialistic Action Forces
841,Abua Jharkhand Party
842,Akhil Bhartiya Manavadhikar Vichar Manch Party
843,Bhartiya Jantantra Morcha
844,Rashtriya Jan Utkarsh Party
845,Navyug Pragatisheel Morcha
846,Sampoorna Bharat Kranti Party
847,Sarv Samaj Party
848,Bahujan Bharat Party
849,Indian Movement Party
850,Tipu Sultan Party
851,Karnataka Rashtra Samithi
852,Karunaadu Party
853,Young Star Empowerment Party
854,Dr. Ambedkar Peoples Party
855,Janahitha Paksha
856,Kannada Paksha
857,Karunada Sevakara Party
858,Navabharath Sena
859,Janata Dal (Secular)
860,Voters Independent Party
861,Bhartiya Jan Samrat Party
862,Digvijaya Bharatha Party
863,Rani Chennamma Party
864,BhartiyaBahujanKranti Dal
865,Desh Prem Party
866,Republican Party of India Bharatha
867,Twenty 20 Party
868,New Labour Party
869,Indian Union Muslim League
870,Rashtriya Jan Awaz Party
871,Chhatrapati Shivaji Bhartiya Garib Party
872,Parivartan Party of India
873,Manviya Bharat Party
874,Swatantra Kisan Party
875,Mahanwadi Party
876,Aadim Samaj Party
877,Bhim Sena
878,National World Leader Party
879,Rashtravadi Bharat Party
880,Bhartiya Samajik Party
881,Akhil Bhartiya Aarakshit Samaj Party
882,Akhil Bharatiya Hind Kranti Party
883,Indian Peoples Adhikar Party
884,Rashtra Samarpan Party
885,Rashtra Uday Party
886,Lok Samaj Party
887,Kranti Janshakti Party
888,Aapka Gantantra Party
889,Manav Samadhan Party
890,Akhand Bharat Samrajya Party
891,Rashtriya Hind Ekta Dal
892,ShivSena (Uddhav Balasaheb Thackeray)
893,All India Majlis-E-Inquilab-E-Millat
894,Jay Vidarbha Party
895,Rashtriya Sant Sandesh Party
896,All India National Raksha Sena
897,Bharatiya Mulnivasi Aazad Party
898,Swarajya Shakti Sena
899,Samnak Janta Party
