State,Constituency_No,Constituency,Party,Candidate Name,Gender,Age
Maharashtra,48,Hatkanangale,Independent,RAMCHANDRA GOVINDRAO SALUNKHE,M,52
Maharashtra,48,Hatkanangale,Independent,SANTOSH KERBA KHOT,M,43
Maharashtra,48,Hatkanangale,Independent,MANOHAR PRADIP SATPUTE,M,33
Maharashtra,48,Hatkanangale,Bahujan Mukti Party,IMRAN IQBAL KHATIB,M,42
Maharashtra,48,Hatkanangale,Lokrajya Janata Party,DHANAJI JAGANNATH GURAV (SHIVAREKAR),M,53
Maharashtra,48,Hatkanangale,Vanchit Bahujan  Aaghadi,D. C. PATIL DADASAHEB / DADGONDA CHAVGONDA PATIL,M,65
Maharashtra,48,Hatkanangale,Independent,ANANDRAO TUKARAM THORAT,M,61
Maharashtra,48,Hatkanangale,Bharatiya Lokshakti Party,DR. ISHWAR MAHADEV YAMGAR,M,32
Maharashtra,48,Hatkanangale,Bharatheeya Jawan Kisan Party,RAGHUNATHDADA PATIL,M,72
Maharashtra,48,Hatkanangale,Independent,MOHITE DEVENDRA NANA,M,71
Maharashtra,48,Hatkanangale,Independent,RAGHUNATHDADA PATIL,M,72
Maharashtra,48,Hatkanangale,ShivSena (Uddhav Balasaheb Thackeray),SATYAJEET BABASAHEB PATIL (AABA) SARUDKAR,M,49
Maharashtra,48,Hatkanangale,Shiv Sena,DHAIRYASHEEL SAMBHAJIRAO MANE,M,43
Maharashtra,48,Hatkanangale,Independent,RAJU SHETTI,M,56
Maharashtra,48,Hatkanangale,Independent,SHIVAJI DHONDIRAM SANKPAL,M,66
Manipur,1,Inner Manipur,Independent,HAORUNGBAM SARAT SINGH,M,69
Manipur,1,Inner Manipur,Independent,MOIRANGTHEM TOTOMSHANA NONGSHABA,M,52
Manipur,1,Inner Manipur,Indian National Congress,ANGOMCHA BIMOL AKOIJAM,M,57
Manipur,1,Inner Manipur,Bharatiya Janata Party,THOUNAOJAM BASANTA KUMAR SINGH,M,59
Manipur,1,Inner Manipur,Independent,RAJKUMAR SOMENDRO SINGH,M,45
Manipur,1,Inner Manipur,Republican Party of India (Athawale),MAHESHWAR THOUNAOJAM,M,32
Manipur,2,Outer Manipur,Indian National Congress,ALFRED KANNGAM S ARTHUR,M,50
Manipur,2,Outer Manipur,Independent,S KHO JOHN,M,60
Manipur,2,Outer Manipur,Naga Peoples Front,KACHUI TIMOTHY ZIMIK,M,62
Manipur,2,Outer Manipur,Independent,ALYSON ABONMAI,M,38
Meghalaya,1,Shillong,Indian National Congress,VINCENT H. PALA,M,56
Meghalaya,1,Shillong,National People's Party,DR. MAZEL AMPAREEN LYNGDOH,F,58
Meghalaya,1,Shillong,Voice of the People Party,DR. RICKY ANDREW J. SYNGKON,M,52
Meghalaya,1,Shillong,United Democratic Party,ROBERTJUNE KHARJAHRIN,M,35
Meghalaya,1,Shillong,Independent,PROF. LAKHON KMA,M,47
Meghalaya,1,Shillong,Independent,PETER SHALLAM,M,58
Meghalaya,2,Tura,All India Trinamool Congress,ZENITH M SANGMA,M,53
Meghalaya,2,Tura,Independent,LABENN CH MARAK,M,44
Meghalaya,2,Tura,National People's Party,AGATHA K SANGMA,F,43
Meghalaya,2,Tura,Indian National Congress,SALENG A SANGMA,M,45
Mizoram,1,MIZORAM,Bharatiya Janata Party,VANLALHMUAKA,M,53
Mizoram,1,MIZORAM,Indian National Congress,LALBIAKZAMA,M,64
Mizoram,1,MIZORAM,Mizo National Front,K VANLALVENA,M,54
Mizoram,1,MIZORAM,Independent,LALHRIATRENGA CHHANGTE,M,59
Mizoram,1,MIZORAM,Mizoram People's Conference,RITA MALSAWMI,F,49
Mizoram,1,MIZORAM,Zoram Peopleâs Movement,RICHARD VANLALHMANGAIHA,M,45
Nagaland,1,Nagaland,Indian National Congress,S SUPONGMEREN JAMIR,M,61
Nagaland,1,Nagaland,Nationalist Democratic Progressive Party,DR CHUMBEN MURRY,M,61
Nagaland,1,Nagaland,Independent,HAYITHUNG TUNGOE LOTHA,M,43
NCT OF Delhi,1,Chandni Chowk,Independent,SUNIL KUMAR,M,49
NCT OF Delhi,1,Chandni Chowk,Azad Samaj Party,SEEMA RIZVI,F,41
NCT OF Delhi,1,Chandni Chowk,Bahujan Samaj Party,ABUL KALAM AZAD,M,48
NCT OF Delhi,1,Chandni Chowk,Bharatheeya Jawan Kisan Party,MOHD HAMID,M,42
NCT OF Delhi,1,Chandni Chowk,Aman Samaj Party,MD NAZIR,M,50
NCT OF Delhi,1,Chandni Chowk,Akhil Bhartiya Parivar Party,VINOD KUMAR GUPTA,M,48
NCT OF Delhi,1,Chandni Chowk,Public Political Party,HEENA,F,30
NCT OF Delhi,1,Chandni Chowk,Bharatiya Liberal Party,YOGENDER SINGH,M,48
NCT OF Delhi,1,Chandni Chowk,Rashtriya Mangalam Party,RAHUL SHARMA,M,27
NCT OF Delhi,1,Chandni Chowk,Bharatiya Janata Party,PRAVEEN KHANDELWAL,M,64
NCT OF Delhi,1,Chandni Chowk,Indian National Congress,JAI PRAKASH AGARWAL,M,79
NCT OF Delhi,1,Chandni Chowk,Independent,PYUSH NARULA,M,46
NCT OF Delhi,1,Chandni Chowk,Socialist Unity Centre Of India (COMMUNIST),RITU KAUSHIK,F,45
NCT OF Delhi,1,Chandni Chowk,Swaraj Bhartiya Nyay Party,SOHARSH GULGULIA JAIN,M,37
NCT OF Delhi,1,Chandni Chowk,Atulya Bharat Party,UMESH RATHOR,M,54
NCT OF Delhi,1,Chandni Chowk,Rashtriya Republican Party,SAMEER MIRZA,M,34
NCT OF Delhi,1,Chandni Chowk,Bharat Lok Sewak Party,RAJESH GUPTA,M,66
NCT OF Delhi,1,Chandni Chowk,Independent,ASHOK KUMAR GUPTA,M,64
NCT OF Delhi,1,Chandni Chowk,Independent,SUBHASH CHANDER,M,67
NCT OF Delhi,1,Chandni Chowk,Peoples Party of India (Democratic),GULJAR SINGH,M,65
NCT OF Delhi,1,Chandni Chowk,Akhil Bhartiya Sudhar Party,MANOJ KUMAR NIGAM,M,55
NCT OF Delhi,1,Chandni Chowk,Satya Bahumat Party,SATYA DEV CHAUDHARY,M,72
NCT OF Delhi,1,Chandni Chowk,Right to Recall Party,SHIVAM SAINI,M,28
NCT OF Delhi,1,Chandni Chowk,Gareeb Aadmi Party,SHYAM BHARTEEY,M,54
NCT OF Delhi,1,Chandni Chowk,Navarang Congress Party,SHAIK JALEEL,M,49
NCT OF Delhi,2,North-East Delhi,Independent,RAVI KIRAN THILAK THATIKONDA,M,31
NCT OF Delhi,2,North-East Delhi,Bharatiya Liberal Party,SANJEEV KUMAR PANDEY,M,54
NCT OF Delhi,2,North-East Delhi,Navarang Congress Party,SUNITA,F,49
NCT OF Delhi,2,North-East Delhi,Independent,MANOJ KUMAR,M,39
NCT OF Delhi,2,North-East Delhi,Swatantra Jantaraj Party,KANHI LAL,M,46
NCT OF Delhi,2,North-East Delhi,Public Political Party,SANJEEV KUMAR,M,46
NCT OF Delhi,2,North-East Delhi,Right to Recall Party,AJAY TIWARI,M,40
NCT OF Delhi,2,North-East Delhi,Bahujan Samaj Party,ASHOK KUMAR,M,66
NCT OF Delhi,2,North-East Delhi,Independent,DR. RAJESH KUMAR SINGH,M,53
NCT OF Delhi,2,North-East Delhi,Independent,YOGESH SWAMY,M,41
NCT OF Delhi,2,North-East Delhi,Rashtrawadi Janlok Party (Satya),NIVEDITA SHARMA âPREMâ,F,57
NCT OF Delhi,2,North-East Delhi,Independent,BIRPAL SINGH KOLI,M,54
NCT OF Delhi,2,North-East Delhi,Independent,SAROJ KUMAR RAY,M,33
NCT OF Delhi,2,North-East Delhi,Jindabad Kranti Party,LAKSHYA VASHIST (SHYAM),M,39
NCT OF Delhi,2,North-East Delhi,Indian National Congress,KANHAIYA KUMAR,M,37
NCT OF Delhi,2,North-East Delhi,Prabuddha Republican Party,ADV. K.T. PALUSKAR,M,66
NCT OF Delhi,2,North-East Delhi,Independent,ASHOK MISHRA,M,46
NCT OF Delhi,2,North-East Delhi,Aazad Samaj Party (Kanshi Ram),BABITA YADAV,F,38
NCT OF Delhi,2,North-East Delhi,Jai Hind National Party,AKASH SRIVASTAV,M,28
NCT OF Delhi,2,North-East Delhi,Independent,AKESHAN DUT,M,30
NCT OF Delhi,2,North-East Delhi,Bharatiya Janata Party,MANOJ TIWARI,M,53
NCT OF Delhi,2,North-East Delhi,Aapki Apni Party (Peoples),SUSHIL CHOUDHARY,M,44
NCT OF Delhi,2,North-East Delhi,Socialist Unity Centre Of India (COMMUNIST),PRAKASH DEVI,F,56
NCT OF Delhi,2,North-East Delhi,Independent,VIJAY KUMAR JHA,M,48
NCT OF Delhi,2,North-East Delhi,Rashtriya Samaj Paksha,JAGDISH,M,44
NCT OF Delhi,2,North-East Delhi,Rashtriya Janmorcha,SUBHASH,M,49
NCT OF Delhi,2,North-East Delhi,Bharatrashtra Democratic Party,ISHWAR CHAND,M,71
NCT OF Delhi,2,North-East Delhi,Peoples Party of India (Democratic),ADV. BHIM KISHOR,M,33
NCT OF Delhi,3,East Delhi,Independent,ARUNIMA GAUTAM,F,35
NCT OF Delhi,3,East Delhi,Independent,RODASH GUPTA,M,43
NCT OF Delhi,3,East Delhi,Navarang Congress Party,A. GOPALA KRISHNA,M,32
NCT OF Delhi,3,East Delhi,Aam Aadmi Party,KULDEEP KUMAR (MONU),M,35
NCT OF Delhi,3,East Delhi,Independent,KULDEEP KUMAR,M,40
NCT OF Delhi,3,East Delhi,Bahujan Samaj Party,MOHD. WAQAR CHOUDHARY,M,41
NCT OF Delhi,3,East Delhi,Peoples Party of India (Democratic),SURENDRA SINGH BASOYA,M,48
NCT OF Delhi,3,East Delhi,Independent,AMIT GUPTA,M,49
NCT OF Delhi,3,East Delhi,Ekam Sanatan Bharat Dal,JYOTI PRAKASH (MONU),M,46
NCT OF Delhi,3,East Delhi,Bhartiya Veer Dal,YOGESH CHAUDHARY,M,51
NCT OF Delhi,3,East Delhi,Independent,OM SHANKAR,M,46
NCT OF Delhi,3,East Delhi,Bharatiya Janata Party,HARSH MALHOTRA,M,60
NCT OF Delhi,3,East Delhi,Independent,MANOJ KUMAR GUPTA (SWARAJI),M,47
NCT OF Delhi,3,East Delhi,Rashtra Nirman Party,ADVOCATE MANJEET SINGH,M,36
NCT OF Delhi,3,East Delhi,Independent,VIMAL KUMAR SAXENA,M,64
NCT OF Delhi,3,East Delhi,Bahujan Dravida Party,LAL SINGH,M,65
NCT OF Delhi,3,East Delhi,Public Political Party,SANJAY,M,44
NCT OF Delhi,3,East Delhi,Rashtriya Republican Party,JAI RAM LAL,M,60
NCT OF Delhi,3,East Delhi,Independent,MOHAMMAD IRFAN,M,50
NCT OF Delhi,3,East Delhi,Right to Recall Party,SANJAYA KUMAR YADAV,M,28
NCT OF Delhi,4,New Delhi,Independent,DILIP SINGH,M,65
NCT OF Delhi,4,New Delhi,Bahujan Samaj Party,RAAJ KUMAR ANAND,M,57
NCT OF Delhi,4,New Delhi,Aam Aadmi Party,SOMNATH BHARTI,M,49
NCT OF Delhi,4,New Delhi,Jindabad Kranti Party,ACHLA JETHMALANI,F,54
NCT OF Delhi,4,New Delhi,Bharatiya Janata Party,BANSURI SWARAJ,F,40
NCT OF Delhi,4,New Delhi,Anjaan Aadmi Party,UPENâDRA,M,36
NCT OF Delhi,4,New Delhi,Navarang Congress Party,PREM SINGH,M,53
NCT OF Delhi,4,New Delhi,Gareeb Aadmi Party,RAVINDER SINGH,M,46
NCT OF Delhi,4,New Delhi,Loktantrik Janshakti Party,MANOJ KUMAR SHARMA,M,48
NCT OF Delhi,4,New Delhi,Peoples Party of India (Democratic),DINESH KUMAR,M,54
NCT OF Delhi,4,New Delhi,Log Party,LUKMAN KHAN,M,62
NCT OF Delhi,4,New Delhi,Bharatiya Sampuran Krantikari Party,PRITHVI NATH SINGH,M,61
NCT OF Delhi,4,New Delhi,Ambedkarite Party of India,MAHESH KUMAR DENWAL,M,49
NCT OF Delhi,4,New Delhi,Independent,RAVINDER SINGH,M,46
NCT OF Delhi,4,New Delhi,Independent,HIRA LAL,M,61
NCT OF Delhi,4,New Delhi,Rashtravadi Loktantrik Party (India),PUNAM PANDEY,F,49
NCT OF Delhi,4,New Delhi,Independent,SANJAY RAWAT,M,50
NCT OF Delhi,4,New Delhi,Rashtriya Republican Party,SANDHYA THAKKAR,F,42
NCT OF Delhi,5,North-West Delhi,Saman Adhikar Party,PREETI,F,41
NCT OF Delhi,5,North-West Delhi,Asankhya Samaj Party,SUBHASH,M,65
NCT OF Delhi,5,North-West Delhi,Indian National Congress,UDIT RAJ,M,66
NCT OF Delhi,5,North-West Delhi,Independent,PARMENDRA MANJHI,M,46
NCT OF Delhi,5,North-West Delhi,Public Political Party,K M KAJAL,F,37
NCT OF Delhi,5,North-West Delhi,Independent,CHANDER PAL SONI,M,62
NCT OF Delhi,5,North-West Delhi,Independent,ADITI,F,30
NCT OF Delhi,5,North-West Delhi,Voters Party  International,NAND RAM BAGRI,M,71
NCT OF Delhi,5,North-West Delhi,Independent,PUSHPA NAGRA,F,53
NCT OF Delhi,5,North-West Delhi,Independent,PRADEEP KUMAR,M,37
NCT OF Delhi,5,North-West Delhi,Navarang Congress Party,PRAVEEN GAUTAM,M,40
NCT OF Delhi,5,North-West Delhi,Aam Janshakti Party,RAJENDER SOOD,M,63
NCT OF Delhi,5,North-West Delhi,Bharatiya Jan Jagriti Party,POOJA (BHAGTANI),third,29
NCT OF Delhi,5,North-West Delhi,Gareeb Aadmi Party,SHYAM BHARTEEY,M,54
NCT OF Delhi,5,North-West Delhi,Independent,SATYA PRAKASH UTTRAKHANDI,M,51
NCT OF Delhi,5,North-West Delhi,Bahujan Dravida Party,ADVOCATE DR. MAHENDER   SINGH CHURIYANA,M,65
NCT OF Delhi,5,North-West Delhi,Bahujan Samaj Party,VIJAY BAUDDH,M,46
NCT OF Delhi,5,North-West Delhi,Independent,NARESH KUMAR,M,41
NCT OF Delhi,5,North-West Delhi,Bahujan Shoshit Samaj Sangharsh Samta Party,KHILKHILAKAR,M,27
NCT OF Delhi,5,North-West Delhi,Rashtriya Samaj Paksha,NARESH KUMAR,M,40
NCT OF Delhi,5,North-West Delhi,Ambedkarite Party of India,ADVOCATE SATISH CHANDRA,M,54
NCT OF Delhi,5,North-West Delhi,Bharatiya Janata Party,YOGENDER CHANDOLIYA,M,61
NCT OF Delhi,5,North-West Delhi,Prabuddha Republican Party,ADV. KRUPAL,M,38
NCT OF Delhi,5,North-West Delhi,Rashtriya Janshakti Party (Secular),SANJAY KUMAR SIWAL,M,49
NCT OF Delhi,5,North-West Delhi,Independent,HARI KISHAN (MECHANIC),M,47
NCT OF Delhi,5,North-West Delhi,Peoples Party of India (Democratic),SURESH KUMAR,M,65
NCT OF Delhi,6,West Delhi,Bhartiya Mahasangh Party,UMA SHANKAR TIWARI,M,49
NCT OF Delhi,6,West Delhi,Independent,RAM NARAYAN MOHANTY,M,49
NCT OF Delhi,6,West Delhi,Independent,RAJIV KANT MISHRA,M,46
NCT OF Delhi,6,West Delhi,Akhil Bhartiya Parivar Party,MADHU,F,54
NCT OF Delhi,6,West Delhi,Sarvlokhit Samaj Party,JAYA RAMAN,M,61
NCT OF Delhi,6,West Delhi,Rashtriya Rashtrawadi Party,UMESH CHAUHAN,M,34
NCT OF Delhi,6,West Delhi,Bharatiya Jan Jagriti Party,DEEPAK SHARMA,M,37
NCT OF Delhi,6,West Delhi,Independent,RAVI,M,36
NCT OF Delhi,6,West Delhi,Navarang Congress Party,AJ RAJAN,M,60
NCT OF Delhi,6,West Delhi,Bahujan Samaj Party,VISHAKHA,F,39
NCT OF Delhi,6,West Delhi,Bahujan National Party (Ambedkar),PRAMOD KUREEL,M,57
NCT OF Delhi,6,West Delhi,Aam Aadmi Party,MAHABAL MISHRA,M,69
NCT OF Delhi,6,West Delhi,Independent,JARNAIL SINGH,M,73
NCT OF Delhi,6,West Delhi,All India Forward Bloc,CHARANJEET SINGH,M,57
NCT OF Delhi,6,West Delhi,Samaj Vikas Kranti Party,CHAMAN LAL VERMA,M,72
NCT OF Delhi,6,West Delhi,Rashtriya Suraksha Party,AMIT KUMAR SINGH,M,37
NCT OF Delhi,6,West Delhi,Independent,KAPIL MARWAH,M,41
NCT OF Delhi,6,West Delhi,Aapki Apni Party (Peoples),OM PRAKASH NARAYAN,M,56
NCT OF Delhi,6,West Delhi,Bharatiya Janata Party,KAMALJEET SEHRAWAT,F,51
NCT OF Delhi,6,West Delhi,Gareeb Aadmi Party,RAMESH KUMAR JAIN @ NIRBHIK,M,48
NCT OF Delhi,6,West Delhi,Ambedkarite Party of India,SUNIL MEGHWAL,M,37
NCT OF Delhi,6,West Delhi,Independent,ANJU SHARMA,F,53
NCT OF Delhi,6,West Delhi,Independent,SABIR KHAN,M,48
NCT OF Delhi,6,West Delhi,Peoples Party of India (Democratic),MEENA UJJAINWAL,F,55
NCT OF Delhi,7,South Delhi,Independent,CHANDRASHEKHAR SINGH KUSHWAHA,M,44
NCT OF Delhi,7,South Delhi,Haryana Jansena Party,RAM GOPAL,M,50
NCT OF Delhi,7,South Delhi,Independent,VIRENDER,M,27
NCT OF Delhi,7,South Delhi,Samaj Vikas Kranti Party,OMAPRAKASH,M,33
NCT OF Delhi,7,South Delhi,Independent,POONAM SRIVASTAVA,F,57
NCT OF Delhi,7,South Delhi,Delhi Janta Party,SURJEET SINGH,M,40
NCT OF Delhi,7,South Delhi,Navarang Congress Party,LAKHAN SINGH,M,53
NCT OF Delhi,7,South Delhi,Bharatiya Sampuran Krantikari Party,RINKI SANYAL,F,49
NCT OF Delhi,7,South Delhi,Aam Aadmi Party,SAHI RAM,M,63
NCT OF Delhi,7,South Delhi,Independent,KAMLESH KUMAR JHA,M,44
NCT OF Delhi,7,South Delhi,Independent,DEEPAK KAPILA,M,61
NCT OF Delhi,7,South Delhi,Independent,ARUN KUMAR,M,44
NCT OF Delhi,7,South Delhi,Bharatheeya Jawan Kisan Party,SURINDER KUMAR,M,68
NCT OF Delhi,7,South Delhi,India Greens Party,BIHARI LAL JALANDHARI,M,62
NCT OF Delhi,7,South Delhi,Independent,RAJAN SINGH,third,26
NCT OF Delhi,7,South Delhi,All India Forward Bloc,GAUTAM ANAND,M,51
NCT OF Delhi,7,South Delhi,Independent,JAGDISH KUMAR VERMA,M,51
NCT OF Delhi,7,South Delhi,Hamara Sahi Vikalp Party,NAVEEN KUMAR,M,36
NCT OF Delhi,7,South Delhi,Ambedkarite Party of India,BHIM SINGH,M,63
NCT OF Delhi,7,South Delhi,Bharatiya Janata Party,RAMVIR SINGH BIDHURI,M,71
NCT OF Delhi,7,South Delhi,Independent,SHANKAR DEY,M,62
NCT OF Delhi,7,South Delhi,Bahujan Samaj Party,ABDUL BASIT,M,45
Odisha,1,Bargarh,National Apni Party,DEVIKA SIKA,F,40
Odisha,1,Bargarh,Bahujan Samaj Party,JAYARAM BAGH,M,49
Odisha,1,Bargarh,Independent,GNYANENDRA BEHERA,M,47
Odisha,1,Bargarh,Biju Janata Dal,PARINITA MISHRA,F,45
Odisha,1,Bargarh,Bharatiya Janata Party,PRADEEP PUROHIT,M,58
Odisha,1,Bargarh,Independent,PRABHAT KUMAR DHARUA,M,68
Odisha,1,Bargarh,Indian National Congress,SANJAY BHOI,M,50
Odisha,2,Sundargarh,Jharkhand Party,PARUA EKKA,M,43
Odisha,2,Sundargarh,Indian National Congress,JANARDAN DEHURY,M,70
Odisha,2,Sundargarh,Naba Bharata Nirmana Seva Party,SANTOSH JURA,M,39
Odisha,2,Sundargarh,National Apni Party,SUMANTA KUMAR SORENG,M,36
Odisha,2,Sundargarh,Bharatiya Janata Party,JUAL ORAM,M,63
Odisha,2,Sundargarh,Biju Janata Dal,DILIP KUMAR TIRKEY,M,46
Odisha,2,Sundargarh,Independent,JAGABANDHU ORAM,M,43
Odisha,2,Sundargarh,Socialist Unity Centre Of India (COMMUNIST),JUSTIN LUGUN,M,48
Odisha,3,Sambalpur,Bharatiya Nyay-Adhikar Raksha Party,RAKESH BAG,M,35
Odisha,3,Sambalpur,Kosal Janata Dal,PURUSHOTTAM PATRA,M,58
Odisha,3,Sambalpur,Independent,GNYANENDRA BEHERA,M,47
Odisha,3,Sambalpur,Independent,ATMA RAM SUPKAR,M,65
Odisha,3,Sambalpur,Indian National Congress,NAGENDRA KUMAR PRADHAN,M,72
Odisha,3,Sambalpur,Independent,SRIRAM PANDEY,M,63
Odisha,3,Sambalpur,National Jan Dal,SUBASH MOHAPATRA,M,50
Odisha,3,Sambalpur,Rashtriya Manav Party,KHAGESWAR BEHERA,M,77
Odisha,3,Sambalpur,Bahujan Samaj Party,SADANAND RANBIDA,M,63
Odisha,3,Sambalpur,Paschimanchal Vikas Party,LAXMAN KUMAR BHOI,M,56
Odisha,3,Sambalpur,Socialist Unity Centre Of India (COMMUNIST),NABAKISHORE PRADHAN,M,56
Odisha,3,Sambalpur,Bharatiya Janata Party,DHARMENDRA PRADHAN,M,54
Odisha,3,Sambalpur,Independent,SHUSHIL KUMAR BABU,M,70
Odisha,3,Sambalpur,Biju Janata Dal,PRANAB PRAKASH DAS,M,51
Odisha,4,Keonjhar,Independent,LAMBODAR NAIK,M,38
Odisha,4,Keonjhar,Indian National Congress,BINOD BIHARI NAIK,M,42
Odisha,4,Keonjhar,Independent,RAGHUMANI NAIK,M,60
Odisha,4,Keonjhar,Independent,SUSHANT KUMAR NAIK,M,52
Odisha,4,Keonjhar,Independent,JOHN MIRAN MUNDA,M,46
Odisha,4,Keonjhar,Bahujan Samaj Party,RAM PRASAD HEMBRAM,M,46
Odisha,4,Keonjhar,Biju Janata Dal,DHANURJAYA SIDU,M,58
Odisha,4,Keonjhar,AJSU Party,PITABASA NAIK,M,32
Odisha,4,Keonjhar,Manas Lokshakti Dal,SAHEBA JUANGA,M,41
Odisha,4,Keonjhar,Bharatiya Janata Party,ANANTA NAYAK,M,55
Odisha,4,Keonjhar,Socialist Unity Centre Of India (COMMUNIST),HARIHAR MUNDA,M,41
Odisha,5,Mayurbhanj,Bharatiya Nyay-Adhikar Raksha Party,RABINDRA NATH SINGH,M,64
Odisha,5,Mayurbhanj,AJSU Party,ANTA ALOK BASKEY,M,53
Odisha,5,Mayurbhanj,Bharatiya Nyay-Adhikar Raksha Party,SUKANTA HEMBRAM,M,38
Odisha,5,Mayurbhanj,Bharatheeya Jawan Kisan Party,GURU  CHARAN HEMBRAM,M,54
Odisha,5,Mayurbhanj,Jharkhand Mukti Morcha,ANJANI SOREN,F,52
Odisha,5,Mayurbhanj,Independent,SANTILATA CHATTAR,F,51
Odisha,5,Mayurbhanj,Bahujan Samaj Party,JATIA SAWAYAN,M,56
Odisha,5,Mayurbhanj,Independent,BAJUN HANSDA,M,36
Odisha,5,Mayurbhanj,Independent,ASHOK KUMAR SING,M,30
Odisha,5,Mayurbhanj,Bharatiya Janata Party,NABA CHARAN MAJHI,M,62
Odisha,5,Mayurbhanj,Biju Janata Dal,SUDAM MARNDI,M,56
Odisha,5,Mayurbhanj,Socialist Unity Centre Of India (COMMUNIST),PITAMBAR NAIK,M,46
Odisha,5,Mayurbhanj,Independent,KANHU CHARAN TUDU,M,62
Odisha,6,Balasore,Bharatiya Janata Party,PRATAP CHANDRA SARANGI,M,69
Odisha,6,Balasore,National Apni Party,GOBINDA CHANDRA BHOI,M,58
Odisha,6,Balasore,Indian National Congress,SHRIKANTA KUMAR JENA,M,72
Odisha,6,Balasore,Independent,SURYAKANTA DASMOHAPATRA,M,46
Odisha,6,Balasore,Independent,PRAMOD KUMAR PATTAYAT,M,74
Odisha,6,Balasore,Biju Janata Dal,LEKHASRI SAMANTSINGHAR,F,53
Odisha,6,Balasore,Independent,AKHIL KUMAR MOHANTA,M,43
Odisha,6,Balasore,Bahujan Samaj Party,RAJAT KUMAR BEHERA,M,52
Odisha,6,Balasore,Independent,DEEPAK SANKAR THAKUR GIRI,M,29
Odisha,6,Balasore,Krupaa Party,BIREN PUHAN,M,41
Odisha,6,Balasore,Independent,MAHAMEGHABAHAN AIRA KHARABELA SWAIN,M,72
Odisha,7,Bhadrak,Independent,BASANTA KUMAR MAHALIK,M,58
Odisha,7,Bhadrak,Ambedkarite Party of India,ANJAN DAS,M,41
Odisha,7,Bhadrak,Indian National Congress,ANANTA PRASAD SETHI,M,76
Odisha,7,Bhadrak,Bharatiya Janata Party,AVIMANYU SETHI,M,53
Odisha,7,Bhadrak,Socialist Unity Centre Of India (COMMUNIST),KIRTAN BIHARI MALIK,M,70
Odisha,7,Bhadrak,Independent,SARBESWAR BEHERA,M,57
Odisha,7,Bhadrak,Biju Janata Dal,MANJULATA MANDAL,F,47
Odisha,7,Bhadrak,Bahujan Samaj Party,ADV ARJUN CHARAN MALLIK,M,71
Odisha,8,Jajpur,Independent,SUMANTA MALIK,M,31
Odisha,8,Jajpur,Janta Darbar Party,MANTU SETHI,M,30
Odisha,8,Jajpur,Independent,NARENDRA MALIKA,M,56
Odisha,8,Jajpur,Independent,BHAIRABA PRASAD BEHERA,M,41
Odisha,8,Jajpur,Ambedkarite Party of India,BIDYADHAR DALEI,M,34
Odisha,8,Jajpur,Biju Janata Dal,SARMISTHA SETHI,F,50
Odisha,8,Jajpur,Bahujan Samaj Party,ER SANDHYA RANI MALLICK,F,35
Odisha,8,Jajpur,Manas Lokshakti Dal,JHUNA MALIK,F,40
Odisha,8,Jajpur,Independent,ARTTATRANA MALIK,M,47
Odisha,8,Jajpur,Gana Suraksha Party,BINOD KUMAR JENA,M,32
Odisha,8,Jajpur,Bharatiya Janata Party,RABINDRA NARAYAN BEHERA,M,61
Odisha,8,Jajpur,Indian National Congress,ANCHAL DAS,M,68
Odisha,8,Jajpur,Socialist Unity Centre Of India (COMMUNIST),SUBASH CHANDRA MALLIK,M,59
Odisha,9,Dhenkanal,Utkal Samaj,SWAPNA RANI JAMES,F,49
Odisha,9,Dhenkanal,Independent,KAILAS CHANDRA PRADHAN,M,43
Odisha,9,Dhenkanal,Bahujan Samaj Party,PRAFULLA KUMAR NAIK,M,48
Odisha,9,Dhenkanal,Independent,PRIYABRATA GARNAIK,M,43
Odisha,9,Dhenkanal,Independent,MAHESWAR SAHOO,M,40
Odisha,9,Dhenkanal,Indian National Congress,SASHMITA BEHERA,F,52
Odisha,9,Dhenkanal,Bharatiya Janata Party,RUDRA NARAYAN PANY,M,64
Odisha,9,Dhenkanal,Independent,JANARDAN NAIK,M,49
Odisha,9,Dhenkanal,Socialist Unity Centre Of India (COMMUNIST),MANASI SWAIN,F,41
Odisha,9,Dhenkanal,Biju Janata Dal,ABINASH SAMAL,M,36
Odisha,10,Bolangir,Independent,BALRAM SINGH YADAV,M,55
Odisha,10,Bolangir,Independent,BALARAM SA,M,52
Odisha,10,Bolangir,Ambedkarite Party of India,MADHUSUDAN BARIK,M,42
Odisha,10,Bolangir,National Apni Party,AKSHAYA DISHRI,M,50
Odisha,10,Bolangir,Bahujan Samaj Party,JAGADISH CHANDRA BIBHAR,M,59
Odisha,10,Bolangir,Indian National Congress,MANOJ KUMAR MISHRA,M,55
Odisha,10,Bolangir,Biju Janata Dal,SURENDRA SINGH BHOI,M,62
Odisha,10,Bolangir,Ekam Sanatan Bharat Dal,RAJESH KUMAR PANDA,M,40
Odisha,10,Bolangir,Bharatiya Janata Party,SANGEETA KUMARI SINGH DEO,F,62
Odisha,10,Bolangir,Socialist Unity Centre Of India (COMMUNIST),SUNIL KUMAR BHOI,M,37
Odisha,11,Kalahandi,Independent,RAJARAM SAHU,M,51
Odisha,11,Kalahandi,Samajwadi Party,SIBA HATI,M,64
Odisha,11,Kalahandi,Independent,DR. DHARMANANDA GAHIR,M,46
Odisha,11,Kalahandi,Samruddha Odisha,HIMANSHU TRIPATHY,M,50
