constituency,category,state,winning_candidate,party,electors,votes,turnout_pct,margin,margin_pct,year
Khunti,ST,Jharkhand,Arjun Munda,Bharatiya Janta Party,1165658,832377,73.2,1445.0,0.2,2019
Kishanganj,GEN,Bihar [2000 Onwards],Dr. Mohammad Jawed,Indian National Congress,1652940,1101603,67.8,34466.0,3.1,2019
Kodarma,GEN,Jharkhand,Annpurna Devi,Bharatiya Janta Party,1765156,1209541,70.3,455600.0,37.7,2019
Kokrajhar,ST,Assam,Naba Kumar Sarania,Independent,1510051,1479485,99.0,37786.0,2.6,2019
Kolar,SC,Karnataka,S. Muniswamy,Bharatiya Janta Party,1608229,1258551,79.1,210021.0,16.7,2019
Kolhapur,GEN,Maharashtra,Sanjay Sadashivrao Mandlik,Shiv Sena,1805949,1330852,74.2,270568.0,20.3,2019
Kolkata Dakshi,GEN,West Bengal,Mala Roy,All India Trinamool Congress,1904710,1206645,64.1,155192.0,12.9,2019
Kolkata Uttar,GEN,West Bengal,Bandyopadhyay Sudip,All India Trinamool Congress,1618835,950613,59.1,127095.0,13.4,2019
Kollam,GEN,Kerala,N.K.Premachandran,Revolutionary Socialist Party,1242521,968123,78.4,148856.0,15.4,2019
Koppal,GEN,Karnataka,Karadi Sanganna Amarappa,Bharatiya Janta Party,1706900,1190347,70.4,38397.0,3.2,2019
Koraput,ST,Orissa,Saptagiri Sankar Ulaka,Indian National Congress,1385228,1080161,80.6,3613.0,0.3,2019
Korba,GEN,Chhattisgarh,Jyotsna Charandas Mahant,Indian National Congress,1340544,1137003,86.3,26349.0,2.3,2019
Kota,GEN,Rajasthan,Om Birla,Bharatiya Janta Party,1900514,1367034,72.6,279677.0,20.5,2019
Kottayam,GEN,Kerala,Thomas Chazhikadan,Kerala Congress(M),1168104,910339,78.6,106259.0,11.7,2019
Kozhikode,GEN,Kerala,M.K.Raghavan,Indian National Congress,1245068,1076193,86.7,85225.0,7.9,2019
Krishnagiri,GEN,Tamil Nadu,Dr.A.Chellakumar,Indian National Congress,1482269,1161369,79.7,156765.0,13.5,2019
Krishnanagar,GEN,West Bengal,Mahua Moitra,All India Trinamool Congress,1774833,1366443,77.4,63218.0,4.6,2019
Kurnool,,Andhra Pradesh [2014 Onwards],Ayushman Doctor Sanjeev Kumar,Yuvajana Sramika Rythu Congress Party,1354509,1183035,87.9,148903.0,12.6,2019
Kurukshetra,GEN,Haryana,Nayab Singh,Bharatiya Janta Party,1579115,1230202,78.1,384591.0,31.3,2019
Kushi Nagar,GEN,Uttar Pradesh [2000 Onwards],Vijay Kumar Dubey,Bharatiya Janta Party,1734356,1053117,61.2,337560.0,32.1,2019
Ladakh,,Jammu & Kashmir,Jamyang Tsering Namgyal,Bharatiya Janta Party,166763,126426,76.4,10930.0,8.6,2019
Lakhimpur,GEN,Assam,Pradan Baruah,Bharatiya Janta Party,1621466,1283589,80.1,350551.0,27.3,2019
Lakshadweep,,Lakshadweep,Mohammed Faizal Pp,Nationalist Congress Party,49922,47009,94.4,823.0,1.8,2019
Lalganj,SC,Uttar Pradesh [2000 Onwards],Sangeeta Azad,Bahujan Samaj Party,1733044,960568,55.7,161597.0,16.8,2019
Latur,SC,Maharashtra,Sudhakar Tukaram Shrangare,Bharatiya Janta Party,1802702,1176542,65.6,289111.0,24.6,2019
Lohardaga,ST,Jharkhand,Sudarshan Bhagat,Bharatiya Janta Party,1187646,817550,69.8,10363.0,1.3,2019
Lucknow,GEN,Uttar Pradesh [2000 Onwards],Rajnath Singh,Bharatiya Janta Party,1939448,1116445,58.0,347302.0,31.1,2019
Ludhiana,GEN,Punjab,Ravneet Singh Bittu,Indian National Congress,1641976,1046955,64.4,76372.0,7.3,2019
Machhlishahr,SC,Uttar Pradesh [2000 Onwards],Bholanath (B.P. Saroj),Bharatiya Janta Party,1777073,1034925,58.9,181.0,0.0,2019
Machilipatnam,,Andhra Pradesh [2014 Onwards],Balashowry Vallabhaneni,Yuvajana Sramika Rythu Congress Party,1296361,1244570,97.1,60238.0,4.8,2019
Madha,GEN,Maharashtra,Ranjeetsinha Hindurao Naik- Nimbalkar,Bharatiya Janta Party,1825200,1216319,66.8,85764.0,7.1,2019
Madhepura,GEN,Bihar [2000 Onwards],Dinesh Chandra Yadav,Janata Dal (United),1874003,1147274,63.3,301527.0,26.3,2019
Madhubani,GEN,Bihar [2000 Onwards],Ashok Kumar Yadav,Bharatiya Janta Party,1780846,963708,54.4,454940.0,47.2,2019
Madurai,GEN,Tamil Nadu,Venkatesan S,Communist Party Of India (Marxist),1521452,1016026,67.8,139395.0,13.7,2019
Mahabubabad,ST,Telangana,Kavitha Malothu,Telangana Rashtra Samithi,1336286,983535,74.7,146663.0,14.9,2019
Maharajganj,GEN,Bihar [2000 Onwards],"Janardan Singh 'sigriwal""",Bharatiya Janta Party,1793406,972703,55.5,230772.0,23.7,2019
Maharajganj,GEN,Uttar Pradesh [2000 Onwards],Pankaj Choudhary,Bharatiya Janta Party,1866715,1226916,66.3,340424.0,27.7,2019
Mahasamund,GEN,Chhattisgarh,Chunni Lal Sahu,Bharatiya Janta Party,1613418,1222335,77.1,90511.0,7.4,2019
Mahbubnagar,GEN,Telangana,Manne Srinivas Reddy,Telangana Rashtra Samithi,1417629,984634,70.2,77829.0,7.9,2019
Mahesana,GEN,Gujarat,Shardaben Anilbhai Patel,Bharatiya Janta Party,1607923,1081938,68.0,281519.0,26.0,2019
Mainpuri,GEN,Uttar Pradesh [2000 Onwards],Mulayam Singh Yadav,Samajwadi Party,1681508,976518,58.5,94389.0,9.7,2019
Malappuram,GEN,Kerala,P.K. Kunhalikutty,Indian Union Muslim League,1306617,1034618,79.5,260153.0,25.1,2019
Maldaha Dakshi,GEN,West Bengal,Abu Hasem Khan Chowdhury (DALU),Indian National Congress,1461017,1279202,88.4,8222.0,0.6,2019
Maldaha Uttar,GEN,West Bengal,Khagen Murmu,Bharatiya Janta Party,1569035,1354706,86.9,84288.0,6.2,2019
Malkajgiri,GEN,Telangana,Anumula Revanth Reddy,Indian National Congress,2958564,1563063,53.4,10919.0,0.7,2019
Mandi,GEN,Himachal Pradesh,Ram Swaroop Sharma,Bharatiya Janta Party,1150408,941371,82.3,405459.0,43.1,2019
Mandla,ST,Madhya Pradesh [2000 Onwards],Faggan Singh Kulaste,Bharatiya Janta Party,1901547,1517255,81.5,97674.0,6.4,2019
Mandsour,GEN,Madhya Pradesh [2000 Onwards],Sudheer Gupta,Bharatiya Janta Party,1714857,1370667,80.5,376734.0,27.5,2019
Mandya,GEN,Karnataka,Sumalatha Ambareesh,Independent,1684216,1379210,82.1,125876.0,9.1,2019
Mangaldoi,GEN,Assam,Dilip Saikia,Bharatiya Janta Party,1723812,1506107,88.4,138545.0,9.2,2019
Mathura,GEN,Uttar Pradesh [2000 Onwards],Hema Malini,Bharatiya Janta Party,1748275,1102731,63.4,293471.0,26.6,2019
Mathurapur,SC,West Bengal,Choudhury Mohan Jatua,All India Trinamool Congress,1810407,1401953,77.8,203974.0,14.5,2019
Maval,GEN,Maharashtra,Shrirang Appa Chandu Barne,Shiv Sena,2175681,1368872,63.6,215913.0,15.8,2019
Mavelikkara,SC,Kerala,Kodikunnil Suresh,Indian National Congress,1264914,971035,77.2,61138.0,6.3,2019
Mayiladuthurai,GEN,Tamil Nadu,Ramalingam. S,Dravida Munetra Kazhagam,1466813,1097243,75.4,261314.0,23.8,2019
Mayurbhanj,ST,Orissa,Bishweswar Tudu,Bharatiya Janta Party,1437970,1150357,81.5,25256.0,2.2,2019
Medak,GEN,Telangana,Kotha Prabhakar Reddy,Telangana Rashtra Samithi,1514728,1150223,77.0,316427.0,27.5,2019
Medinipur,GEN,West Bengal,Dilip Ghosh,Bharatiya Janta Party,1815330,1409815,78.5,88952.0,6.3,2019
Meerut,GEN,Uttar Pradesh [2000 Onwards],Rajendra Agarwal,Bharatiya Janta Party,1817780,1216413,67.3,4729.0,0.4,2019
Mirzapur,GEN,Uttar Pradesh [2000 Onwards],Anupriya Singh Patel,Apna Dal (Soneylal),1805890,1108965,62.3,232008.0,20.9,2019
Misrikh,SC,Uttar Pradesh [2000 Onwards],Ashok Kumar Rawat,Bharatiya Janta Party,1762049,1026668,58.8,100672.0,9.8,2019
Mizoram,ST,Mizoram,C Lalrosanga,Mizo National Front,725057,499621,69.3,8140.0,1.6,2019
Mohanlalganj,SC,Uttar Pradesh [2000 Onwards],Kaushal Kishore,Bharatiya Janta Party,1915170,1269040,66.8,90229.0,7.1,2019
Moradabad,GEN,Uttar Pradesh [2000 Onwards],Dr. S.T. Hasan,Samajwadi Party,1886615,1282206,68.3,97878.0,7.6,2019
Morena,GEN,Madhya Pradesh [2000 Onwards],Narendra Singh Tomar,Bharatiya Janta Party,1739025,1137290,65.5,113341.0,10.0,2019
Mumbai North,GEN,Maharashtra,Gopal Shetty,Bharatiya Janta Party,1563706,989759,64.1,465247.0,47.0,2019
Mumbai North Central,GEN,Maharashtra,Poonam Mahajan,Bharatiya Janta Party,1610246,901784,56.7,130005.0,14.4,2019
Mumbai North East,GEN,Maharashtra,Manoj Kotak,Bharatiya Janta Party,1527514,908993,60.3,226486.0,24.9,2019
Mumbai North West,GEN,Maharashtra,Gajanan Kirtikar,Shiv Sena,1908991,941497,50.3,260328.0,27.7,2019
Mumbai South,GEN,Maharashtra,Arvind Ganpat Sawant,Shiv Sena,1537955,801611,53.1,100067.0,12.5,2019
Mumbai South Central,GEN,Maharashtra,Rahul Ramesh Shewale,Shiv Sena,1388390,797250,58.4,152139.0,19.1,2019
Munger,GEN,Bihar [2000 Onwards],Rajiv Ranjan Singh Alias Lalan Singh,Janata Dal (United),1870993,1036268,55.9,167937.0,16.2,2019
Murshidabad,GEN,West Bengal,Abu Taher Khan,All India Trinamool Congress,1824697,1453755,80.5,226417.0,15.6,2019
Muzaffarnagar,GEN,Uttar Pradesh [2000 Onwards],Sanjeev Kumar Balyan,Bharatiya Janta Party,1647368,1160071,70.7,6526.0,0.6,2019
Muzaffarpur,GEN,Bihar [2000 Onwards],Ajay Nishad,Bharatiya Janta Party,1710868,1058086,62.4,409988.0,38.7,2019
Mysore,GEN,Karnataka,Prathap Simha,Bharatiya Janta Party,1873063,1318041,70.7,138647.0,10.5,2019
Nabarangpur,ST,Orissa,Ramesh Chandra Majhi,Biju Janata Dal,1401704,1159700,85.9,41634.0,3.6,2019
Nagaland,ST,Nagaland,Tokheho Yepthomi,Nationalist Democratic Progressive Party,1190285,1006357,84.7,16344.0,1.6,2019
Nagapattinam,SC,Tamil Nadu,Selvaraj M,Communist Party Of India,1292695,1002208,78.3,211353.0,21.1,2019
Nagarkurnool,SC,Telangana,Pothuganti Ramulu,Telangana Rashtra Samithi,1501178,989847,66.8,189748.0,19.2,2019
Nagaur,GEN,Rajasthan,Hanuman Beniwal,Rashtriya Loktantrik Party,1741967,1203124,69.8,181260.0,15.1,2019
Nagina,SC,Uttar Pradesh [2000 Onwards],Girish Chandra,Bahujan Samaj Party,1538579,1009456,66.0,166832.0,16.5,2019
Nagpur,GEN,Maharashtra,Nitin Jairam Gadkari,Bharatiya Janta Party,2060047,1186051,57.8,216009.0,18.2,2019
Nainital-Udham,GEN,Uttarakhand,Ajay Bhatt,Bharatiya Janta Party,1754749,1258570,72.3,339096.0,26.9,2019
Nalanda,GEN,Bihar [2000 Onwards],Kaushlendra Kumar,Janata Dal (United),1809760,1031286,57.5,256137.0,24.8,2019
Nalgonda,GEN,Telangana,Uttam Kumar Reddy Nalamada,Indian National Congress,1501209,1175703,78.7,25682.0,2.2,2019
Namakkal,GEN,Tamil Nadu,Chinraj A.K.P,Dravida Munetra Kazhagam,1383282,1133774,83.1,265151.0,23.4,2019
Nanded,GEN,Maharashtra,Prataprao Patil Chikhalikar,Bharatiya Janta Party,1632971,1129350,69.5,40148.0,3.6,2019
Nandurbar,ST,Maharashtra,Dr. Heena Vijaykumar Gavit,Bharatiya Janta Party,1796321,1281738,72.6,95629.0,7.5,2019
Nandyal,,Andhra Pradesh [2014 Onwards],Pocha . Brahmananda Reddy,Yuvajana Sramika Rythu Congress Party,1402585,1299093,93.3,250119.0,19.3,2019
Narasaraopet,,Andhra Pradesh [2014 Onwards],Lavu Sri Krishna Devarayalu,Yuvajana Sramika Rythu Congress Party,1545916,1437420,93.8,154002.0,10.7,2019
Narsapuram,,Andhra Pradesh [2014 Onwards],Kanumuru Raghu Rama Krishna Raju,Yuvajana Sramika Rythu Congress Party,1294966,1177738,91.9,32676.0,2.8,2019
Nashik,GEN,Maharashtra,Godse Hemant Tukaram,Shiv Sena,1764151,1121232,64.0,292204.0,26.1,2019
Navsari,GEN,Gujarat,C. R. Patil,Bharatiya Janta Party,1904607,1308018,69.2,689668.0,52.7,2019
Nawada,GEN,Bihar [2000 Onwards],Chandan Singh,Lok Jan Shakti Party,1892017,942462,51.7,148072.0,15.7,2019
Nellore,,Andhra Pradesh [2014 Onwards],Adala Prabhakara Reddy,Yuvajana Sramika Rythu Congress Party,1460959,1287036,89.3,148571.0,11.5,2019
New Delhi,GEN,Delhi [1977 Onwards],Durga Prasad Pande,Bharatiya Janta Party,1490147,920541,62.2,256504.0,27.9,2019
Nilgiris,SC,Tamil Nadu,"Raja, A.",Dravida Munetra Kazhagam,1336480,1010719,77.0,205823.0,20.4,2019
Nizamabad,GEN,Telangana,Arvind Dharmapuri,Bharatiya Janta Party,1445388,1062768,73.7,70875.0,6.7,2019
North East Delhi,GEN,Delhi [1977 Onwards],"Goswami, Sukadev",Bharatiya Janta Party,1957707,1461475,74.9,366102.0,25.1,2019
North Goa,GEN,Goa,Shripad Yesso Naik,Bharatiya Janta Party,545009,428628,79.9,80247.0,18.7,2019
North West Delhi,SC,Delhi [1977 Onwards],Ram Raksha Upadhya,Bharatiya Janta Party,2194425,1402962,64.4,553897.0,39.5,2019
Nowgong,GEN,Assam,Pradyut Bordoloi,Indian National Congress,1736245,1493475,86.6,16752.0,1.1,2019
Ongole,,Andhra Pradesh [2014 Onwards],Magunta Sreenivasulu Reddy,Yuvajana Sramika Rythu Congress Party,1410224,1342368,96.7,214851.0,16.0,2019
Osmanabad,GEN,Maharashtra,Omprakash Bhupalsinh Alias Pawan Rajenimbalkar,Shiv Sena,1783129,1204730,68.1,127566.0,10.6,2019
Outer Manipur,ST,Manipur,Lorho S. Pfoze,Naga Peoples Front,918966,858029,93.7,73782.0,8.6,2019
Palakkad,GEN,Kerala,V K Sreekandan,Indian National Congress,1274734,1028249,81.2,11637.0,1.1,2019
Palamau,SC,Jharkhand,Vishnu Dayal Ram,Bharatiya Janta Party,1800197,1209747,67.5,477606.0,39.5,2019
Palghar,ST,Maharashtra,Rajendra Dhedya Gavit,Shiv Sena,1727531,1201941,71.3,88883.0,7.4,2019
Pali,GEN,Rajasthan,P. P. Chaudhary,Bharatiya Janta Party,2105101,1359799,65.3,481597.0,35.4,2019
Panchmahal,GEN,Gujarat,Ratansinh Magansinh Rathod,Bharatiya Janta Party,1696054,1083676,65.1,428541.0,39.5,2019
Parbhani,GEN,Maharashtra,Jadhav Sanjay (BANDU) HARIBHAU,Shiv Sena,1902298,1252782,66.1,42199.0,3.4,2019
Paschim Champaran,GEN,Bihar [2000 Onwards],Dr. Sanjay Jaiswal,Bharatiya Janta Party,1606271,1012936,65.9,293906.0,29.0,2019
Pataliputra,GEN,Bihar [2000 Onwards],Ram Kripal Yadav,Bharatiya Janta Party,1909112,1077749,56.8,39321.0,3.6,2019
Patan,GEN,Gujarat,Dabhi Bharatsinhji Shankarji,Bharatiya Janta Party,1689822,1126256,67.5,193879.0,17.2,2019
Pathanamthitta,GEN,Kerala,Anto Antony,Indian National Congress,1332683,1026553,77.3,44243.0,4.3,2019
Patiala,GEN,Punjab,Preneet Kaur,Indian National Congress,1691510,1177903,70.3,162718.0,13.8,2019
Patna Sahib,GEN,Bihar [2000 Onwards],Ravi Shankar Prasad,Bharatiya Janta Party,2136800,982285,46.2,284657.0,29.0,2019
Peddapalle,SC,Telangana,Venkatesh Netha Borlakunta,Telangana Rashtra Samithi,1368475,970051,71.5,95180.0,9.8,2019
Perambalur,GEN,Tamil Nadu,"Dr.Paarivendhar, T. R",Dravida Munetra Kazhagam,1376502,1102767,80.9,403518.0,36.6,2019
Phulpur,GEN,Uttar Pradesh [2000 Onwards],Keshari Devi Patel,Bharatiya Janta Party,1950247,978236,50.6,171968.0,17.6,2019
Pilibhit,GEN,Uttar Pradesh [2000 Onwards],Feroze Varun Gandhi,Bharatiya Janta Party,1730628,1186589,69.1,255627.0,21.5,2019
Pollachi,GEN,Tamil Nadu,Shanmuga Sundaram. K,Dravida Munetra Kazhagam,1716498,1081875,63.9,175883.0,16.3,2019
Ponnani,GEN,Kerala,E. T. Mohammed Basheer,Indian Union Muslim League,1265341,1017265,80.9,193273.0,19.0,2019
Porbandar,GEN,Gujarat,Rameshbhai Lavjibhai Dhaduk,Bharatiya Janta Party,1626015,949947,58.9,229823.0,24.2,2019
Pratapgarh,GEN,Uttar Pradesh [2000 Onwards],Sangam Lal Gupta,Bharatiya Janta Party,1670655,914665,55.5,117752.0,12.9,2019
Puducherry,GEN,Pondicherry,Ve. Vaithilingam,Indian National Congress,969845,790760,82.8,197025.0,24.9,2019
Pune,GEN,Maharashtra,Girish Bhalchandra Bapat,Bharatiya Janta Party,1997594,1035236,52.4,324628.0,31.4,2019
Puri,GEN,Orissa,Pinaki Misra,Biju Janata Dal,1500546,1135620,76.2,11714.0,1.0,2019
Purnia,GEN,Bihar [2000 Onwards],Santosh Kumar,Janata Dal (United),2055471,1153940,57.0,263461.0,22.8,2019
Purulia,GEN,West Bengal,Jyotirmay Singh Mahato,Bharatiya Janta Party,1761215,1355236,77.6,204732.0,15.1,2019
Purvi Champaran,GEN,Bihar [2000 Onwards],Radha Mohan Singh,Bharatiya Janta Party,1631187,999400,62.7,293648.0,29.4,2019
Rae Bareli,GEN,Uttar Pradesh [2000 Onwards],Sonia Gandhi,Indian National Congress,1628549,958556,59.5,167178.0,17.4,2019
Raichur,ST,Karnataka,Raja Amareshwara Naik,Bharatiya Janta Party,1896652,1124385,60.1,117716.0,10.5,2019
Raigad,GEN,Maharashtra,Tatkare Sunil Dattatray,Nationalist Congress Party,1598012,1025467,64.9,31438.0,3.1,2019
Raiganj,GEN,West Bengal,Debasree Chaudhuri,Bharatiya Janta Party,1531944,1277109,84.3,60574.0,4.7,2019
Raigarh,ST,Chhattisgarh,Gomati Sai,Bharatiya Janta Party,1714355,1350124,79.7,66027.0,4.9,2019
Raipur,GEN,Chhattisgarh,Sunil Kumar Soni,Bharatiya Janta Party,2046014,1396250,68.5,348238.0,24.9,2019
Rajahmundry,,Andhra Pradesh [2014 Onwards],Margani Bharat,Yuvajana Sramika Rythu Congress Party,1382260,1250427,91.8,121634.0,9.7,2019
Rajampet,,Andhra Pradesh [2014 Onwards],P.V.Midhun Reddy,Yuvajana Sramika Rythu Congress Party,1406762,1224354,88.6,268284.0,21.9,2019
Rajgarh,GEN,Madhya Pradesh [2000 Onwards],Rodmal Nagar,Bharatiya Janta Party,1649452,1260329,77.0,431019.0,34.2,2019
Rajkot,GEN,Gujarat,Kundaria Mohanbhai Kalyanjibhai,Bharatiya Janta Party,1839420,1195271,66.0,368407.0,30.8,2019
Rajmahal,ST,Jharkhand,Vijay Kumar Hansdak,Jharkhand Mukti Morcha,1422969,1047657,74.5,99195.0,9.5,2019
Rajnandgaon,GEN,Chhattisgarh,Santosh Pandey,Bharatiya Janta Party,1688647,1307033,78.6,111966.0,8.6,2019
Rajsamand,GEN,Rajasthan,Diya Kumari,Bharatiya Janta Party,1863749,1239845,67.2,551916.0,44.5,2019
Ramanathapuram,GEN,Tamil Nadu,K. Navaskani,Indian Union Muslim League,1553058,1066146,69.1,127122.0,11.9,2019
Rampur,GEN,Uttar Pradesh [2000 Onwards],Mohammad Azam Khan,Samajwadi Party,1658551,1060921,64.4,109997.0,10.4,2019
Ramtek,SC,Maharashtra,Krupal Balaji Tumane,Shiv Sena,1818912,1196744,66.5,126783.0,10.6,2019
Ranaghat,SC,West Bengal,Jagannath Sarkar,Bharatiya Janta Party,1974979,1484035,75.6,233428.0,15.7,2019
Ranchi,GEN,Jharkhand,Sanjay Seth,Bharatiya Janta Party,1827355,1235441,67.9,283026.0,22.9,2019
Ratlam,ST,Madhya Pradesh [2000 Onwards],Guman Singh Damor,Bharatiya Janta Party,1802722,1400509,79.7,90636.0,6.5,2019
Ratnagiri - Si,GEN,Maharashtra,Vinayak Raut,Shiv Sena,1393965,901102,65.6,178322.0,19.8,2019
Raver,GEN,Maharashtra,Khadse Raksha Nikhil,Bharatiya Janta Party,1707838,1092971,64.5,335882.0,30.7,2019
Rewa,GEN,Madhya Pradesh [2000 Onwards],Janardan Mishra,Bharatiya Janta Party,1628121,1013251,62.4,312807.0,30.9,2019
Robertsganj,SC,Uttar Pradesh [2000 Onwards],Pakauri Lal Kol,Apna Dal (Soneylal),1672073,988287,60.4,54336.0,5.5,2019
Rohtak,GEN,Haryana,Arvind Kumar Sharma,Bharatiya Janta Party,1638605,1220571,74.7,7503.0,0.6,2019
Sabarkantha,GEN,Gujarat,Rathod Dipsinh Shankarsinh,Bharatiya Janta Party,1695262,1218354,72.2,268987.0,22.1,2019
Sagar,GEN,Madhya Pradesh [2000 Onwards],Rajbahadur Singh,Bharatiya Janta Party,1550731,1037175,67.5,305542.0,29.5,2019
Saharanpur,GEN,Uttar Pradesh [2000 Onwards],Haji Fazlur Rehman,Bahujan Samaj Party,1677662,1231746,73.7,22417.0,1.8,2019
Salem,GEN,Tamil Nadu,Parthiban.S.R,Dravida Munetra Kazhagam,1580013,1255459,80.5,146926.0,11.7,2019
Salempur,GEN,Uttar Pradesh [2000 Onwards],Ravinder,Bharatiya Janta Party,1652927,921066,56.2,112477.0,12.2,2019
Samastipur,SC,Bihar [2000 Onwards],Ramchandra Paswan,Lok Jan Shakti Party,1655671,1019025,63.7,251643.0,24.7,2019
Sambalpur,GEN,Orissa,Nitesh Ganga Deb,Bharatiya Janta Party,1399694,1124455,81.3,9162.0,0.8,2019
Sambhal,GEN,Uttar Pradesh [2000 Onwards],Dr. Shafiqur Rehman Barq,Samajwadi Party,1782261,1183469,66.8,174826.0,14.8,2019
Sangli,GEN,Maharashtra,Sanjaykaka Patil,Bharatiya Janta Party,1424936,1189958,84.0,164352.0,13.8,2019
Sangrur,GEN,Punjab,Bhagwant Mann,Aam Aadmi Party,1501950,1105888,74.1,110211.0,10.0,2019
Sant Kabir Nag,GEN,Uttar Pradesh [2000 Onwards],Praveen Kumar Nishad,Bharatiya Janta Party,1935219,1063390,55.6,35749.0,3.4,2019
Saran,GEN,Bihar [2000 Onwards],Rajiv Pratap Rudy,Bharatiya Janta Party,1655736,941656,58.6,138429.0,14.7,2019
Sarguja,ST,Chhattisgarh,Renuka Singh Saruta,Bharatiya Janta Party,1617451,1280689,81.0,157873.0,12.3,2019
Sasaram,SC,Bihar [2000 Onwards],Chhedi Paswan,Bharatiya Janta Party,1771935,974749,56.1,165745.0,17.0,2019
Satara,GEN,Maharashtra,Shrimant Chh. Udayanraje Pratapsinhmaharaj Bhonsle,Nationalist Congress Party,1753567,1115434,64.1,126528.0,11.3,2019
Satna,GEN,Madhya Pradesh [2000 Onwards],Ganesh Singh,Bharatiya Janta Party,1533662,1113656,72.8,231473.0,20.8,2019
Secundrabad,GEN,Telangana,G . Kishan Reddy,Bharatiya Janta Party,1890049,915106,48.9,62114.0,6.8,2019
Shahdol,ST,Madhya Pradesh [2000 Onwards],Himadri Singh,Bharatiya Janta Party,1626916,1237858,77.3,403333.0,32.6,2019
Shahjahanpur,SC,Uttar Pradesh [2000 Onwards],Arun Kumar Sagar,Bharatiya Janta Party,2013411,1186157,59.4,268418.0,22.6,2019
Sheohar,GEN,Bihar [2000 Onwards],Rama Devi,Bharatiya Janta Party,1660635,1004559,60.9,340360.0,33.9,2019
Shillong,ST,Meghalaya,Vincent H. Pala,Indian National Congress,1154272,784190,68.3,152433.0,19.4,2019
Shimla,SC,Himachal Pradesh,Suresh Kumar Kashyap,Bharatiya Janta Party,1153363,913608,79.9,327515.0,35.8,2019
Shimoga,GEN,Karnataka,B.Y.Raghavendra.,Bharatiya Janta Party,1640421,1283577,78.7,223360.0,17.4,2019
Shirdi,SC,Maharashtra,Sadashiv Kisan Lokhande,Shiv Sena,1524878,1029362,67.9,120195.0,11.7,2019
Shirur,GEN,Maharashtra,Dr. Amol Ramsing Kolhe,Nationalist Congress Party,2045438,1293117,63.5,58483.0,4.5,2019
Shrawasti,GEN,Uttar Pradesh [2000 Onwards],Ram Shiromani,Bahujan Samaj Party,1868891,997007,54.3,5320.0,0.5,2019
Sidhi,GEN,Madhya Pradesh [2000 Onwards],Riti Pathak,Bharatiya Janta Party,1822205,1282705,70.7,286524.0,22.3,2019
Sikar,GEN,Rajasthan,Sumedhanand Saraswati,Bharatiya Janta Party,1977129,1326969,67.5,297156.0,22.4,2019
Sikkim,GEN,Sikkim,Indra Hang Subba,Sikkim Krantikari Morcha,410317,351746,86.3,12433.0,3.5,2019
Silchar,GEN,Assam,Rajdeep Roy,Bharatiya Janta Party,1002420,949696,95.6,81596.0,8.6,2019
Singhbhum,ST,Jharkhand,Geeta Kora,Indian National Congress,1230774,879329,73.4,72155.0,8.2,2019
Sirsa,SC,Haryana,Sunita Duggal,Bharatiya Janta Party,1740188,1369486,79.0,309918.0,22.6,2019
Sitamarhi,GEN,Bihar [2000 Onwards],Sunil Kumar Pintu,Janata Dal (United),1738001,1038849,60.4,250539.0,24.1,2019
Sitapur,GEN,Uttar Pradesh [2000 Onwards],Rajesh Verma,Bharatiya Janta Party,1653132,1064521,64.9,100833.0,9.5,2019
Sivaganga,GEN,Tamil Nadu,Karti P Chidambaram,Indian National Congress,1529700,1084468,71.5,332244.0,30.6,2019
Siwan,GEN,Bihar [2000 Onwards],Kavita Singh,Janata Dal (United),1780670,984810,55.8,116958.0,11.9,2019
Solapur,SC,Maharashtra,Shri. Sha. Bra. Dr. Jai Sidheshwar Shivachary Mahaswamiji,Bharatiya Janta Party,1747242,1084514,62.4,158608.0,14.6,2019
Sonipat,GEN,Haryana,Ramesh Chander Kaushik,Bharatiya Janta Party,1493894,1129532,75.8,164864.0,14.6,2019
South Delhi,GEN,Delhi [1977 Onwards],Badri Narain Sinha,Bharatiya Janta Party,1752741,1214222,69.6,367043.0,30.2,2019
South Goa,GEN,Goa,Cosme Francisco Caitano Sardinha,Indian National Congress,572200,424575,75.2,9755.0,2.3,2019
Srerampur,GEN,West Bengal,Kalyan Banerjee,All India Trinamool Congress,1983013,1401705,71.7,98536.0,7.0,2019
Srikakulam,,Andhra Pradesh [2014 Onwards],Kinjarapu Ram Mohan Naidu,Telugu Desam,1410763,1157329,83.9,6653.0,0.6,2019
Srinagar,,Jammu & Kashmir,Farooq Abdullah,Jammu & Kashmir National Conference,1205233,186832,15.6,70050.0,37.5,2019
Sriperumbudur,GEN,Tamil Nadu,Baalu.T.R.,Dravida Munetra Kazhagam,2176499,1406782,65.7,507955.0,36.1,2019
Sultanpur,GEN,Uttar Pradesh [2000 Onwards],Maneka Sanjai Gandhi,Bharatiya Janta Party,1739538,1000316,58.1,14526.0,1.5,2019
Sundargarh,ST,Orissa,Jual Oram,Bharatiya Janta Party,1508886,1100129,73.8,223065.0,20.3,2019
Supaul,GEN,Bihar [2000 Onwards],Dileshwar Kamait,Janata Dal (United),1680576,1110805,66.7,266853.0,24.0,2019
Surat,GEN,Gujarat,Darshana Vikram Jardosh,Bharatiya Janta Party,1606425,1068412,67.2,548230.0,51.3,2019
Surendranagar,GEN,Gujarat,Dr. Munjapara Mahendrabhai,Bharatiya Janta Party,1812702,1077726,59.9,277437.0,25.7,2019
