Candidate,Constituency,Party,Criminal Cases,Education,Total Assets,Liabilities,Year
Chandra Prakash Joshi,CHITTORGARH,BJP,0,Graduate Professional,40973304,8627349,2024
Rahul Kaswan,CHURU,INC,0,Graduate,53322989,24417448,2024
Ganapathy Rajkumar P,COIMBATORE,DMK,1,Doctorate,890397608,33284669,2024
Jagadish Chandra Barma Basunia,COOCH BEHAR (SC),AITC,1,Graduate Professional,0,0,2024
M.K. Vishnuprasad,CUDDALORE,INC,1,Graduate Professional,251978580,51111885,2024
Bhartruhari Mahtab,CUTTACK,BJP,1,Post Graduate,199052798,0,2024
Delkar Kalaben Mohanbhai,DADAR & NAGAR HAVELI (ST),BJP,0,Graduate,714454357,15839426,2024
Jaswantsinh Sumanbhai Bhabhor,DAHOD (ST),BJP,0,Graduate Professional,48404861,6287842,2024
Captain Brijesh Chowta,DAKSHINA KANNADA,BJP,1,Graduate,0,0,2024
Patel Umeshbhai Babubhai,DAMAN & DIU,IND,14,Graduate,4752198,406981,2024
Rahul Singh Lodhi,DAMOH,BJP,0,12th Pass,16355135,553202,2024
Gopal Jee Thakur,DARBHANGA,BJP,1,Doctorate,39078830,6875610,2024
Raju Bista,DARJEELING,BJP,2,Graduate,475357268,2794788,2024
Dilip Saikia,DARRANG-UDALGURI,BJP,0,Graduate,0,0,2024
Murari Lal Meena,DAUSA (ST),INC,0,Others,135714010,2166932,2024
Dr. Prabha Mallikarjun,DAVANAGERE,INC,0,Graduate,2412803910,247124278,2024
Shashank Mani,DEORIA,BJP,0,Post Graduate,255540212,0,2024
Mahendra Singh Solanky,DEWAS (SC),BJP,2,Graduate Professional,3817399,2711920,2024
Dulu Mahato,DHANBAD,BJP,22,12th Pass,0,0,2024
Savitri Thakur,DHAR (ST),BJP,0,12th Pass,53107546,6963601,2024
Mani. A.,DHARMAPURI,DMK,1,Graduate Professional,86564403,21287262,2024
Pralhad Joshi,DHARWAD,BJP,0,Graduate,210960953,80123332,2024
Anand Bhadauriya,DHAURAHRA,SP,4,Post Graduate,99723807,960867,2024
Rudra Narayan Pany,DHENKANAL,BJP,8,Graduate,0,0,2024
Rakibul Hussain,DHUBRI,INC,0,Post Graduate,252963888,43646481,2024
Bachhav Shobha Dinesh,DHULE,INC,2,Others,305035058,21160000,2024
Abhishek Banerjee,DIAMOND HARBOUR,AITC,2,Post Graduate,23264563,3600000,2024
Sarbananda Sonowal,DIBRUGARH,BJP,0,Graduate Professional,47585258,2578370,2024
Sachithanantham R,DINDIGUL,CPI(M),9,Graduate,0,0,2024
Bhaskar Murlidhar Bhagare,DINDORI (ST),Nationalist Congress Party – Sharadchandra Pawar,0,Post Graduate,17450827,2444380,2024
Amarsing Tisso,DIPHU (ST),BJP,0,12th Pass,227863561,54075091,2024
Jagdambika Pal,DOMARIYAGANJ,BJP,1,Post Graduate,193536623,7487022,2024
Sougata Ray,DUM DUM,AITC,1,Post Graduate,51230026,0,2024
Nalin Soren,DUMKA (ST),JMM,2,12th Pass,0,0,2024
Vijay Baghel,DURG,BJP,0,Graduate,37162950,3854273,2024
Harsh Malhotra,EAST DELHI,BJP,0,Graduate Professional,40824015,0,2024
Putta Mahesh Kumar,ELURU,TDP,1,Graduate Professional,720851715,200430056,2024
