candidate_name,party,age,state,criminal_cases,education,total_assets,liabilities,year
Mitta Parthasarathi,BJP,60,Andhra Pradesh,2,Graduate,357849990,106820000,2019
Modugula Venugopala Reddy,YSRCP,52,Andhra Pradesh,3,Graduate Professional,137466129,1675274,2019
Mohammad Ishaq,IND,47,Andhra Pradesh,0,12th Pass,5276961,512010,2019
Mohan Ayyappa,IND,29,Andhra Pradesh,0,Post Graduate,0,0,2019
Mojas Raja Sekhar Duggirala,Janasena Party,59,Andhra Pradesh,1,Post Graduate,28930012,0,2019
Mortha Sivarama Krishna,Pyramid Party of India,29,Andhra Pradesh,0,Graduate,0,0,2019
Mugi Surya Prakash,IND,63,Andhra Pradesh,0,Graduate,43266800,0,2019
Mukka Sreenivasa Rao,Janasena Party,39,Andhra Pradesh,0,10th Pass,13428596,0,2019
Mukram Syed,Janasena Party,42,Andhra Pradesh,0,10th Pass,0,0,2019
Muralikrishna Kanderi,India Praja Bandhu Party,41,Andhra Pradesh,0,Others,12796,0,2019
Muttamasetty Lakshmana Siva Prasad Babu,Janasena Party,66,Andhra Pradesh,0,Post Graduate,33169811,137447,2019
N. Reddeppa,YSRCP,68,Andhra Pradesh,0,Post Graduate,17355862,1341542,2019
N.Kristappa,TDP,63,Andhra Pradesh,4,Graduate,51375301,1011804,2019
Nadakuditi Naga Gayathri,IND,38,Andhra Pradesh,0,Post Graduate,0,0,2019
Nagababu Konidela,Janasena Party,58,Andhra Pradesh,0,Graduate Professional,367820773,21678798,2019
Naidugari Rajasekhar,IND,35,Andhra Pradesh,0,Post Graduate,41500,0,2019
Nallam Surya Chandra Rao,Pyramid Party of India,59,Andhra Pradesh,0,Graduate,20935000,898000,2019
Nalli Rajesh,IND,36,Andhra Pradesh,6,10th Pass,3239775,2362420,2019
Nalluri Vijaya Srinivasa Rao,INC,55,Andhra Pradesh,0,12th Pass,0,0,2019
Namballa Krishna Mohan,IND,44,Andhra Pradesh,1,Graduate,707000,500000,2019
Nandini Nallaghatla,IND,43,Andhra Pradesh,0,Post Graduate,509343,409343,2019
Naraharisetty Narasimha Rao,INC,58,Andhra Pradesh,1,Graduate Professional,19342702,6788257,2019
Naramalli Siva Prasad,TDP,68,Andhra Pradesh,0,Graduate Professional,69628816,0,2019
Narasapuram Prasad,IND,50,Andhra Pradesh,0,Others,0,0,2019
Narasimharao Parimi,IND,31,Andhra Pradesh,1,Illiterate,451000,0,2019
Narava Satyavathi,IND,37,Andhra Pradesh,0,10th Pass,964000,0,2019
Naresh Kumar Poojala,IND,25,Andhra Pradesh,0,Others,73786,0,2019
"Neeruguttu Nagesh, M.A., Philosophy",Janapaalana Party (Democratic),32,Andhra Pradesh,0,Post Graduate,1338000,180000,2019
Nuthakki Rama Rao,All India Praja Party,71,Andhra Pradesh,0,Post Graduate,0,0,2019
Nyamatulla Shaik,IND,31,Andhra Pradesh,0,Graduate,4909000,1000000,2019
P. Ramachandran,IND,42,Andhra Pradesh,0,Graduate Professional,3580500,2313000,2019
P.S.Ajay Kumar,CPI(ML)(L),57,Andhra Pradesh,3,Post Graduate,1258000,0,2019
P.V. Parthasarathi,BJP,48,Andhra Pradesh,0,Post Graduate,297510890,62328052,2019
P.V. Srihari,IND,51,Andhra Pradesh,0,Doctorate,0,0,2019
P.V.Midhun Reddy,YSRCP,42,Andhra Pradesh,3,Post Graduate,665085701,205473477,2019
Padchuri Radha Krishna,Radical Democrats Party,40,Andhra Pradesh,0,Graduate,1045000,0,2019
Pakkala Suribabu,INC,60,Andhra Pradesh,1,Post Graduate,74537563,19126000,2019
Pallipattu. Abhinav Vishnu,Mundadugu Praja Party,27,Andhra Pradesh,0,Graduate Professional,92600,0,2019
Panabaka Lakshmi,TDP,60,Andhra Pradesh,0,Doctorate,0,0,2019
Panthagada Vijaya Chakravarthy,RPI(Khobragade),65,Andhra Pradesh,0,Post Graduate,550000,0,2019
Paravasthu Satya Gopinath Das,BJP,48,Andhra Pradesh,0,12th Pass,3939990,0,2019
Pasupuleti Venkataramana,IND,42,Andhra Pradesh,0,Post Graduate,595000,0,2019
Pedada Ramanikumari,INC,48,Andhra Pradesh,0,Post Graduate,117936000,0,2019
Pedakala Varalakshmi,Pyramid Party of India,43,Andhra Pradesh,0,Graduate Professional,0,0,2019
Peddimsetti Venkateswara Rao,Jana Jagruti Party,46,Andhra Pradesh,2,12th Pass,23742000,0,2019
Pentapati Rajesh,IND,39,Andhra Pradesh,0,Others,50000,16000,2019
Peram Siva Nageswara Rao,RPI(A),51,Andhra Pradesh,0,8th Pass,32000000,1000000,2019
Perla Samba Murthy,BJP,58,Andhra Pradesh,0,Post Graduate,375199993,120000000,2019
Pocha Brahmananda Reddy,YSRCP,60,Andhra Pradesh,1,Post Graduate,0,0,2019
Poluru Guruvaiah,IND,30,Andhra Pradesh,0,Illiterate,50000,0,2019
Pothuru Rangaiah,IND,48,Andhra Pradesh,0,8th Pass,1509000,130000,2019
Prasad Veera Potluri,YSRCP,48,Andhra Pradesh,1,Post Graduate,3477616326,209577562,2019
Pula. Nagamaddilety,Ambedkar National Congress,40,Andhra Pradesh,0,10th Pass,50000,0,2019
Pulapaka Raja Sekhar,IND,41,Andhra Pradesh,0,Graduate,0,0,2019
Pydikondala Manikyala Rao,BJP,58,Andhra Pradesh,3,12th Pass,22392505,1242976,2019
R. Udaya Gowri,IND,44,Andhra Pradesh,0,Illiterate,6110000,5543000,2019
Rajani Chelle,Jana Jagruti Party,30,Andhra Pradesh,0,Graduate,261767,0,2019
Ramamohan D.G.,IND,51,Andhra Pradesh,0,12th Pass,447500,0,2019
Ramarao Simhadri,Praja Shanthi Party,41,Andhra Pradesh,0,5th Pass,0,0,2019
Rammohannaidu Kinjarapu,TDP,32,Andhra Pradesh,1,Post Graduate,122791042,12000000,2019
Ramu Naidu Yijurothu,IND,47,Andhra Pradesh,0,10th Pass,100000,0,2019
Rayapati Sambasiva Rao,TDP,75,Andhra Pradesh,0,Graduate,437940180,1233171,2019
Reddyboina Prasanna Kumar,IND,50,Andhra Pradesh,0,5th Pass,12500,0,2019
Revu Sudhakar,IND,34,Andhra Pradesh,0,10th Pass,0,0,2019
Riyaz Dada Miya Shaik,IUML,32,Andhra Pradesh,0,10th Pass,45000,0,2019
Roopa Rammohan Maganti,TDP,45,Andhra Pradesh,0,Graduate,431848590,324874000,2019
Ruddireddy Radhakrishna,AIFB,38,Andhra Pradesh,0,Others,500000,280000,2019
Ruthala Srirama Murthy,INC,49,Andhra Pradesh,0,Graduate Professional,27611641,0,2019
S. A. Indumathi,IND,42,Andhra Pradesh,0,Graduate Professional,0,0,2019
S.Md. Shafath,Rayalaseema Rashtra Samithi,30,Andhra Pradesh,0,Graduate Professional,5000000,0,2019
S.P.Y. Reddy,Janasena Party,69,Andhra Pradesh,1,Graduate,333760526,9594811,2019
S.R.Anjaneyulu,IND,35,Andhra Pradesh,0,Post Graduate,43000,0,2019
S.Ram Mohan,Pyramid Party of India,33,Andhra Pradesh,0,10th Pass,89797,0,2019
Samudrala Chinna Kotaiah,National Dalitha Dhal Party,41,Andhra Pradesh,0,10th Pass,0,0,2019
Sannapureddy Suresh Reddy,BJP,58,Andhra Pradesh,1,Graduate,28828964,700000,2019
Sanyasi Raju Pakalapati,BJP,60,Andhra Pradesh,0,Graduate,125155000,22688000,2019
Sarabandi Raju Sikhinam,Indian Labour Party (Ambedkar Phule),35,Andhra Pradesh,0,Post Graduate,30000,0,2019
Sathi Veera Lakshmi,Pyramid Party of India,38,Andhra Pradesh,0,Illiterate,30000,0,2019
Shaik Jaleel,Navarang Congress Party,43,Andhra Pradesh,0,5th Pass,0,0,2019
Shaik Mahaboob Basha (Mabu),RPI(A),35,Andhra Pradesh,1,Graduate Professional,0,0,2019
Shaik Mastanvali,INC,53,Andhra Pradesh,1,Post Graduate,62806111,0,2019
Shaik Nayub Kamal,Janasena Party,50,Andhra Pradesh,0,12th Pass,55264531,5468120,2019
Shruti Devi Vyricherla,INC,46,Andhra Pradesh,0,Graduate Professional,23592023,0,2019
Sidda Raghava Rao,TDP,61,Andhra Pradesh,0,Graduate,0,0,2019
Siva Chandra Reddy Komma,Anna YSR Congress Party,Unknown,Andhra Pradesh,0,Post Graduate,5160000,1100000,2019
Siva Prasad Padala,Navarang Congress Party,62,Andhra Pradesh,0,10th Pass,1650000,0,2019
Somanath Deshmukh,IND,50,Andhra Pradesh,0,10th Pass,9327000,300000,2019
