candidate_name,party,age,state,criminal_cases,education,total_assets,liabilities,year
Dasari Krishna Murthy,India Praja Bandhu Party,32.0,Andhra Pradesh,0,10th Pass,703000,153000,2019
Devarapogu Maddilety,IND,45.0,Andhra Pradesh,1,10th Pass,0,0,2019
Dhanalakoti Ramana,IND,29.0,Andhra Pradesh,0,Post Graduate,860000,0,2019
Dileep Kilaru,BJP,48.0,Andhra Pradesh,0,Graduate Professional,1369017847,4262122,2019
Doctor Daggumati Sreehari Rao,BSP,52.0,Andhra Pradesh,0,Graduate Professional,6045000,5279699,2019
Dola Jagan Mohana Rao,INC,53.0,Andhra Pradesh,0,Post Graduate,12390000,3846000,2019
Donam Neelakantam,All India Praja Party,49.0,Andhra Pradesh,0,Post Graduate,0,0,2019
Doppalapudi Veera Das,IND,60.0,Andhra Pradesh,0,Graduate,5990000,880000,2019
Dr Gandi Venkata Satyanarayana Rao,BJP,65.0,Andhra Pradesh,0,Post Graduate,57688924,9497894,2019
Dr Sanjeev Kumar,YSRCP,52.0,Andhra Pradesh,0,Post Graduate,325914387,62070621,2019
Dr Sirivella Prasad,INC,51.0,Andhra Pradesh,0,Doctorate,2069078,0,2019
Dr. Kasi Viswanadha Veera Venkata Satyanarayana Reddy Kosuri,BJP,54.0,Andhra Pradesh,0,Doctorate,0,0,2019
Dr. Lakshmi Kantha Reddy Chitla,IND,34.0,Andhra Pradesh,0,Doctorate,170000,90000,2019
Dr. S. Suresh Babu,IND,42.0,Andhra Pradesh,0,Doctorate,9550548,0,2019
Dr.Beesetti Venkata Satyavathi,YSRCP,52.0,Andhra Pradesh,0,Graduate Professional,91526244,11139279,2019
Durgampudi Rami Reddy,IND,66.0,Andhra Pradesh,0,Illiterate,1945300,70000,2019
Durgaprasad. Guntu,IND,51.0,Andhra Pradesh,0,Post Graduate,0,0,2019
Elluri Bhupal,IND,39.0,Andhra Pradesh,0,Graduate,20000,20000,2019
G S Raju,SP,51.0,Andhra Pradesh,0,10th Pass,1700000,0,2019
G Sanjeeva Kumar,Samajwadi Forward Bloc,38.0,Andhra Pradesh,0,10th Pass,160000,0,2019
G. Lalitha,SUCI(C),56.0,Andhra Pradesh,0,Graduate,1279676,0,2019
Gaddala Venu,IND,28.0,Andhra Pradesh,0,Graduate,0,0,2019
Gadde Haribabu,Navodayam Party,40.0,Andhra Pradesh,0,Graduate,20000,100000,2019
Gampala Somasundaram,IND,76.0,Andhra Pradesh,0,Graduate,3340000,0,2019
Gandhi Dhanekula,IND,70.0,Andhra Pradesh,0,10th Pass,1530000,700000,2019
Gandhi Dhanekula,IND,71.0,Andhra Pradesh,0,10th Pass,10590000,800000,2019
Ganji Purnima,RPI(A),35.0,Andhra Pradesh,0,Graduate,0,0,2019
Gannu Mallayya,IND,70.0,Andhra Pradesh,0,Graduate,2113580,0,2019
Ganti Harish Madhur,TDP,30.0,Andhra Pradesh,0,Graduate Professional,73049918,1537488,2019
Geddam David Nelson Babu,Ambedkarite Party of India,60.0,Andhra Pradesh,1,Post Graduate,5020544,760000,2019
Gella Nagamalli,IND,34.0,Andhra Pradesh,0,Graduate Professional,448500,465000,2019
George Bangari,Viduthalai Chiruthaigal Katchi,46.0,Andhra Pradesh,0,Graduate Professional,0,0,2019
Giddama Ranganayakulu,Vishwa Jana Party,43.0,Andhra Pradesh,0,Post Graduate,661000,0,2019
Goddeti Madhavi,YSRCP,26.0,Andhra Pradesh,0,Graduate Professional,141179,0,2019
Godugu Satyanarayana,CPI(ML)(L),40.0,Andhra Pradesh,0,Graduate,28000,0,2019
Gogula Pulakunta Jayanth,IND,61.0,Andhra Pradesh,0,Graduate,3196142,16710,2019
Golla Baburao,IND,46.0,Andhra Pradesh,0,Post Graduate,0,0,2019
Gollu Krishna,INC,55.0,Andhra Pradesh,5,Others,8795000,11400000,2019
Gona Purushottam Reddy,IND,40.0,Andhra Pradesh,4,Graduate,22473647,9206703,2019
Gottumukkala Shivaji,IND,48.0,Andhra Pradesh,0,Post Graduate,8084000,0,2019
Govinda Rao Lagudu,Jana Jagruti Party,40.0,Andhra Pradesh,0,Doctorate,280456,0,2019
Gudivaka Ramanjaneyulu,BJP,57.0,Andhra Pradesh,0,Graduate,0,0,2019
Gudivaka Venkata Naga Basava Rao,IND,26.0,Andhra Pradesh,0,12th Pass,10375500,1830000,2019
Gujjula Eswaraiah,CPI,50.0,Andhra Pradesh,1,Post Graduate,327881,100000,2019
Gundlakunta Sreeramulu,INC,42.0,Andhra Pradesh,0,12th Pass,16452000,1130000,2019
Gurugubilli Rambabu,Marxist Communist Party of India (United),52.0,Andhra Pradesh,0,5th Pass,30000,0,2019
Gurunadha Rao Jetti,INC,55.0,Andhra Pradesh,0,Graduate,0,0,2019
Hamsa Devineni,BJP,33.0,Andhra Pradesh,0,Post Graduate,8762212,1700000,2019
Hatcholi Thomas,IND,47.0,Andhra Pradesh,0,10th Pass,2752615,238020,2019
I.V. Pakkir Reddy,IND,70.0,Andhra Pradesh,2,Graduate,10948558,390264,2019
Jacob Vidyasagar Nakka,Viduthalai Chiruthaigal Katchi,51.0,Andhra Pradesh,2,Post Graduate,3073000,0,2019
Jagadeesh Devaragudi,CPI,58.0,Andhra Pradesh,9,8th Pass,0,0,2019
Jakku Chenna Krishna Reddy,IND,44.0,Andhra Pradesh,1,10th Pass,24746957,12380000,2019
Janga Goutham,INC,49.0,Andhra Pradesh,0,Graduate,14768500,0,2019
Jayadev Galla,TDP,53.0,Andhra Pradesh,0,Graduate,3051485242,203452417,2019
Jayaprakash Narayana Valluru,BJP,44.0,Andhra Pradesh,0,Graduate Professional,39526187,0,2019
Jayaram Duggani,BJP,70.0,Andhra Pradesh,0,Graduate,0,0,2019
Jeldi Raja Mohan,All India Praja Party,61.0,Andhra Pradesh,0,12th Pass,4209000,30000,2019
Jestadi Sudhakar,IND,38.0,Andhra Pradesh,1,10th Pass,462788,0,2019
Jesudasu Seelam,INC,67.0,Andhra Pradesh,0,Post Graduate,126397634,8342498,2019
Josyula China Venkata Suryanarayana,Pyramid Party of India,62.0,Andhra Pradesh,0,Graduate,12035000,2500000,2019
Juturu Chinna Reddy Pavan Reddy,TDP,46.0,Andhra Pradesh,0,Graduate,0,0,2019
Jyothula Venkateswara Rao,Janasena Party,62.0,Andhra Pradesh,0,12th Pass,173451539,1150000,2019
K B Swaroop,Jana Jagruti Party,51.0,Andhra Pradesh,0,Graduate Professional,24454500,0,2019
K Rajiv Reddy,INC,30.0,Andhra Pradesh,0,Graduate Professional,7264263,1700000,2019
K.A.Paul,Praja Shanthi Party,55.0,Andhra Pradesh,2,12th Pass,78000,207017,2019
K.P. Kambagiriswamy,IND,40.0,Andhra Pradesh,1,10th Pass,0,0,2019
K.S. Munirathnam,IND,65.0,Andhra Pradesh,0,Others,5892600,0,2019
K.T.Sreedhar,INC,41.0,Andhra Pradesh,1,Post Graduate,43462500,8128000,2019
Kakileti Ravindra,IND,41.0,Andhra Pradesh,0,10th Pass,1820000,750000,2019
Kanakam Srinivasarao,National Nava Kranthi Party,40.0,Andhra Pradesh,0,10th Pass,50000,0,2019
Kangala Baladora,IND,61.0,Andhra Pradesh,0,Illiterate,0,0,2019
Kankanala Penchala Naidu,IND,33.0,Andhra Pradesh,0,8th Pass,0,0,2019
Kanna Lakshmi Narayana,BJP,64.0,Andhra Pradesh,0,Graduate,391360844,22561506,2019
Kante Sayanna,IND,40.0,Andhra Pradesh,0,Graduate,2251000,0,2019
Kanthiraj Devanand,BSP,64.0,Andhra Pradesh,0,Post Graduate,34436000,1200000,2019
