Sno,Candidate,Constituency ∇,Party,Criminal Case,Education,Total Assets,Liabilities
1,Bapu Rao Soyam,ADILABAD,BJP,52,12th Pass,"Rs 30,99,414  ~ 30 Lacs+","Rs 2,31,450  ~ 2 Lacs+"
2,Satyapal Singh Baghel,AGRA,BJP,5,Doctorate,"Rs 7,42,74,036  ~ 7 Crore+","Rs 86,06,522  ~ 86 Lacs+"
3,Patel Hasmukhbhai Somabhai,AHMEDABAD EAST,BJP,0,Others,"Rs 7,46,99,690  ~ 7 Crore+","Rs 62,52,577  ~ 62 Lacs+"
4,Dr. Solanki Kiritbhai,AHMEDABAD WEST,BJP,0,Post Graduate,"Rs 8,94,74,039  ~ 8 Crore+",Rs 0  ~
5,Sujay Radhakrishna Vikhe,AHMEDNAGAR,BJP,0,Doctorate,,
6,Bhagirath Chaudhary,AJMER,BJP,0,12th Pass,"Rs 8,51,01,774  ~ 8 Crore+","Rs 83,19,942  ~ 83 Lacs+"
7,Sanjay Shamrao Dhotre,AKOLA,BJP,1,Graduate Professional,"Rs 7,71,53,230  ~ 7 Crore+","Rs 1,49,85,774  ~ 1 Crore+"
8,A M Ariff,ALAPPUZHA,CPI(M),2,Graduate Professional,"Rs 1,52,68,906  ~ 1 Crore+","Rs 22,20,700  ~ 22 Lacs+"
9,Ramya Haridas,ALATHUR,INC,3,10th Pass,"Rs 11,52,816  ~ 11 Lacs+",Rs 0  ~
10,Satish Kumar Gautam,ALIGARH,BJP,0,10th Pass,,
11,John Barla,ALIPURDUARS,BJP,9,8th Pass,"Rs 14,18,730  ~ 14 Lacs+",Rs 0  ~
12,Rita Bahuguna Joshi,ALLAHABAD,BJP,6,Doctorate,"Rs 2,69,19,330  ~ 2 Crore+","Rs 16,00,000  ~ 16 Lacs+"
13,Ajay Tamta,ALMORA,BJP,0,12th Pass,"Rs 99,10,448  ~ 99 Lacs+","Rs 55,845  ~ 55 Thou+"
14,Mahant Balak Nath,ALWAR,BJP,0,10th Pass,"Rs 3,52,929  ~ 3 Lacs+",Rs 0  ~
15,Chinta Anuradha,AMALAPURAM,YSRCP,0,Graduate,,
16,Rattan Lal Kataria,AMBALA,BJP,0,Post Graduate,"Rs 5,43,61,499  ~ 5 Crore+","Rs 1,88,861  ~ 1 Lacs+"
17,Ritesh Pandey,AMBEDKAR NAGAR,BSP,1,Graduate,"Rs 30,72,65,121  ~ 30 Crore+","Rs 2,47,39,098  ~ 2 Crore+"
18,Smriti Irani,AMETHI,BJP,0,12th Pass,"Rs 11,10,99,609  ~ 11 Crore+",Rs 0  ~
19,Navneet Ravi Rana,AMRAVATI,IND,1,10th Pass,"Rs 12,45,54,656  ~ 12 Crore+","Rs 7,05,76,979  ~ 7 Crore+"
20,Kachhadiya Naranbhai Bhikhabhai,AMRELI,BJP,0,12th Pass,,
21,Gurjeet Singh Aujla,AMRITSAR,INC,0,12th Pass,"Rs 3,40,11,739  ~ 3 Crore+","Rs 90,31,565  ~ 90 Lacs+"
22,Kunwar Danish Ali,AMROHA,BSP,0,Post Graduate,"Rs 7,49,20,879  ~ 7 Crore+","Rs 1,95,79,691  ~ 1 Crore+"
23,Dr.Beesetti Venkata Satyavathi,ANAKAPALLE,YSRCP,0,Graduate Professional,"Rs 9,15,26,244  ~ 9 Crore+","Rs 1,11,39,279  ~ 1 Crore+"
24,Miteshbhai Patel,ANAND,BJP,2,Others,"Rs 7,70,43,053  ~ 7 Crore+","Rs 78,10,840  ~ 78 Lacs+"
25,Manish Tewari,ANANDPUR SAHIB,INC,0,Graduate Professional,,
26,Talari Rangaiah,ANANTAPUR,YSRCP,1,Doctorate,"Rs 1,17,73,091  ~ 1 Crore+","Rs 11,35,547  ~ 11 Lacs+"
27,Hasnain Masoodi,ANANTNAG,Jammu & Kashmir National Conference,0,Post Graduate,"Rs 8,76,20,672  ~ 8 Crore+",Rs 0  ~
28,Kuldeep Rai Sharma,ANDAMAN AND NICOBAR ISLANDS,INC,0,Graduate Professional,"Rs 13,22,33,012  ~ 13 Crore+","Rs 8,04,50,870  ~ 8 Crore+"
29,Dharmendra Kumar,AONLA,BJP,0,10th Pass,"Rs 2,17,66,502  ~ 2 Crore+","Rs 33,24,300  ~ 33 Lacs+"
30,S. Jagathrakshakan,ARAKKONAM,DMK,2,10th Pass,,
31,Goddeti Madhavi,ARAKU,YSRCP,0,Graduate Professional,"Rs 1,41,179  ~ 1 Lacs+",Rs 0  ~
32,Aparupa Poddar (Afrin Ali),ARAMBAG,AITC,1,Post Graduate,"Rs 1,25,27,597  ~ 1 Crore+","Rs 42,44,000  ~ 42 Lacs+"
33,Vishnuprasad. M.K,ARANI,INC,1,Graduate Professional,"Rs 23,45,64,815  ~ 23 Crore+","Rs 3,34,09,505  ~ 3 Crore+"
34,Pradeep Kumar Singh,ARARIA,BJP,3,10th Pass,"Rs 50,10,577  ~ 50 Lacs+","Rs 11,59,200  ~ 11 Lacs+"
35,R. K. Singh,ARRAH,BJP,1,Graduate Professional,,
36,Tapir Gao,ARUNACHAL EAST,BJP,0,Post Graduate,"Rs 13,66,28,259  ~ 13 Crore+",Rs 0  ~
37,Kiren Rijiju,ARUNACHAL WEST,BJP,0,Graduate Professional,"Rs 1,52,79,000  ~ 1 Crore+",Rs 0  ~
38,Babul Supriya Baral,ASANSOL,BJP,4,Graduate,"Rs 5,92,34,826  ~ 5 Crore+","Rs 57,22,184  ~ 57 Lacs+"
39,Pramila Bisoyi,ASKA,BJD,0,5th Pass,"Rs 7,32,470  ~ 7 Lacs+",Rs 0  ~
40,Adoor Prakash,ATTINGAL,INC,7,Graduate Professional,,
41,Sushil Kumar Singh,AURANGABAD,BJP,3,Post Graduate,"Rs 16,78,95,109  ~ 16 Crore+","Rs 37,46,607  ~ 37 Lacs+"
42,Imtiaz Jaleel Syed,AURANGABAD,AIMIM,4,Post Graduate,"Rs 2,95,62,768  ~ 2 Crore+","Rs 68,00,000  ~ 68 Lacs+"
43,Horen Sing Bey,AUTONOMOUS DISTRICT,BJP,2,Graduate,"Rs 2,06,93,570  ~ 2 Crore+","Rs 59,56,209  ~ 59 Lacs+"
44,Akhilesh Yadav,AZAMGARH,SP,0,Graduate Professional,"Rs 37,78,59,166  ~ 37 Crore+","Rs 28,53,000  ~ 28 Lacs+"
45,Sangh Mitra Maurya,BADAUN,BJP,2,Graduate Professional,,
46,Gaddigoudar Parvatagouda Chandanagouda,BAGALKOT,BJP,0,Graduate Professional,"Rs 4,39,80,663  ~ 4 Crore+","Rs 79,87,991  ~ 79 Lacs+"
47,Dr. Satyapal Singh,BAGHPAT,BJP,1,Doctorate,"Rs 7,81,95,793  ~ 7 Crore+",Rs 0  ~
48,Adhir Ranjan Chowdhury,BAHARAMPUR,INC,7,10th Pass,"Rs 10,13,15,437  ~ 10 Crore+","Rs 85,06,984  ~ 85 Lacs+"
49,Akshayabar Lal,BAHRAICH,BJP,0,10th Pass,"Rs 4,56,91,463  ~ 4 Crore+","Rs 30,28,133  ~ 30 Lacs+"
50,Dr. Dhal Singh Bisen,BALAGHAT,BJP,0,Others,,
51,Pratap Chandra Sarangi,BALASORE,BJP,7,Graduate,"Rs 13,46,236  ~ 13 Lacs+",Rs 160  ~ 1 Hund+
52,Virendra Singh,BALLIA,BJP,2,Graduate,"Rs 2,44,98,319  ~ 2 Crore+",Rs 0  ~
53,Sukanta Majumdar,BALURGHAT,BJP,0,Doctorate,"Rs 58,25,866  ~ 58 Lacs+","Rs 21,68,170  ~ 21 Lacs+"
54,Parbatbhai Patel,BANASKANTHA,BJP,0,Graduate Professional,"Rs 4,18,19,177  ~ 4 Crore+","Rs 45,00,000  ~ 45 Lacs+"
55,R.K. Singh Patel,BANDA,BJP,2,Graduate,,
56,P. C. Mohan,BANGALORE CENTRAL,BJP,0,12th Pass,"Rs 75,55,29,306  ~ 75 Crore+","Rs 31,25,21,957  ~ 31 Crore+"
57,D.V. Sadananda Gowda,BANGALORE NORTH,BJP,0,Graduate Professional,"Rs 20,93,84,539  ~ 20 Crore+","Rs 10,43,02,653  ~ 10 Crore+"
58,D.K. Suresh,BANGALORE RURAL,INC,5,12th Pass,"Rs 3,38,89,20,717  ~ 338 Crore+","Rs 51,93,20,305  ~ 51 Crore+"
59,Tejasvi Surya,BANGALORE SOUTH,BJP,0,Graduate Professional,"Rs 13,46,593  ~ 13 Lacs+",Rs 0  ~
60,Shantanu Thakur,BANGAON,BJP,8,Graduate,,
61,Giridhari Yadav,BANKA,JD(U),1,Post Graduate,"Rs 1,98,16,050  ~ 1 Crore+","Rs 4,05,701  ~ 4 Lacs+"
62,Subhas Kumar Sarkar,BANKURA,BJP,1,Graduate Professional,"Rs 1,97,99,440  ~ 1 Crore+","Rs 32,61,495  ~ 32 Lacs+"
63,Kamlesh Paswan,BANSGAON,BJP,5,Graduate,"Rs 17,17,06,883  ~ 17 Crore+","Rs 60,49,264  ~ 60 Lacs+"
64,Kanakmal Katara,BANSWARA,BJP,0,Graduate Professional,"Rs 5,87,11,904  ~ 5 Crore+","Rs 17,46,729  ~ 17 Lacs+"
65,Suresh Babu Nandigam,BAPATLA,YSRCP,0,8th Pass,,
66,Upendra Singh Rawat,BARABANKI,BJP,1,Post Graduate,"Rs 1,80,50,127  ~ 1 Crore+","Rs 31,71,774  ~ 31 Lacs+"
67,Supriya Sadanand Sule,BARAMATI,NCP,0,Graduate,"Rs 1,40,88,88,704  ~ 140 Crore+","Rs 55,00,000  ~ 55 Lacs+"
68,Mohammad Akbar Lone,BARAMULLA,Jammu & Kashmir National Conference,0,Graduate Professional,"Rs 59,74,34,000  ~ 59 Crore+","Rs 1,04,935  ~ 1 Lacs+"
69,Dr. Kakoli Ghoshdastidar,BARASAT,AITC,2,Post Graduate,"Rs 4,05,31,018  ~ 4 Crore+","Rs 14,96,059  ~ 14 Lacs+"
70,Surendrajeet Singh Ahluwalia,BARDHAMAN DURGAPUR,BJP,0,Graduate Professional,,
71,Sunil Kumar Mondal,BARDHAMAN PURBA,AITC,0,Graduate Professional,"Rs 2,03,71,283  ~ 2 Crore+","Rs 1,48,598  ~ 1 Lacs+"
72,Parbhubhai Nagarbhai Vasava,BARDOLI,BJP,0,Others,"Rs 2,83,50,217  ~ 2 Crore+","Rs 36,76,869  ~ 36 Lacs+"
73,Santosh Kumar Gangwar,BAREILLY,BJP,0,Graduate Professional,"Rs 12,63,56,142  ~ 12 Crore+","Rs 1,30,55,209  ~ 1 Crore+"
74,Suresh Pujari,BARGARH,BJP,0,Post Graduate,"Rs 1,16,73,429  ~ 1 Crore+",Rs 0  ~
75,Kailash Choudhary,BARMER,BJP,2,Graduate,,
76,Abdul Khaleque,BARPETA,INC,0,Post Graduate,"Rs 73,98,753  ~ 73 Lacs+","Rs 27,03,693  ~ 27 Lacs+"
77,Arjun Singh,BARRACKPUR,BJP,24,10th Pass,"Rs 80,55,691  ~ 80 Lacs+","Rs 11,00,000  ~ 11 Lacs+"
78,Nusrat Jahan Ruhi,BASIRHAT,AITC,0,12th Pass,"Rs 2,90,88,391  ~ 2 Crore+","Rs 1,68,81,608  ~ 1 Crore+"
79,Deepak Kumar Baij,BASTAR,INC,1,Post Graduate,"Rs 77,21,293  ~ 77 Lacs+","Rs 18,01,236  ~ 18 Lacs+"
80,Harish Chandra Alias Harish Dwivedi,BASTI,BJP,5,Post Graduate,,
81,Harsimrat Kaur Badal,BATHINDA,SAD,0,10th Pass,"Rs 2,17,99,19,870  ~ 217 Crore+","Rs 95,48,52,600  ~ 95 Crore+"
82,Pritam Gopinathrao Munde,BEED,BJP,1,Post Graduate,"Rs 16,74,77,926  ~ 16 Crore+","Rs 9,88,33,794  ~ 9 Crore+"
83,Giriraj Singh,BEGUSARAI,BJP,6,Graduate,"Rs 8,30,24,577  ~ 8 Crore+","Rs 1,22,36,000  ~ 1 Crore+"
84,Angadi Suresh,BELGAUM,BJP,0,Graduate Professional,"Rs 36,61,64,525  ~ 36 Crore+","Rs 19,84,79,638  ~ 19 Crore+"
85,Y. Devendrappa,BELLARY,BJP,0,5th Pass,,
86,Chandra Sekhar Sahu,BERHAMPUR,BJD,0,10th Pass,"Rs 1,17,16,989  ~ 1 Crore+",Rs 0  ~
87,Durga Das (D.D.) Uikey,BETUL,BJP,0,Post Graduate,"Rs 1,54,13,532  ~ 1 Crore+","Rs 8,75,803  ~ 8 Lacs+"
88,Ramesh Chand,BHADOHI,BJP,6,10th Pass,"Rs 9,40,89,148  ~ 9 Crore+","Rs 2,16,96,413  ~ 2 Crore+"
89,Manjulata Mandal,BHADRAK,BJD,0,Graduate,"Rs 3,94,17,891  ~ 3 Crore+","Rs 89,58,149  ~ 89 Lacs+"
90,Ajay Kumar Mandal,BHAGALPUR,JD(U),0,8th Pass,,
91,Sunil Baburao Mendhe,BHANDARA GONDIYA,BJP,2,Others,"Rs 62,75,43,615  ~ 62 Crore+","Rs 1,98,61,338  ~ 1 Crore+"
92,Ranjeeta Kumari,BHARATPUR,BJP,0,8th Pass,"Rs 31,17,190  ~ 31 Lacs+",Rs 0  ~
93,Mansukhbhai Vasava,BHARUCH,BJP,0,Post Graduate,"Rs 68,35,957  ~ 68 Lacs+",Rs 0  ~
94,Dr.Bharatiben Dhirubhai Shiyal,BHAVNAGAR,BJP,0,Graduate Professional,"Rs 1,77,53,161  ~ 1 Crore+","Rs 36,89,036  ~ 36 Lacs+"
95,Subhash Chandra Baheria,BHILWARA,BJP,0,Graduate,,
96,Sandhya Ray,BHIND,BJP,0,Post Graduate,"Rs 5,11,08,660  ~ 5 Crore+","Rs 1,34,00,000  ~ 1 Crore+"
97,Kapil Moreshwar Patil,BHIWANDI,BJP,0,Graduate,"Rs 41,88,50,781  ~ 41 Crore+","Rs 56,45,459  ~ 56 Lacs+"
98,Dharambir Singh,BHIWANI MAHENDRAGARH,BJP,0,Graduate,"Rs 6,06,42,205  ~ 6 Crore+","Rs 2,40,000  ~ 2 Lacs+"
99,Komatireddy Venakat Reddy,BHONGIR,INC,14,12th Pass,"Rs 16,25,43,845  ~ 16 Crore+","Rs 2,40,69,129  ~ 2 Crore+"
100,Sadhvi Pragya Singh Thakur,BHOPAL,BJP,1,Post Graduate,,
101,Aparajita Sarangi,BHUBANESWAR,BJP,0,Graduate,"Rs 3,16,77,600  ~ 3 Crore+","Rs 43,29,959  ~ 43 Lacs+"
102,Bhagwanth Khuba,BIDAR,BJP,1,Graduate Professional,"Rs 5,18,36,416  ~ 5 Crore+","Rs 1,02,39,000  ~ 1 Crore+"
103,Jigajinagi Ramesh Chandappa,BIJAPUR,BJP,0,Graduate,"Rs 50,41,22,985  ~ 50 Crore+","Rs 16,00,000  ~ 16 Lacs+"
104,Malook Nagar,BIJNOR,BSP,7,Graduate,"Rs 2,49,96,28,021  ~ 249 Crore+","Rs 1,01,61,48,176  ~ 101 Crore+"
105,Arjun Ram Meghwal,BIKANER,BJP,0,Post Graduate,,
106,Arun Sao,BILASPUR,BJP,0,Graduate Professional,"Rs 1,35,44,588  ~ 1 Crore+","Rs 50,000  ~ 50 Thou+"
107,Satabdi Roy (Banerjee),BIRBHUM,AITC,0,Graduate,"Rs 4,86,52,722  ~ 4 Crore+","Rs 1,86,04,443  ~ 1 Crore+"
108,Saumitra Khan,BISHNUPUR,BJP,6,12th Pass,"Rs 86,56,777  ~ 86 Lacs+","Rs 10,77,120  ~ 10 Lacs+"
109,Smt. Sangeeta Kumari Singh Deo,BOLANGIR,BJP,0,Graduate,"Rs 37,95,90,851  ~ 37 Crore+","Rs 75,00,000  ~ 75 Lacs+"
110,Asit Kumar Mal,BOLPUR,AITC,0,10th Pass,,
111,Bhola Singh,BULANDSHAHR,BJP,1,Graduate,"Rs 1,87,28,861  ~ 1 Crore+",Rs 0  ~
112,Prataprao Ganpatrao Jadhav,BULDHANA,SHS,3,12th Pass,"Rs 11,62,72,966  ~ 11 Crore+","Rs 7,35,482  ~ 7 Lacs+"
113,Ashwini Kumar Choubey,BUXAR,BJP,3,Graduate,"Rs 4,01,83,612  ~ 4 Crore+","Rs 13,50,667  ~ 13 Lacs+"
114,Benny Behanan,CHALAKUDY,INC,4,Graduate,"Rs 2,04,61,931  ~ 2 Crore+","Rs 9,15,938  ~ 9 Lacs+"
115,V Srinivas Prasad,CHAMARAJANAGAR,BJP,0,Post Graduate,,
116,Dr. Mahendra Nath Pandey,CHANDAULI,BJP,0,Doctorate,"Rs 3,33,59,734  ~ 3 Crore+",Rs 0  ~
117,Kirron Kher,CHANDIGARH,BJP,0,Post Graduate,"Rs 47,49,83,574  ~ 47 Crore+","Rs 62,79,188  ~ 62 Lacs+"
118,Harsh Vardhan,CHANDNI CHOWK,BJP,0,Post Graduate,"Rs 3,01,71,897  ~ 3 Crore+",Rs 0  ~
119,Dhanorkar Suresh Narayan,CHANDRAPUR,INC,5,12th Pass,"Rs 13,74,55,342  ~ 13 Crore+","Rs 2,27,52,880  ~ 2 Crore+"
120,Sunil Kumar Singh,CHATRA,BJP,0,Post Graduate,,
121,Dayanidhi Maran,CHENNAI CENTRAL,DMK,1,Graduate,"Rs 11,67,90,616  ~ 11 Crore+",Rs 0  ~
122,Dr. Kalanidhi Veeraswamy,CHENNAI NORTH,DMK,0,Post Graduate,"Rs 40,52,94,714  ~ 40 Crore+","Rs 25,83,86,550  ~ 25 Crore+"
123,Sumathy Alias Thamizhachi Thangapandian,CHENNAI SOUTH,DMK,0,Doctorate,"Rs 9,17,93,460  ~ 9 Crore+","Rs 5,00,000  ~ 5 Lacs+"
124,Dr.Gaddam Ranjith Reddy,CHEVELLA,TRS,0,Post Graduate,"Rs 1,63,46,95,131  ~ 163 Crore+","Rs 19,70,07,553  ~ 19 Crore+"
125,Nakul Nath,CHHINDWARA,INC,0,Graduate,,
126,Rathva Gitaben Vajesingbhai,CHHOTA UDAIPUR,BJP,0,12th Pass,"Rs 86,34,660  ~ 86 Lacs+",Rs 0  ~
127,Thirumaavalavan Thol,CHIDAMBARAM,Viduthalai Chiruthaigal Katchi,3,Doctorate,"Rs 92,44,092  ~ 92 Lacs+","Rs 3,94,248  ~ 3 Lacs+"
128,B.N.Bache Gowda,CHIKKBALLAPUR,BJP,0,Graduate Professional,"Rs 1,15,35,01,141  ~ 115 Crore+",Rs 0  ~
129,Annasaheb Shankar Jolle,CHIKKODI,BJP,0,12th Pass,"Rs 34,49,22,831  ~ 34 Crore+","Rs 19,55,95,693  ~ 19 Crore+"
130,A Narayanaswamy,CHITRADURGA,BJP,0,Graduate,,
131,N. Reddeppa,CHITTOOR,YSRCP,0,Post Graduate,"Rs 1,73,55,862  ~ 1 Crore+","Rs 13,41,542  ~ 13 Lacs+"
132,Chandra Prakash,CHITTORGARH,BJP,0,Graduate,"Rs 1,97,25,115  ~ 1 Crore+","Rs 1,00,000  ~ 1 Lacs+"
133,Rahul Kaswan,CHURU,BJP,0,Graduate,"Rs 3,67,23,865  ~ 3 Crore+","Rs 1,51,63,379  ~ 1 Crore+"
134,P R Natarajan,COIMBATORE,CPI(M),1,12th Pass,"Rs 2,02,84,430  ~ 2 Crore+","Rs 32,34,168  ~ 32 Lacs+"
135,Sri Nisith Pramanik,COOCH BEHAR,BJP,11,8th Pass,,
136,T. R. V .S. Ramesh,CUDDALORE,DMK,0,Graduate Professional,"Rs 42,33,78,552  ~ 42 Crore+","Rs 10,28,28,604  ~ 10 Crore+"
137,Bhartruhari Mahtab,CUTTACK,BJD,0,Post Graduate,"Rs 10,68,94,976  ~ 10 Crore+",Rs 0  ~
138,Delkar Mohanbhai Sanjibhai,DADRA AND NAGAR HAVELI,IND,0,Graduate,"Rs 70,88,85,980  ~ 70 Crore+","Rs 3,72,68,162  ~ 3 Crore+"
139,Jasvantsinh Sumanbhai Bhabhor,DAHOD,BJP,0,Graduate Professional,"Rs 2,70,70,480  ~ 2 Crore+",Rs 0  ~
140,Nalin Kumar Kateel,DAKSHINA KANNADA,BJP,4,10th Pass,,
141,Patel Lalubhai Babubhai,DAMAN AND DIU,BJP,0,8th Pass,"Rs 21,39,93,750  ~ 21 Crore+","Rs 99,69,514  ~ 99 Lacs+"
142,Prahalad Singh Patel,DAMOH,BJP,0,Graduate Professional,"Rs 4,32,92,483  ~ 4 Crore+","Rs 42,30,614  ~ 42 Lacs+"
143,Gopaljee Thakur,DARBHANGA,BJP,0,Post Graduate,"Rs 1,93,01,808  ~ 1 Crore+","Rs 10,39,660  ~ 10 Lacs+"
144,Raju Bista,DARJEELING,BJP,0,Graduate,"Rs 15,11,06,062  ~ 15 Crore+","Rs 2,74,28,941  ~ 2 Crore+"
145,Jaskaur Meena,DAUSA,BJP,0,Post Graduate,,
146,G M Siddeshwar,DAVANAGERE,BJP,0,10th Pass,"Rs 38,01,64,932  ~ 38 Crore+","Rs 1,46,70,809  ~ 1 Crore+"
147,Ramapati Ram Tripathi,DEORIA,BJP,1,Graduate Professional,"Rs 2,94,51,678  ~ 2 Crore+","Rs 93,10,684  ~ 93 Lacs+"
148,Mahendra Singh Solanky,DEWAS,BJP,0,Graduate Professional,"Rs 38,12,464  ~ 38 Lacs+","Rs 18,32,631  ~ 18 Lacs+"
149,Pashupati Nath Singh,DHANBAD,BJP,0,Graduate,"Rs 2,72,86,918  ~ 2 Crore+",Rs 0  ~
150,Chhatar Singh Darbar,DHAR,BJP,1,Post Graduate,,
151,Dnv Senthilkumar.S,DHARMAPURI,DMK,1,Post Graduate,"Rs 4,84,77,451  ~ 4 Crore+","Rs 60,53,502  ~ 60 Lacs+"
152,Pralhad Joshi,DHARWAD,BJP,1,Graduate,"Rs 11,13,84,447  ~ 11 Crore+","Rs 5,17,36,254  ~ 5 Crore+"
153,Rekha Verma,DHAURAHRA,BJP,3,12th Pass,"Rs 2,47,35,488  ~ 2 Crore+","Rs 70,95,916  ~ 70 Lacs+"
154,Mahesh Sahoo,DHENKANAL,BJD,1,12th Pass,"Rs 1,45,29,286  ~ 1 Crore+",Rs 0  ~
155,Badruddin Ajmal,DHUBRI,AIUDF,7,Post Graduate,,
156,Subhash Ramrao Bhamre,DHULE,BJP,2,Post Graduate,"Rs 15,86,51,112  ~ 15 Crore+","Rs 10,00,000  ~ 10 Lacs+"
157,Abhishek Banerjee,DIAMOND HARBOUR,AITC,0,Graduate,"Rs 1,37,94,320  ~ 1 Crore+",Rs 0  ~
158,Rameswar Teli,DIBRUGARH,BJP,0,10th Pass,"Rs 43,70,067  ~ 43 Lacs+",Rs 0  ~
159,Velusamy P,DINDIGUL,DMK,0,Illiterate,"Rs 14,80,76,407  ~ 14 Crore+","Rs 3,14,74,526  ~ 3 Crore+"
160,Bharti Pawar,DINDORI,BJP,0,Graduate Professional,,
161,Jagdambika Pal,DOMARIYAGANJ,BJP,3,Post Graduate,"Rs 10,33,66,710  ~ 10 Crore+","Rs 28,38,478  ~ 28 Lacs+"
162,Sougata Ray,DUM DUM,AITC,1,Post Graduate,"Rs 4,25,18,790  ~ 4 Crore+",Rs 0  ~
163,Sunil Soren,DUMKA,BJP,0,12th Pass,"Rs 47,37,559  ~ 47 Lacs+","Rs 6,85,516  ~ 6 Lacs+"
164,Vijay Baghel,DURG,BJP,0,Graduate,"Rs 3,44,29,027  ~ 3 Crore+","Rs 87,48,686  ~ 87 Lacs+"
165,Gautam Gambhir,EAST DELHI,BJP,1,12th Pass,,
166,Sridhar Kotagiri,ELURU,YSRCP,0,Graduate Professional,"Rs 46,28,08,829  ~ 46 Crore+","Rs 3,35,60,974  ~ 3 Crore+"
167,Hibi Eden,ERNAKULAM,INC,7,Graduate,"Rs 79,08,467  ~ 79 Lacs+","Rs 2,00,000  ~ 2 Lacs+"
168,Ganeshamurthi A,ERODE,DMK,0,Graduate,"Rs 4,31,10,000  ~ 4 Crore+","Rs 20,60,000  ~ 20 Lacs+"
169,Rajveer Singh,ETAH,BJP,0,Graduate Professional,"Rs 38,36,29,735  ~ 38 Crore+","Rs 10,02,20,000  ~ 10 Crore+"
170,Dr Ram Shankar Katheria,ETAWAH,BJP,12,Doctorate,,
171,Lallu Singh,FAIZABAD,BJP,1,Post Graduate,"Rs 3,18,84,642  ~ 3 Crore+","Rs 1,12,76,478  ~ 1 Crore+"
172,Krishan Pal,FARIDABAD,BJP,0,Graduate Professional,"Rs 36,96,52,786  ~ 36 Crore+","Rs 10,55,93,242  ~ 10 Crore+"
173,Mohammad Sadique,FARIDKOT,INC,0,5th Pass,"Rs 1,97,93,884  ~ 1 Crore+","Rs 3,11,043  ~ 3 Lacs+"
174,Mukesh Rajput,FARRUKHABAD,BJP,0,Graduate,"Rs 7,49,64,501  ~ 7 Crore+","Rs 3,88,246  ~ 3 Lacs+"
175,Amar Singh,FATEHGARH SAHIB,INC,0,Post Graduate,,
176,Sadhvi Niranjan Jyoti,FATEHPUR,BJP,0,12th Pass,"Rs 1,06,67,372  ~ 1 Crore+","Rs 9,10,148  ~ 9 Lacs+"
177,Rajkumar Chahar,FATEHPUR SIKRI,BJP,3,Graduate,"Rs 1,48,54,247  ~ 1 Crore+","Rs 3,56,404  ~ 3 Lacs+"
178,Dr. Chandra Sen Jadon,FIROZABAD,BJP,0,Graduate Professional,"Rs 4,28,72,395  ~ 4 Crore+",Rs 0  ~
179,Sukhbir Singh Badal,FIROZPUR,SAD,4,Post Graduate,"Rs 2,17,99,19,870  ~ 217 Crore+","Rs 95,48,52,600  ~ 95 Crore+"
180,Ashok Mahadevrao Nete,GADCHIROLI CHIMUR,BJP,0,12th Pass,,
181,Amit Shah,GANDHINAGAR,BJP,4,12th Pass,"Rs 40,32,75,307  ~ 40 Crore+","Rs 47,69,587  ~ 47 Lacs+"
182,Nihal Chand,GANGANAGAR,BJP,0,Graduate,"Rs 2,10,14,362  ~ 2 Crore+","Rs 36,31,287  ~ 36 Lacs+"
183,Tirath Singh Rawat,GARHWAL,BJP,0,Post Graduate,"Rs 1,50,32,657  ~ 1 Crore+","Rs 35,00,000  ~ 35 Lacs+"
184,Queen Oja,GAUHATI,BJP,0,Graduate,"Rs 63,02,19,570  ~ 63 Crore+","Rs 3,40,34,178  ~ 3 Crore+"
185,Dr. Mahesh Sharma,GAUTAM BUDDHA NAGAR,BJP,0,Graduate Professional,,
186,Vijay Kumar,GAYA,JD(U),3,12th Pass,"Rs 1,27,66,141  ~ 1 Crore+","Rs 31,48,932  ~ 31 Lacs+"
187,Deepak Adhikari,GHATAL,AITC,0,Others,"Rs 31,73,20,579  ~ 31 Crore+","Rs 78,79,681  ~ 78 Lacs+"
188,Vijay Kumar Singh,GHAZIABAD,BJP,2,Doctorate,"Rs 5,65,45,702  ~ 5 Crore+",Rs 0  ~
189,Afzal Ansari,GHAZIPUR,BSP,5,Post Graduate,"Rs 13,79,38,756  ~ 13 Crore+",Rs 0  ~
190,Atul Kumar Singh,GHOSI,BSP,13,Graduate,,
191,Chandra Prakash Choudhary,GIRIDIH,AJSU Party,2,Graduate,"Rs 1,34,56,889  ~ 1 Crore+","Rs 13,30,000  ~ 13 Lacs+"
192,Nishikant Dubey,GODDA,BJP,4,Doctorate,"Rs 46,27,57,500  ~ 46 Crore+",Rs 0  ~
193,Kirti Vardhan Singh Alias Raja Bhaiya,GONDA,BJP,0,Post Graduate,"Rs 23,27,35,285  ~ 23 Crore+","Rs 2,32,01,603  ~ 2 Crore+"
194,Dr. Alok Kumar Suman,GOPALGANJ,JD(U),0,Post Graduate,"Rs 3,27,39,903  ~ 3 Crore+","Rs 35,76,376  ~ 35 Lacs+"
195,Ravindra Shyamnarayan Shukla Alias Ravi Kishan,GORAKHPUR,BJP,0,12th Pass,,
196,Dr. Umesh G Jadhav,GULBARGA,BJP,0,Post Graduate,"Rs 3,74,90,597  ~ 3 Crore+",Rs 0  ~
