Sno,Candidate,Constituency ∇,Party,Criminal Case,Education,Total Assets,Liabilities
276,Rajmohan Unnithan,KASARAGOD,INC,1,Graduate,"Rs 2,15,70,257  ~ 2 Crore+","Rs 8,62,257  ~ 8 Lacs+"
277,Dulal Chandra Goswami,KATIHAR,JD(U),1,Graduate,"Rs 1,33,02,734  ~ 1 Crore+","Rs 31,30,766  ~ 31 Lacs+"
278,Vinod Kumar Sonkar,KAUSHAMBI,BJP,4,Graduate,"Rs 5,93,36,113  ~ 5 Crore+","Rs 2,07,30,086  ~ 2 Crore+"
279,Anubhav Mohanty,KENDRAPARA,BJD,0,Graduate,"Rs 2,23,09,172  ~ 2 Crore+","Rs 41,33,506  ~ 41 Lacs+"
280,Chandrani Murmu,KEONJHAR,BJD,0,Graduate Professional,,
281,Jasbir Singh Gill,KHADOOR SAHIB,INC,0,Others,"Rs 8,13,93,500  ~ 8 Crore+","Rs 46,55,000  ~ 46 Lacs+"
282,Choudhary Mahbub Ali Kaisar,KHAGARIA,LJP,1,Graduate,"Rs 10,97,88,313  ~ 10 Crore+",Rs 0  ~
283,Vishnu Datt Sharma,KHAJURAHO,BJP,0,Post Graduate,"Rs 1,05,89,334  ~ 1 Crore+","Rs 25,07,176  ~ 25 Lacs+"
284,Nama Nageswr Rao,KHAMMAM,TRS,5,12th Pass,"Rs 1,07,46,71,341  ~ 107 Crore+","Rs 8,07,21,594  ~ 8 Crore+"
285,Nandkumar Singh Chouhan (Nandu Bhaiya),KHANDWA,BJP,0,Post Graduate,,
286,Gajendra Umrao Singh Patel,KHARGONE,BJP,0,Graduate Professional,"Rs 6,73,03,990  ~ 6 Crore+","Rs 18,85,020  ~ 18 Lacs+"
287,Chauhan Devusinh,KHEDA,BJP,0,Others,"Rs 1,30,23,202  ~ 1 Crore+","Rs 9,95,240  ~ 9 Lacs+"
288,Ajay Kumar,KHERI,BJP,1,Graduate Professional,"Rs 4,52,95,455  ~ 4 Crore+",Rs 0  ~
289,Arjun Munda,KHUNTI,BJP,0,12th Pass,"Rs 9,15,07,865  ~ 9 Crore+","Rs 2,71,06,434  ~ 2 Crore+"
290,Dr. Mohammad Jawed,KISHANGANJ,INC,1,Graduate Professional,,
291,Annapurna Devi,KODARMA,BJP,0,Post Graduate,"Rs 9,76,36,939  ~ 9 Crore+","Rs 31,89,066  ~ 31 Lacs+"
292,Naba Kumar Sarania,KOKRAJHAR,IND,5,12th Pass,"Rs 1,30,13,994  ~ 1 Crore+","Rs 1,75,069  ~ 1 Lacs+"
293,S. Muniswamy,KOLAR,BJP,2,12th Pass,"Rs 17,45,57,500  ~ 17 Crore+","Rs 1,98,65,690  ~ 1 Crore+"
294,Sanjay Sadashivrao Mandlik,KOLHAPUR,SHS,0,Post Graduate,"Rs 9,51,71,892  ~ 9 Crore+","Rs 1,05,80,414  ~ 1 Crore+"
295,Mala Roy,KOLKATA DAKSHIN,AITC,3,Graduate,,
296,Bandyopadhyay Sudip,KOLKATA UTTAR,AITC,2,Graduate,"Rs 6,11,76,355  ~ 6 Crore+",Rs 0  ~
297,Premachandran N K,KOLLAM,Revolutionary Socialist Party,5,Graduate Professional,"Rs 1,75,00,650  ~ 1 Crore+","Rs 32,70,587  ~ 32 Lacs+"
298,Karadi Sanganna Amarappa,KOPPAL,BJP,1,10th Pass,"Rs 2,87,25,791  ~ 2 Crore+","Rs 2,24,75,333  ~ 2 Crore+"
299,Saptagiri Sankar Ulaka,KORAPUT,INC,0,Graduate Professional,"Rs 3,75,87,560  ~ 3 Crore+","Rs 12,17,963  ~ 12 Lacs+"
300,Jyotsna Mahant,KORBA,INC,0,Post Graduate,,
301,Om Birla,KOTA,BJP,1,Post Graduate,"Rs 4,83,47,737  ~ 4 Crore+",Rs 0  ~
