Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities,State
Jay Prakash Prasad,IND,0,12th Pass,47,"Rs 52,58,000  ~ 52 Lacs+",Rs 0  ~,Jharkhand
Jayant Sinha,BJP,0,Post Graduate,55,"Rs 77,07,49,002  ~ 77 Crore+","Rs 19,32,71,437  ~ 19 Crore+",Jharkhand
Jitendra Kumar Barnwal,IND,0,12th Pass,34,"Rs 13,14,140  ~ 13 Lacs+","Rs 3,53,210  ~ 3 Lacs+",Jharkhand
Jitendra Thakur,IND,0,Others,63,,,Jharkhand
Jogeshwar Thakur,Vishva SHakti Party,1,Graduate,41,"Rs 42,58,200  ~ 42 Lacs+",Rs 0  ~,Jharkhand
Jorawar Ram,IND,1,Literate,69,"Rs 2,27,00,000  ~ 2 Crore+",Rs 0  ~,Jharkhand
K. Rangaiah,IND,0,Post Graduate,82,"Rs 6,80,000  ~ 6 Lacs+",Rs 0  ~,Jharkhand
K.C.Singh Raj,IND,0,Post Graduate,67,"Rs 10,83,000  ~ 10 Lacs+",Rs 0  ~,Jharkhand
Kali Charan Munda,INC,0,12th Pass,57,,,Jharkhand
Kalindar Oraon,IND,0,12th Pass,43,"Rs 16,36,800  ~ 16 Lacs+","Rs 25,000  ~ 25 Thou+",Jharkhand
Kanchan Kumari,AITC,0,Graduate,28,"Rs 52,90,000  ~ 52 Lacs+","Rs 12,00,000  ~ 12 Lacs+",Jharkhand
Kirti Azad,INC,4,Graduate,58,"Rs 8,40,26,755  ~ 8 Crore+","Rs 51,47,300  ~ 51 Lacs+",Jharkhand
Krishna Kumar Singh,Bharat Prabhat Party,0,Graduate,28,"Rs 27,03,300  ~ 27 Lacs+",Rs 0  ~,Jharkhand
Krishna Mardi,Jharkhand Mukti Morcha (Ulgulan),0,Graduate,61,,,Jharkhand
Lakshmi Devi,IND,0,Literate,49,"Rs 3,32,262  ~ 3 Lacs+",Rs 0  ~,Jharkhand
Laxman Giluwa,BJP,3,12th Pass,57,"Rs 1,95,16,408  ~ 1 Crore+","Rs 12,65,285  ~ 12 Lacs+",Jharkhand
Madan Ram,CPI(ML) Red Star,0,12th Pass,52,"Rs 8,43,000  ~ 8 Lacs+","Rs 1,05,000  ~ 1 Lacs+",Jharkhand
Madhu Sudan,Jharkhand Party (Secular),0,10th Pass,63,"Rs 86,55,000  ~ 86 Lacs+","Rs 10,00,000  ~ 10 Lacs+",Jharkhand
Madhusudan Ray,IND,0,10th Pass,52,,,Jharkhand
Madhvi Singh,AITC,0,8th Pass,41,"Rs 2,13,65,000  ~ 2 Crore+",Rs 0  ~,Jharkhand
Mahashay Tudu,Hindusthan Nirman Dal,0,8th Pass,36,"Rs 14,57,100  ~ 14 Lacs+",Rs 0  ~,Jharkhand
Mahendra Hansda,IND,11,10th Pass,43,"Rs 59,87,000  ~ 59 Lacs+",Rs 0  ~,Jharkhand
Mahesh Kumar,Right to Recall Party,0,Graduate Professional,36,"Rs 10,74,449  ~ 10 Lacs+","Rs 5,67,313  ~ 5 Lacs+",Jharkhand
Mahesh Kumar Suman,IND,0,Post Graduate,55,,,Jharkhand
Mahesh Pahadiya,IND,0,Literate,48,"Rs 10,48,500  ~ 10 Lacs+","Rs 25,000  ~ 25 Thou+",Jharkhand
Malay Kumar Mahato,CPI(ML) Red Star,0,12th Pass,37,"Rs 1,24,811  ~ 1 Lacs+","Rs 11,436  ~ 11 Thou+",Jharkhand
Mandal Hansda,IND,0,12th Pass,65,"Rs 8,72,228  ~ 8 Lacs+",Rs 0  ~,Jharkhand
Mangal Marandi,IND,0,5th Pass,34,"Rs 1,71,000  ~ 1 Lacs+",Rs 0  ~,Jharkhand
Manoj Kumar Pandey,IND,0,Post Graduate,49,,,Jharkhand
Manoj Kumar Yadav,INC,0,Graduate,63,"Rs 4,41,86,530  ~ 4 Crore+","Rs 2,49,224  ~ 2 Lacs+",Jharkhand
Mantosh Kumar Mandal,Amra Bangalee,0,Post Graduate,72,"Rs 46,93,000  ~ 46 Lacs+",Rs 0  ~,Jharkhand
Mary Nisha Hansdak,Bahujan Mukti Party,0,12th Pass,35,"Rs 6,03,000  ~ 6 Lacs+",Rs 0  ~,Jharkhand
Md Mahboob Alam,IND,0,Literate,52,"Rs 18,87,000  ~ 18 Lacs+","Rs 45,000  ~ 45 Thou+",Jharkhand
Md Mubarak,Janata Congress,0,Literate,45,,,Jharkhand
Md. Moin Uddin Ahmad,IND,1,Graduate,42,"Rs 28,76,762  ~ 28 Lacs+","Rs 60,000  ~ 60 Thou+",Jharkhand
Meenakshi Munda,IND,0,Doctorate,40,"Rs 1,34,77,647  ~ 1 Crore+","Rs 8,51,103  ~ 8 Lacs+",Jharkhand
Meghnath Rawani,BSP,0,Graduate Professional,47,"Rs 36,62,000  ~ 36 Lacs+",Rs 0  ~,Jharkhand
Meraj Khan,SP,3,12th Pass,40,"Rs 40,70,260  ~ 40 Lacs+","Rs 2,50,000  ~ 2 Lacs+",Jharkhand
Mihir Chandra Mahato,Ambedkarite Party of India,0,12th Pass,43,,,Jharkhand
Misbahul Islam,Peoples Party of India (Democratic),1,12th Pass,47,"Rs 33,83,000  ~ 33 Lacs+",Rs 0  ~,Jharkhand
Mohril Murmu,IND,0,Graduate Professional,69,"Rs 7,90,000  ~ 7 Lacs+",Rs 0  ~,Jharkhand
Monika Kisku,AITC,0,Graduate,32,"Rs 49,46,922  ~ 49 Lacs+","Rs 9,50,000  ~ 9 Lacs+",Jharkhand
Mubin Khan,IND,0,12th Pass,58,"Rs 13,65,000  ~ 13 Lacs+","Rs 1,00,000  ~ 1 Lacs+",Jharkhand
Munna Baraik,Aihra National Party,0,12th Pass,26,,,Jharkhand
Murari Kapri,Aam Adhikar Morcha,0,8th Pass,35,"Rs 33,25,367  ~ 33 Lacs+","Rs 18,75,000  ~ 18 Lacs+",Jharkhand
Nageshwar Ganjhu,BSP,0,Literate,36,"Rs 10,11,66,000  ~ 10 Crore+",Rs 0  ~,Jharkhand
Nand Kishor Yadav,IND,0,10th Pass,64,"Rs 28,50,413  ~ 28 Lacs+","Rs 18,000  ~ 18 Thou+",Jharkhand
Nand Lal Prasad Keshari,IND,0,10th Pass,59,"Rs 66,89,000  ~ 66 Lacs+","Rs 23,00,000  ~ 23 Lacs+",Jharkhand
Nandlal Prasad,IND,0,Graduate,43,,,Jharkhand
Neel Justin Beck,Bharatiya Minorities Suraksha Mahasangh,3,12th Pass,47,"Rs 2,58,000  ~ 2 Lacs+","Rs 1,32,000  ~ 1 Lacs+",Jharkhand
Neeraj Hembrom,AIFB,0,Graduate,44,"Rs 2,35,88,789  ~ 2 Crore+","Rs 25,08,000  ~ 25 Lacs+",Jharkhand
Nishikant Dubey,BJP,4,Doctorate,47,"Rs 46,27,57,500  ~ 46 Crore+",Rs 0  ~,Jharkhand
Niyaran Herenj,IND,0,Post Graduate,45,"Rs 19,42,000  ~ 19 Lacs+",Rs 0  ~,Jharkhand
Noor Hassan,Rashtriya Samta Party (Secular),0,Graduate,47,,,Jharkhand
Pankaj Ranjan,Jharkhand Peoples Party,0,12th Pass,25,"Rs 47,26,929  ~ 47 Lacs+",Rs 0  ~,Jharkhand
Panmani Singh,SUCI(C),0,Graduate,62,"Rs 42,83,897  ~ 42 Lacs+","Rs 20,000  ~ 20 Thou+",Jharkhand
Pardeshi Lal Munda,BSP,1,12th Pass,31,"Rs 6,11,726  ~ 6 Lacs+",Rs 0  ~,Jharkhand
Parmeshwar Mahto,Jharkhand Party,0,12th Pass,31,"Rs 14,03,787  ~ 14 Lacs+",Rs 0  ~,Jharkhand
Pashupati Nath Singh,BJP,0,Graduate,69,,,Jharkhand
Pawan Kumar,IND,1,Graduate,35,"Rs 68,30,000  ~ 68 Lacs+","Rs 10,00,000  ~ 10 Lacs+",Jharkhand
Pradeep Yadav,Jharkhand Vikas Morcha (Prajatantrik),13,Graduate,53,"Rs 1,41,97,149  ~ 1 Crore+",Rs 0  ~,Jharkhand
Pradip Turi,IND,0,8th Pass,37,"Rs 16,35,648  ~ 16 Lacs+",Rs 0  ~,Jharkhand
Pramod Toppo,IND,0,Post Graduate,47,"Rs 1,30,000  ~ 1 Lacs+",Rs 0  ~,Jharkhand
Pratap Singh Banara,Ambedkarite Party of India,0,Post Graduate,25,,,Jharkhand
Prayag Ram,Proutist Sarva Samaj,0,Graduate,45,"Rs 2,44,200  ~ 2 Lacs+",Rs 0  ~,Jharkhand
Prem Prakash Paswan,IND,0,12th Pass,35,"Rs 6,02,150  ~ 6 Lacs+",Rs 0  ~,Jharkhand
Probina Murmu,IND,0,10th Pass,34,"Rs 1,40,000  ~ 1 Lacs+",Rs 0  ~,Jharkhand
Pushpa Sinku,IND,0,Post Graduate,29,"Rs 1,25,000  ~ 1 Lacs+",Rs 0  ~,Jharkhand
Qamar Raza Khan,Bhartiya Panchyat Party,0,Others,34,,,Jharkhand
Raghunath Mahli,IND,0,8th Pass,47,"Rs 18,04,321  ~ 18 Lacs+","Rs 2,50,000  ~ 2 Lacs+",Jharkhand
Raj Kumar Yadav,CPI(ML)(L),4,10th Pass,46,"Rs 1,49,41,593  ~ 1 Crore+","Rs 35,14,000  ~ 35 Lacs+",Jharkhand
Rajendra Dasaundhi,IND,0,Graduate,47,"Rs 6,57,329  ~ 6 Lacs+",Rs 0  ~,Jharkhand
Rajendra Sahu,IND,0,10th Pass,41,"Rs 8,49,76,547  ~ 8 Crore+","Rs 5,89,92,436  ~ 5 Crore+",Jharkhand
Rajesh Besra,IND,0,Graduate,33,,,Jharkhand
Rajesh Kumar,IND,0,8th Pass,54,"Rs 9,55,551  ~ 9 Lacs+",Rs 0  ~,Jharkhand
Rajesh Kumar Singh,IND,0,Graduate,51,"Rs 2,40,38,468  ~ 2 Crore+","Rs 1,49,43,313  ~ 1 Crore+",Jharkhand
Rajesh Ranjan,SUCI(C),0,Post Graduate,38,"Rs 15,44,940  ~ 15 Lacs+",Rs 0  ~,Jharkhand
Rajesh Thapa,IND,0,10th Pass,31,"Rs 1,00,800  ~ 1 Lacs+",Rs 0  ~,Jharkhand
Rajni Devi,Jai Prakash Janata Dal,0,Literate,39,,,Jharkhand
Raju Mahto,IND,1,Graduate,52,"Rs 20,07,000  ~ 20 Lacs+","Rs 1,78,000  ~ 1 Lacs+",Jharkhand
Rakesh Kumar,IND,0,Graduate,42,"Rs 74,00,000  ~ 74 Lacs+",Rs 0  ~,Jharkhand
Ram Lal Mahto,SUCI(C),0,Graduate,69,"Rs 21,87,849  ~ 21 Lacs+",Rs 0  ~,Jharkhand
Ram Tahal. Choudhary,IND,0,10th Pass,77,"Rs 4,59,98,584  ~ 4 Crore+",Rs 0  ~,Jharkhand
Ramanand Das,Bhartiya Sarvodaya Party,0,Graduate,51,,,Jharkhand
Ramavtar Mahto,IND,0,12th Pass,34,"Rs 17,90,000  ~ 17 Lacs+",Rs 0  ~,Jharkhand
Ramesh Tudu,IND,0,10th Pass,25,"Rs 17,07,200  ~ 17 Lacs+",Rs 0  ~,Jharkhand
Rameshi Ram,IND,0,Graduate,63,"Rs 1,07,25,000  ~ 1 Crore+","Rs 14,00,000  ~ 14 Lacs+",Jharkhand
Rameshwar Pd Yadav,IND,0,Post Graduate,44,"Rs 13,42,200  ~ 13 Lacs+","Rs 67,000  ~ 67 Thou+",Jharkhand
Rameshwar Ram Kushwaha,AIFB,0,Graduate,49,,,Jharkhand
Ramji Paswan,IND,1,Graduate,65,"Rs 68,01,000  ~ 68 Lacs+","Rs 50,000  ~ 50 Thou+",Jharkhand
Ramjit Mahto,Proutist Sarva Samaj,0,Post Graduate,38,"Rs 30,00,000  ~ 30 Lacs+","Rs 60,000  ~ 60 Thou+",Jharkhand
Ranjit Kumar Singh,Jharkhand Party,0,Graduate,54,"Rs 2,09,15,000  ~ 2 Crore+",Rs 0  ~,Jharkhand
Ranjit Mahto,Peoples Party of India (Democratic),0,Post Graduate,54,"Rs 16,72,800  ~ 16 Lacs+",Rs 0  ~,Jharkhand
Raska Soren,IND,0,8th Pass,68,,,Jharkhand
Rasul Baksh,BSP,1,Literate,64,"Rs 1,64,81,200  ~ 1 Crore+",Rs 0  ~,Jharkhand
Sabita Kaibarto,Aihra National Party,0,12th Pass,35,"Rs 27,85,000  ~ 27 Lacs+",Rs 0  ~,Jharkhand
Sagar Ram,Akhil Bharat Hindu Mahasabha,0,Illiterate,43,"Rs 57,78,100  ~ 57 Lacs+","Rs 43,000  ~ 43 Thou+",Jharkhand
Samuel Tudu,IND,0,8th Pass,45,"Rs 47,000  ~ 47 Thou+",Rs 0  ~,Jharkhand
Saniya Oraon,IND,1,8th Pass,49,,,Jharkhand
Sanjay Oraon,IND,0,8th Pass,41,"Rs 13,52,000  ~ 13 Lacs+",Rs 0  ~,Jharkhand
Sanjay Paswan,IND,0,8th Pass,34,"Rs 50,000  ~ 50 Thou+",Rs 0  ~,Jharkhand
Sanjay Seth,BJP,0,Graduate Professional,60,"Rs 1,40,44,267  ~ 1 Crore+","Rs 1,00,000  ~ 1 Lacs+",Jharkhand
Sanjeev Kumar Mahato,IND,0,12th Pass,39,"Rs 18,30,883  ~ 18 Lacs+",Rs 0  ~,Jharkhand
Sarfaraj Ahmad,BSP,1,12th Pass,31,,,Jharkhand
Sarita Anand,IND,0,Graduate,38,"Rs 1,40,22,115  ~ 1 Crore+","Rs 70,93,866  ~ 70 Lacs+",Jharkhand
Satish Singh,IND,0,Graduate Professional,35,"Rs 62,42,098  ~ 62 Lacs+","Rs 3,00,000  ~ 3 Lacs+",Jharkhand
Satish Soren,Jharkhand Peoples Party,0,Graduate,73,"Rs 39,36,986  ~ 39 Lacs+",Rs 0  ~,Jharkhand
Satyendra Kumar Paswan,IND,0,12th Pass,40,"Rs 1,05,85,000  ~ 1 Crore+","Rs 2,00,000  ~ 2 Lacs+",Jharkhand
Senapati Murmu,CPI,0,10th Pass,45,,,Jharkhand
Shailesh Kumar Singh,IND,0,Graduate,49,"Rs 3,00,68,000  ~ 3 Crore+",Rs 0  ~,Jharkhand
Sharvan Kumar Panna,BSP,0,Literate,40,"Rs 19,73,500  ~ 19 Lacs+","Rs 50,000  ~ 50 Thou+",Jharkhand
Shaukat Ali,Bharatiya Momin Front,0,8th Pass,52,"Rs 17,10,000  ~ 17 Lacs+","Rs 5,50,000  ~ 5 Lacs+",Jharkhand
Shekh Akhir Uddin,Jharkhand Party (Naren),2,8th Pass,54,"Rs 2,65,000  ~ 2 Lacs+","Rs 50,000  ~ 50 Thou+",Jharkhand
Shibu Singh,Bhartiya Manavadhikaar Federal Party,0,Graduate,46,,,Jharkhand
Shibu Soren,JMM,0,10th Pass,72,"Rs 7,25,93,962  ~ 7 Crore+","Rs 1,49,99,229  ~ 1 Crore+",Jharkhand
Shivnath Saw,AIFB,0,10th Pass,33,"Rs 33,18,988  ~ 33 Lacs+",Rs 0  ~,Jharkhand
Shravan Kumar Ravi,IND,0,10th Pass,37,"Rs 9,55,600  ~ 9 Lacs+","Rs 22,000  ~ 22 Thou+",Jharkhand
Shyam Narayan Bhuiya,Bahujan Mukti Party,2,8th Pass,61,"Rs 1,71,30,000  ~ 1 Crore+",Rs 0  ~,Jharkhand
Sibil Kandulna,Rashtriya Sangail Party,0,Graduate,64,,,Jharkhand
Siddharth Gautam,IND,2,10th Pass,33,"Rs 1,76,51,935  ~ 1 Crore+",Rs 0  ~,Jharkhand
Sidheshwar Singh,SUCI(C),0,Literate,72,"Rs 8,19,326  ~ 8 Lacs+",Rs 0  ~,Jharkhand
Simmi Suman,IND,0,Post Graduate,32,"Rs 1,05,55,000  ~ 1 Crore+","Rs 57,00,000  ~ 57 Lacs+",Jharkhand
Sohrab Shah,Bahujan Mukti Party,0,Literate,56,"Rs 60,000  ~ 60 Thou+",Rs 0  ~,Jharkhand
Stephan Besra,BSP,0,10th Pass,40,,,Jharkhand
Subhash Prasad Yadav,RJD,3,Graduate,52,"Rs 5,32,88,310  ~ 5 Crore+","Rs 52,08,407  ~ 52 Lacs+",Jharkhand
Subodh Kant Sahay,INC,1,Graduate,67,"Rs 7,35,66,185  ~ 7 Crore+","Rs 1,18,73,779  ~ 1 Crore+",Jharkhand
Subrat Kumar Pradhan,Ambedkarite Party of India,0,Graduate Professional,53,"Rs 3,25,043  ~ 3 Lacs+",Rs 0  ~,Jharkhand
Sudarshan Bhagat,BJP,0,Graduate,52,"Rs 1,29,47,303  ~ 1 Crore+","Rs 5,25,000  ~ 5 Lacs+",Jharkhand
Sudhir Kumar Mahato,Bahujan Mukti Party,0,Graduate Professional,53,,,Jharkhand
Sukhdeo Bhagat,INC,1,Post Graduate,57,"Rs 2,00,94,142  ~ 2 Crore+","Rs 39,35,029  ~ 39 Lacs+",Jharkhand
Sukhram Herenj,IND,0,Graduate,65,"Rs 1,25,500  ~ 1 Lacs+",Rs 0  ~,Jharkhand
Sunil Kumar Singh,BJP,0,Post Graduate,55,"Rs 22,62,09,137  ~ 22 Crore+","Rs 18,89,051  ~ 18 Lacs+",Jharkhand
Sunil Soren,BJP,0,12th Pass,39,"Rs 47,37,559  ~ 47 Lacs+","Rs 6,85,516  ~ 6 Lacs+",Jharkhand
Sunita Munda,Ambedkarite Party of India,0,Post Graduate,28,,,Jharkhand
Sunita Tudu,IND,0,Graduate Professional,32,"Rs 1,66,88,140  ~ 1 Crore+","Rs 11,00,000  ~ 11 Lacs+",Jharkhand
Surya Singh Besra,Jharkhand Peoples Party,1,Post Graduate,57,"Rs 1,20,36,532  ~ 1 Crore+","Rs 12,00,000  ~ 12 Lacs+",Jharkhand
Sushma Mehta,CPI(ML)(L),3,12th Pass,40,"Rs 35,45,751  ~ 35 Lacs+","Rs 4,12,090  ~ 4 Lacs+",Jharkhand
Tekochand Mahto,IND,0,Graduate Professional,28,"Rs 26,08,338  ~ 26 Lacs+","Rs 50,000  ~ 50 Thou+",Jharkhand
Thakuroon Soren,IND,1,5th Pass,37,,,Jharkhand
Tuklal Nayak,Hindusthan Nirman Dal,0,Post Graduate,58,"Rs 24,97,500  ~ 24 Lacs+",Rs 0  ~,Jharkhand
Uday Kumar Paswan,Jan Sangharsh Virat Party,0,10th Pass,Unknown,"Rs 4,77,000  ~ 4 Lacs+",Rs 0  ~,Jharkhand
Umesh Kumar Paswan,Voters Party International,0,10th Pass,34,"Rs 10,00,000  ~ 10 Lacs+","Rs 50,000  ~ 50 Thou+",Jharkhand
Umesh Paswan,IND,0,Literate,55,"Rs 1,79,496  ~ 1 Lacs+","Rs 20,000  ~ 20 Thou+",Jharkhand
Varun Kumar,IND,0,Graduate,29,,,Jharkhand
Vijay Kumar,IND,0,12th Pass,28,"Rs 21,16,596  ~ 21 Lacs+",Rs 0  ~,Jharkhand
Vijay Kumar Hansdak,JMM,0,10th Pass,36,"Rs 1,29,19,555  ~ 1 Crore+","Rs 27,43,560  ~ 27 Lacs+",Jharkhand
Vijay Ram,IND,0,8th Pass,36,"Rs 1,31,000  ~ 1 Lacs+",Rs 0  ~,Jharkhand
Vikas Chandra Sharma,CPI(ML) Red Star,0,Post Graduate,40,"Rs 1,12,000  ~ 1 Lacs+",Rs 0  ~,Jharkhand
Vinod Kumar,BSP,0,Graduate,62,,,Jharkhand
Vishnu Dayal Ram,BJP,0,Graduate,68,"Rs 3,22,73,873  ~ 3 Crore+","Rs 90,922  ~ 90 Thou+",Jharkhand
Yogendra Yadav,IND,0,Graduate Professional,26,"Rs 19,05,000  ~ 19 Lacs+",Rs 0  ~,Jharkhand
Zaffar Obaid,BSP,0,Doctorate,46,"Rs 8,73,613  ~ 8 Lacs+",Rs 0  ~,Jharkhand
A Narayanaswamy,BJP,0,Graduate,62,"Rs 9,61,97,642  ~ 9 Crore+",Rs 0  ~,Karnataka
A T Dadakhalandar,IND,0,10th Pass,37,"Rs 1,30,139  ~ 1 Lacs+","Rs 20,403  ~ 20 Thou+",Karnataka
A. Christhuraj,IND,0,10th Pass,41,"Rs 6,91,000  ~ 6 Lacs+","Rs 3,75,000  ~ 3 Lacs+",Karnataka
A. Devadas,SUCI(C),0,8th Pass,51,"Rs 19,43,531  ~ 19 Lacs+",Rs 0  ~,Karnataka
A.Raju,BSP,0,Graduate,58,,,Karnataka
Abdul Azeez,Karnataka Pragnyavantha Janatha Party,0,8th Pass,46,"Rs 6,22,054  ~ 6 Lacs+","Rs 58,000  ~ 58 Thou+",Karnataka
Abdul Basheer,IND,0,10th Pass,71,"Rs 13,50,000  ~ 13 Lacs+","Rs 1,01,32,000  ~ 1 Crore+",Karnataka
Abdul Hameed,IND,0,5th Pass,42,"Rs 6,68,000  ~ 6 Lacs+",Rs 0  ~,Karnataka
Abdul Karim Hashimpeer Desai,IND,0,Post Graduate,61,"Rs 1,65,99,316  ~ 1 Crore+","Rs 1,24,00,000  ~ 1 Crore+",Karnataka
Abdul Nazeer Sab,IND,0,5th Pass,59,,,Karnataka
Abdul Rahman,IND,0,8th Pass,34,"Rs 3,34,000  ~ 3 Lacs+","Rs 18,40,000  ~ 18 Lacs+",Karnataka
Abdulkarim Desai,IND,0,Post Graduate,61,"Rs 85,99,316  ~ 85 Lacs+","Rs 31,00,000  ~ 31 Lacs+",Karnataka
Abdus Sattar Mujahed,Akhil Bharatiya Muslim League (Secular),1,Graduate,53,"Rs 25,85,000  ~ 25 Lacs+",Rs 0  ~,Karnataka
Adagal Rajendra,Bahujan Mukti Party,0,12th Pass,43,"Rs 18,58,950  ~ 18 Lacs+","Rs 8,50,000  ~ 8 Lacs+",Karnataka
Ahmed Khan,Bahujan Maha Party,0,10th Pass,33,,,Karnataka
Alagudu Lingaraju,IND,0,Graduate Professional,30,"Rs 11,46,000  ~ 11 Lacs+",Rs 0  ~,Karnataka
Alanguru Kanakalakshmi,IND,0,10th Pass,30,"Rs 39,20,000  ~ 39 Lacs+",Rs 0  ~,Karnataka
Alexander,IND,1,Graduate,61,"Rs 3,05,10,500  ~ 3 Crore+","Rs 8,50,000  ~ 8 Lacs+",Karnataka
Alishan. S,IND,0,Post Graduate,64,"Rs 2,27,00,000  ~ 2 Crore+",Rs 0  ~,Karnataka
Ambresh Kencha,Uttama Prajaakeeya Party,0,Graduate,36,,,Karnataka
Ambrose D Mello,IND,0,Post Graduate,51,"Rs 70,000  ~ 70 Thou+",Rs 0  ~,Karnataka
Amirtha Jai Kumar Essac Yesaiah,Karnataka Karmikara Paksha,0,Others,43,"Rs 2,13,000  ~ 2 Lacs+",Rs 0  ~,Karnataka
Amrith Shenoy P,IND,1,Post Graduate,41,"Rs 28,49,00,000  ~ 28 Crore+","Rs 34,25,000  ~ 34 Lacs+",Karnataka
Anand Asnotikar,JD(S),1,Post Graduate,39,"Rs 72,19,16,901  ~ 72 Crore+","Rs 2,38,00,806  ~ 2 Crore+",Karnataka
Anand Jivan Ram,IND,0,10th Pass,33,,,Karnataka
Anand Kumar. M,IND,0,10th Pass,45,"Rs 1,41,77,000  ~ 1 Crore+","Rs 28,50,000  ~ 28 Lacs+",Karnataka
Anand Ramesh Patil,IND,0,Graduate Professional,54,"Rs 8,66,102  ~ 8 Lacs+","Rs 2,50,000  ~ 2 Lacs+",Karnataka
Anantkumar Hegde,BJP,4,12th Pass,51,"Rs 8,47,55,455  ~ 8 Crore+","Rs 4,10,16,655  ~ 4 Crore+",Karnataka
Angadi Suresh,BJP,0,Graduate Professional,63,"Rs 36,61,64,525  ~ 36 Crore+","Rs 19,84,79,638  ~ 19 Crore+",Karnataka
Anil Baban Hegade,IND,0,10th Pass,42,,,Karnataka
Anita Ashok Shet,IND,0,10th Pass,52,"Rs 63,78,641  ~ 63 Lacs+","Rs 27,10,000  ~ 27 Lacs+",Karnataka
Annasaheb Shankar Jolle,BJP,0,12th Pass,55,"Rs 34,49,22,831  ~ 34 Crore+","Rs 19,55,95,693  ~ 19 Crore+",Karnataka
Annojirao.G,Sarva Janata Party,0,12th Pass,43,"Rs 29,26,000  ~ 29 Lacs+",Rs 0  ~,Karnataka
Appasaheb Shripati Kurane,Bharipa Bahujan Mahasangh,0,12th Pass,37,"Rs 11,84,890  ~ 11 Lacs+",Rs 0  ~,Karnataka
Arun Prasad A,Viduthalai Chiruthaigal Katchi,0,12th Pass,44,,,Karnataka
Arunachalam Y,Pyramid Party of India,0,Post Graduate,34,"Rs 15,99,000  ~ 15 Lacs+",Rs 0  ~,Karnataka
Arvind Premanand,IND,0,Graduate Professional,45,"Rs 81,04,000  ~ 81 Lacs+",Rs 0  ~,Karnataka
Asharani V,Uttama Prajaakeeya Party,0,12th Pass,42,"Rs 4,25,94,246  ~ 4 Crore+","Rs 32,00,000  ~ 32 Lacs+",Karnataka
Ashok Chakravarthi M.B,Ambedkar Samaj Party,0,10th Pass,38,"Rs 3,50,000  ~ 3 Lacs+",Rs 0  ~,Karnataka
Ashutosh Shashikant Kamble,IND,0,10th Pass,27,,,Karnataka
Ashwathnarayangowda,BJP,2,10th Pass,59,"Rs 29,35,35,096  ~ 29 Crore+",Rs 0  ~,Karnataka
Ayub Khan,Indian New Congress Party,1,8th Pass,43,"Rs 6,04,50,000  ~ 6 Crore+",Rs 0  ~,Karnataka
Ayubakhan A Pathan,BSP,0,Graduate Professional,64,"Rs 65,29,968  ~ 65 Lacs+","Rs 26,65,862  ~ 26 Lacs+",Karnataka
B N Chandrappa,INC,0,Post Graduate,64,"Rs 4,82,22,730  ~ 4 Crore+",Rs 0  ~,Karnataka
B V Tippeswamy Goshale,IND,0,8th Pass,48,,,Karnataka
B. Eshwarappa,SHS,1,8th Pass,40,"Rs 3,04,000  ~ 3 Lacs+","Rs 13,50,000  ~ 13 Lacs+",Karnataka
B. G. Sangannavar,IND,0,Graduate,36,"Rs 22,68,600  ~ 22 Lacs+",Rs 0  ~,Karnataka
B. Gopal,IND,0,8th Pass,50,"Rs 8,50,000  ~ 8 Lacs+","Rs 4,89,650  ~ 4 Lacs+",Karnataka
B. Krishna Prasad,"Proutist Bloc, India",0,12th Pass,64,"Rs 81,10,000  ~ 81 Lacs+","Rs 5,50,000  ~ 5 Lacs+",Karnataka
B. Raghu,Pyramid Party of India,0,12th Pass,35,,,Karnataka
B. S. Mallikarjunaiah,IND,1,Others,45,"Rs 1,53,51,735  ~ 1 Crore+","Rs 15,00,000  ~ 15 Lacs+",Karnataka
B. V Naik,INC,1,Graduate Professional,53,"Rs 10,11,29,729  ~ 10 Crore+","Rs 57,03,400  ~ 57 Lacs+",Karnataka
B. Venkana Gouda Nayaka,BSP,0,Graduate Professional,37,"Rs 17,06,000  ~ 17 Lacs+",Rs 0  ~,Karnataka
B.Chikka Nagesha,IND,0,10th Pass,61,"Rs 7,39,626  ~ 7 Lacs+",Rs 0  ~,Karnataka
B.K.Hariprasad,INC,0,Graduate,64,,,Karnataka
B.N.Bache Gowda,BJP,0,Graduate Professional,76,"Rs 1,15,35,01,141  ~ 115 Crore+",Rs 0  ~,Karnataka
B.Sreenivasulu,IND,0,Post Graduate,41,"Rs 20,11,625  ~ 20 Lacs+",Rs 0  ~,Karnataka
B.Y.Raghavendra,BJP,2,Graduate Professional,46,"Rs 67,40,93,851  ~ 67 Crore+","Rs 1,41,50,647  ~ 1 Crore+",Karnataka
Badaroddin Mohammadyusuf Kamdod,BSP,0,Graduate,43,"Rs 1,80,12,500  ~ 1 Crore+",Rs 0  ~,Karnataka
Balaji Dyamanna Waddar,IND,1,10th Pass,34,,,Karnataka
Balakrishna Arjun Patil,IND,0,Post Graduate,39,"Rs 22,00,858  ~ 22 Lacs+","Rs 37,500  ~ 37 Thou+",Karnataka
Bandimath Sharanayya,Uttama Prajaakeeya Party,0,8th Pass,37,"Rs 63,000  ~ 63 Thou+",Rs 0  ~,Karnataka
Barkath Ali,IND,0,12th Pass,50,"Rs 13,38,417  ~ 13 Lacs+",Rs 0  ~,Karnataka
