Candidate Name,Party,Age,Gender,State,Constituency,Constituency_No
DILIP SHATRUGHAN MHAISANE,Independent,57,M,Maharashtra,Akola,6
ABHAY KASHINATH PATIL,Indian National Congress,59,M,Maharashtra,Akola,6
ADHAU RAVIKANT RAMKRUSHNA,Jay Vidarbha Party,55,M,Maharashtra,Akola,6
AMBEDKAR PRAKASH YASHWANT,Vanchit Bahujan  Aaghadi,69,M,Maharashtra,Akola,6
BABAN MAHADEV SAYAM,Janseva Gondwana Party,45,M,Maharashtra,Akola,6
PRITI PRAMOD SADANSHIV,Republican Party of India (Social),36,F,Maharashtra,Akola,6
ANUP SANJAY DHOTRE,Bharatiya Janata Party,39,M,Maharashtra,Akola,6
ADV NAJIB SHAIKH,Indian National League,40,M,Maharashtra,Akola,6
KASHINATH VISHWANATH DHAMODE,Bahujan Samaj Party,55,M,Maharashtra,Akola,6
AACHARYADIP SUBHASHCHANDRA GANOJE,Independent,44,M,Maharashtra,Akola,6
ASHOK KISANRAO THORAT,Independent,54,M,Maharashtra,Akola,6
DHARMENDRA CHANDRAPRAKASH KOTHARI,Independent,58,M,Maharashtra,Akola,6
MOHMMAD AJAZ MOHMMAD TAHER,Azad Adhikar Sena,36,M,Maharashtra,Akola,6
MURLIDHAR LALSING PAWAR,Independent,63,M,Maharashtra,Akola,6
KISHOR BHIMRAO LABADE,Independent,42,M,Maharashtra,Amravati,7
BHARAT CHAMPATRAO YANGAD,Independent,62,M,Maharashtra,Amravati,7
SHRIKRUSHN SAKHARAMJI KSHIRSAGAR,Independent,67,M,Maharashtra,Amravati,7
ARUN YASHWANTRAO BHAGAT,Independent,76,M,Maharashtra,Amravati,7
BHAURAO SAMPATRAO WANKHADE,All India Forward Bloc,69,M,Maharashtra,Amravati,7
HIMMAT BHIMRAO DHOLE,Independent,52,M,Maharashtra,Amravati,7
SANJAYKUMAR FATTESINGH GADGE,Bahujan Samaj Party,57,M,Maharashtra,Amravati,7
PRAMOD RAMKRUSHNA CHOURPAGAR,Independent,55,M,Maharashtra,Amravati,7
NAVNEET RAVI RANA,Bharatiya Janata Party,38,F,Maharashtra,Amravati,7
RAJESH TULSHIRAM KHADE,Independent,49,M,Maharashtra,Amravati,7
NARENDRA BABULAL KATHANE,Desh Janhit Party,41,M,Maharashtra,Amravati,7
GANESH NANAJI RAMTEKE,Akhil Bhartiya Parivar Party,46,M,Maharashtra,Amravati,7
ADV. RAJU MADHUKARRAO KALANE,Bahujan Bharat Party,31,M,Maharashtra,Amravati,7
SATISH YASHWANTRAO GEDAM,Independent,33,M,Maharashtra,Amravati,7
MANOHAR KRUSHNAJI KURHADE,Independent,64,M,Maharashtra,Amravati,7
ADV. PRUTHVISAMRAT MUKINDRAO DIPWANSH,Independent,29,M,Maharashtra,Amravati,7
TARA SURESH WANKHADE,Independent,51,F,Maharashtra,Amravati,7
GHAZI SAADUDDIN ZAHEER AHMED,Rashtriya Ulama Council,49,M,Maharashtra,Amravati,7
KISHOR DNYANESHWAR TAYDE,Independent,41,M,Maharashtra,Amravati,7
SUMITRA SAHEBRAO GAIKWAD,Independent,50,F,Maharashtra,Amravati,7
SURAJ DHANRAJ NAGDVANE,Independent,26,M,Maharashtra,Amravati,7
RAJU MAHADEVRAO SONONE,Independent,53,M,Maharashtra,Amravati,7
ENGI. AVINASH HARISHCHANDRA DHANAWATE,Peoples Party of India (Democratic),67,M,Maharashtra,Amravati,7
VARSHA BHAGAWANTRAO BHAGAT,Independent,47,F,Maharashtra,Amravati,7
SANDEEP BABULAL MESHRAM,Independent,35,M,Maharashtra,Amravati,7
DINESH GANESHDAS BUB,Prahar Janshakti Party,52,M,Maharashtra,Amravati,7
DINESH GANESHDAS BUB,Independent,52,M,Maharashtra,Amravati,7
ANIL THAWARE ALIAS DR. ANILKUMAR NAGBUDDHA,Independent,56,M,Maharashtra,Amravati,7
RAVI GUNWANTRAO WANKHADE,Independent,30,M,Maharashtra,Amravati,7
SUSHAMA GAJANAN AWACHAR,Jay Vidarbha Party,39,F,Maharashtra,Amravati,7
SURESH PUNDLIK MESHRAM,Independent,34,M,Maharashtra,Amravati,7
SONALI SANJAY MESHRAM,Independent,37,F,Maharashtra,Amravati,7
PRABHAKAR PANDURANG BHATKAR,Independent,62,M,Maharashtra,Amravati,7
ANANDRAJ YASHWANT AMBEDKAR,Republican Sena,63,M,Maharashtra,Amravati,7
DIGAMBAR WAMAN BHAGAT,Naki Bharatiya Ekta Party,68,M,Maharashtra,Amravati,7
MANKAR DNYANESHWAR KASHIRAO,Independent,62,M,Maharashtra,Amravati,7
GAUTAM ALIAS ANANTA RAMDAS INGALE,Independent,40,M,Maharashtra,Amravati,7
BALWANT BASWANT WANKHADE,Indian National Congress,56,M,Maharashtra,Amravati,7
MAROTI GULABRAO UIKE,Gondvana Gantantra Party,55,M,Maharashtra,Wardha,8
ASHISH LEKHIRAM IZANKAR,Vidarbha Rajya Aghadi,37,M,Maharashtra,Wardha,8
ASHISH LEKHIRAM IZANKAR,Independent,37,M,Maharashtra,Wardha,8
UMESH SOMAJI WAWARE,Maharashtra Vikas Aghadi,53,M,Maharashtra,Wardha,8
KRUSHNA SUBHASHRAO FULKARI,Lok Swarajya Party,27,M,Maharashtra,Wardha,8
ASIF,Independent,31,M,Maharashtra,Wardha,8
VIJAY DNYANESHWARRAO  SHRIRAO,Independent,49,M,Maharashtra,Wardha,8
SUHAS V. THAKARE,Independent,44,M,Maharashtra,Wardha,8
KRUSHNA ANNAJI KALODE,Hindrashtra Sangh,68,M,Maharashtra,Wardha,8
DR. MORESHWAR RAMJI NAGRALE,Republican Party of India,70,M,Maharashtra,Wardha,8
POOJA PANKAJ TADAS,Independent,32,F,Maharashtra,Wardha,8
KISHOR BABA PAVAR,Independent,68,M,Maharashtra,Wardha,8
DIXITA ANAND,Desh Janhit Party,38,F,Maharashtra,Wardha,8
ANIL K. GHUSHE,Independent,65,M,Maharashtra,Wardha,8
DR. MOHAN RAMRAOJI  RAIKWAR,Bahujan Samaj Party,49,M,Maharashtra,Wardha,8
RAMRAO BAJIRAO GHODASKAR,All India Forward Bloc,74,M,Maharashtra,Wardha,8
PROF. RAJENDRA GULABRAO  SALUNKHE,Vanchit Bahujan  Aaghadi,64,M,Maharashtra,Wardha,8
RAMDAS CHANDRABHAN TADAS,Bharatiya Janata Party,71,M,Maharashtra,Wardha,8
RAHUL T. BHOYAR,Independent,42,M,Maharashtra,Wardha,8
AKSHAY MEHARE BHARTIYA,Akhil Bhartiya Parivar Party,29,M,Maharashtra,Wardha,8
AMAR SHARADRAO KALE,Nationalist Congress Party â Sharadchandra Pawar,50,M,Maharashtra,Wardha,8
JAGADISH UDDVRAO  WANKHADE,Independent,42,M,Maharashtra,Wardha,8
RAMESH SINHA,Independent,71,M,Maharashtra,Wardha,8
ADV. BHASKAR MAROTRAO  NEWARE,Independent,47,M,Maharashtra,Wardha,8
ARVIND SHAMRAO LILLORE,Independent,45,M,Maharashtra,Wardha,8
KARTIK GENDLALJI DOKE,Independent,44,M,Maharashtra,Ramtek,9
PREMKUMAR DASHRATH GAJBHARE,Independent,43,M,Maharashtra,Ramtek,9
VILAS SHRIPAT KHADSE,Independent,59,M,Maharashtra,Ramtek,9
RIDDHESHWAR ANANDRAO BELEY,Republican Party of India (A),55,M,Maharashtra,Ramtek,9
SIDDHARTH GADIJI PATIL,Peoples Party of India (Democratic),58,M,Maharashtra,Ramtek,9
AJAY BAKARAM CHAVAN,Independent,48,M,Maharashtra,Ramtek,9
ARVIND SHIVAJI TANDEKAR,Independent,30,M,Maharashtra,Ramtek,9
LAROKAR SURESH PUNDLIK,Independent,51,M,Maharashtra,Ramtek,9
SUNIL UTTAMRAO SALVE,Independent,47,M,Maharashtra,Ramtek,9
ADV BHIMRAO SHENDE,Bahujan Republican  Socialist Party,60,M,Maharashtra,Ramtek,9
SANJAY VASANTRAO BORKAR,Maharashtra Vikas Aghadi,58,M,Maharashtra,Ramtek,9
BHOJRAJ TUKARAM SARODE,Jay Vidarbha Party,50,M,Maharashtra,Ramtek,9
SUBHASH LOKHANDE,Independent,51,M,Maharashtra,Ramtek,9
GOWARDHAN DEORAO KUMBHARE,Viro Ke Vir Indian Party,69,M,Maharashtra,Ramtek,9
KISHORE  UTTAMRAO GAJBHIYE,Independent,66,M,Maharashtra,Ramtek,9
ROSHANI ATUL GAJBHIYE,Gondvana Gantantra Party,31,F,Maharashtra,Ramtek,9
GAIKWAD MANJUSHA SACHIN,Akhil Bhartiya Parivar Party,30,F,Maharashtra,Ramtek,9
Shyamkumar (Babalu) Daulat Barve,Indian National Congress,46,M,Maharashtra,Ramtek,9
SANDIP SAHADEO MESHRAM,Bahujan Samaj Party,41,M,Maharashtra,Ramtek,9
VILAS GANESH ZODAPE,Independent,40,M,Maharashtra,Ramtek,9
RAJU DEONATH PARVE,Shiv Sena,54,M,Maharashtra,Ramtek,9
SANVIDHAN G LOKHANDE,Baliraja Party,48,M,Maharashtra,Ramtek,9
ASHISH BHAURAO SARODE,Bhim Sena,45,M,Maharashtra,Ramtek,9
SHANKAR CHINTAMAN CHAHANDE,Vanchit Bahujan  Aaghadi,56,M,Maharashtra,Ramtek,9
UMESH RAJU  KHADSE,Rashtra Samarpan Party,32,M,Maharashtra,Ramtek,9
ADV ULHAS SHALIKRAM DUPARE,Independent,58,M,Maharashtra,Ramtek,9
GOWARDHAN NAMDEO SOMDEVE,Independent,68,M,Maharashtra,Ramtek,9
PRAMOD SHRIPAT KHOBRAGADE,Ambedkarite Party of India,45,M,Maharashtra,Ramtek,9
TEKRAJ BELKHODE,Independent,33,M,Maharashtra,Nagpur,10
PRAFUL MANIKCHAND BHANGE,Independent,55,M,Maharashtra,Nagpur,10
FAHIM SHAMIM KHAN,Minorities Democratic Party,38,M,Maharashtra,Nagpur,10
SURAJ BALRAM MISHRA,Kunbi Bahujan Sawrajya Party,30,M,Maharashtra,Nagpur,10
SUSHIL PATIL,Independent,51,M,Maharashtra,Nagpur,10
GUNWANT HARICHANDRA SOMKUWAR,Bharatheeya Jawan Kisan Party,59,M,Maharashtra,Nagpur,10
YOGIRAJ ALIAS YOGESH PATIRAM LANJEWAR,Bahujan Samaj Party,48,M,Maharashtra,Nagpur,10
GARUDADRI ANAND KUMAR,Independent,41,M,Maharashtra,Nagpur,10
GARUDADRI ANAND KUMAR,Akhil Bhartiya Parivar Party,41,M,Maharashtra,Nagpur,10
SUNIL WANKHEDE,Rashtra Samarpan Party,53,M,Maharashtra,Nagpur,10
DHANU WALTHARE,Independent,77,M,Maharashtra,Nagpur,10
KIVINSUKA VIRENDRA SURYAVANSHI,Desh Janhit Party,43,M,Maharashtra,Nagpur,10
NITIN JAIRAM GADKARI,Bharatiya Janata Party,67,M,Maharashtra,Nagpur,10
ADV. SANTOSH RAMKRISHNA LANJEWAR,All India Forward Bloc,48,M,Maharashtra,Nagpur,10
ADARSH RAVISHANKAR THAKUR,Independent,45,M,Maharashtra,Nagpur,10
VISHESH VASANTA FUTANE,Bahujan Republican  Socialist Party,45,M,Maharashtra,Nagpur,10
SACHIN RAMKRUSHNARAO WAGHADE,Independent,30,M,Maharashtra,Nagpur,10
SHRIDHAR NARAYAN SALVE,Bhim Sena,50,M,Maharashtra,Nagpur,10
VINAYAK BHAURAO AWCHAT,Independent,52,M,Maharashtra,Nagpur,10
VIKAS THAKRE,Indian National Congress,57,M,Maharashtra,Nagpur,10
BABITA RAJU AWASTHI,Independent,50,F,Maharashtra,Nagpur,10
SANTOSH TULSHIRAM CHAVHAN,Independent,49,M,Maharashtra,Nagpur,10
ADV ULHAS SHALIKRAM DUPARE,Independent,58,M,Maharashtra,Nagpur,10
SAHIL BALCHAND TURKAR,Independent,38,M,Maharashtra,Nagpur,10
NARAYAN TUKARAM CHOUDHARI,Socialist Unity Centre Of India (COMMUNIST),60,M,Maharashtra,Nagpur,10
DIPAK LAXMANRAO MASKE,Bahujan Maha Party,46,M,Maharashtra,Nagpur,10
VIJAY MANKAR,Ambedkarite Party of India,53,M,Maharashtra,Nagpur,10
DR. PRASHANT YADAORAO PADOLE,Indian National Congress,45,M,Maharashtra,Bhandara Gondiya,11
BENIRAM RAMCHAND FULBANDHE,Independent,35,M,Maharashtra,Bhandara Gondiya,11
DEVILAL SUKHRAM NEPALE,Peoples Party of India (Democratic),58,M,Maharashtra,Bhandara Gondiya,11
KUMBHALKAR SANJAY BHAIYY,Bahujan Samaj Party,52,M,Maharashtra,Bhandara Gondiya,11
SANJAY GAJANAN KEWAT,Vanchit Bahujan  Aaghadi,47,M,Maharashtra,Bhandara Gondiya,11
PRADEEP  DHOBALE,Independent,57,M,Maharashtra,Bhandara Gondiya,11
AJAYKUMAR BHARTIYA,Akhil Bhartiya Parivar Party,50,M,Maharashtra,Bhandara Gondiya,11
SUNIL BABURAO MENDHE,Bharatiya Janata Party,55,M,Maharashtra,Bhandara Gondiya,11
TULSIRAM URKUDA GEDAM,Independent,56,M,Maharashtra,Bhandara Gondiya,11
VILAS BABURAO LENDE,Lok Swarajya Party,51,M,Maharashtra,Bhandara Gondiya,11
SEWAKBHAU NIRDHAN WAGHAYE,Independent,58,M,Maharashtra,Bhandara Gondiya,11
ITWALE SHARAD MARTAND,Independent,39,M,Maharashtra,Bhandara Gondiya,11
SURYAKIRAN ISHWAR NANDAGAWALI,Independent,43,F,Maharashtra,Bhandara Gondiya,11
CHAITRAM DASHARATH KOKASE,Independent,63,M,Maharashtra,Bhandara Gondiya,11
AJAYKUMAR BHARTIYA,Independent,50,M,Maharashtra,Bhandara Gondiya,11
SUMIT VIJAY PANDE,Independent,42,M,Maharashtra,Bhandara Gondiya,11
VIRENDRAKUMAR KASTURCHAND JAISWAL,Independent,68,M,Maharashtra,Bhandara Gondiya,11
VILAS JIYALAL RAUT,Independent,50,M,Maharashtra,Bhandara Gondiya,11
DR. AKASH MADHUKAR JIBHAKATE,Independent,27,M,Maharashtra,Bhandara Gondiya,11
KODAPE VILAS SHAMARAO,Independent,67,M,Maharashtra,Gadchiroli - Chimur,12
BARIKRAO DHARMAJI MADAVI,Independent,63,M,Maharashtra,Gadchiroli - Chimur,12
DR. KIRSAN  NAMDEO,Indian National Congress,65,M,Maharashtra,Gadchiroli - Chimur,12
ASHOK  MAHADEORAO NETE,Bharatiya Janata Party,61,M,Maharashtra,Gadchiroli - Chimur,12
SUHAS UMESH KUMRE,Bhim Sena,26,M,Maharashtra,Gadchiroli - Chimur,12
KARAN SURESH SAYAM,Independent,32,M,Maharashtra,Gadchiroli - Chimur,12
GONNADE  YOGESH  NAMDEORAO,Bahujan Samaj Party,58,M,Maharashtra,Gadchiroli - Chimur,12
HITESH PANDURANG MADAVI,Vanchit Bahujan  Aaghadi,41,M,Maharashtra,Gadchiroli - Chimur,12
DHIRAJ PURUSHOTTAM SHEDMAKE,Janseva Gondwana Party,40,M,Maharashtra,Gadchiroli - Chimur,12
BARIKRAO DHARMAJI MADAVI,Bahujan Republican  Socialist Party,63,M,Maharashtra,Gadchiroli - Chimur,12
VINOD GURUDAS MADAVI,Independent,32,M,Maharashtra,Gadchiroli - Chimur,12
DIWAKAR HARIJI URADE,Independent,55,M,Maharashtra,Chandrapur,13
SANJAY NILKANTH GAWANDE,Independent,60,M,Maharashtra,Chandrapur,13
VIKAS UTTAMRAO LASANTE,Sanman Rajkiya Paksha,39,M,Maharashtra,Chandrapur,13
VANITA JITENDRA RAUT,Akhil Bharatiya Manavata Paksha,42,F,Maharashtra,Chandrapur,13
NAMDEO MANIKRAO SHEDMAKE,Gondvana Gantantra Party,56,M,Maharashtra,Chandrapur,13
RAJENDRA HARISHCHANDRA RAMTEKE,Bahujan Samaj Party,47,M,Maharashtra,Chandrapur,13
VIDYASAGAR KALIDAS KASARLAWAR,Bhim Sena,69,M,Maharashtra,Chandrapur,13
SEWAKDAS KAWDUJI BARKE,Peoples Party of India (Democratic),56,M,Maharashtra,Chandrapur,13
BELE RAJESH WARLUJI,Vanchit Bahujan  Aaghadi,42,M,Maharashtra,Chandrapur,13
MILIND PRALHAD DAHIWALE,Independent,44,M,Maharashtra,Chandrapur,13
PURNIMA DILIP GHONMODE,Bahujan Republican  Socialist Party,47,F,Maharashtra,Chandrapur,13
ASHOK RANAJI RATHOD,Jay Vidarbha Party,62,M,Maharashtra,Chandrapur,13
MUNGANTIWAR SUDHIR SACCHIDANAND,Bharatiya Janata Party,61,M,Maharashtra,Chandrapur,13
DHANORKAR PRATIBHA SURESH ALIAS BALUBHAU,Indian National Congress,38,F,Maharashtra,Chandrapur,13
AWACHIT SHAMRAO SAYAM,Janseva Gondwana Party,62,M,Maharashtra,Chandrapur,13
UTTAM ONKAR INGOLE,Peoples Party of India (Democratic),59,M,Maharashtra,Yavatmal- Washim,14
NUR ALI MAHEBUB ALI SHAH,Independent,64,M,Maharashtra,Yavatmal- Washim,14
DIKSHANT NAMDEVRAO SAWAIKAR,Independent,32,M,Maharashtra,Yavatmal- Washim,14
RAMDAS BAJIRAO GHODAM,Independent,65,M,Maharashtra,Yavatmal- Washim,14
HARISING (HARIBHAU) NASARU RATHOD,Bahujan Samaj Party,70,M,Maharashtra,Yavatmal- Washim,14
AMOL KOMAWAR,Hindrashtra Sangh,46,M,Maharashtra,Yavatmal- Washim,14
PRO KISAN RAMRAO AMBURE,Independent,32,M,Maharashtra,Yavatmal- Washim,14
GOKUL PREMDAS CHAVHAN,Independent,61,M,Maharashtra,Yavatmal- Washim,14
DR ARJUNKUMAR SITARAM RATHOD,Independent,47,M,Maharashtra,Yavatmal- Washim,14
RAJSHRITAI HEMANT PATIL (MAHALLE),Shiv Sena,51,F,Maharashtra,Yavatmal- Washim,14
VINOD PANJABRAO NANDAGAVALI,Independent,36,M,Maharashtra,Yavatmal- Washim,14
SANGITA DINESH CHAVHAN,Independent,37,F,Maharashtra,Yavatmal- Washim,14
DHARAM DILIPSING THAKUR,Sanman Rajkiya Paksha,25,M,Maharashtra,Yavatmal- Washim,14
SANJAY UTTAMRAO DESHMUKH,ShivSena (Uddhav Balasaheb Thackeray),55,M,Maharashtra,Yavatmal- Washim,14
MANOJ MAHADEORAO GEDAM,Independent,45,M,Maharashtra,Yavatmal- Washim,14
SANDIP SAMPAT SHINDE,Independent,55,M,Maharashtra,Yavatmal- Washim,14
ANIL JAYRAM RATHOD,Samnak Janta Party,47,M,Maharashtra,Yavatmal- Washim,14
DEVSARKAR VARSHA SHIVAJIRAO,Bahujan Mukti Party,47,F,Maharashtra,Hingoli,15
SATTAR PATHAN,Independent,59,M,Maharashtra,Hingoli,15
SUNIL DASHARATH INGOLE,Bhim Sena,43,M,Maharashtra,Hingoli,15
AMBADAS SUKAJI GADE,Independent,60,M,Maharashtra,Hingoli,15
MAHESH KAILAS NAPTE,Independent,27,M,Maharashtra,Hingoli,15
SUNIL MOTIRAM GAJBHAR,Independent,33,M,Maharashtra,Hingoli,15
BABURAO ANANDRAO KADAM,Independent,48,M,Maharashtra,Hingoli,15
VIJAY RAMJI GABHANE,Communist Party of India  (Marxist),60,M,Maharashtra,Hingoli,15
DEWJI GANGARAM ASOLE,Independent,70,M,Maharashtra,Hingoli,15
DATTA SHRIKRISHNA SURYAWANSHI,Independent,32,M,Maharashtra,Hingoli,15
VIJAY DNYANBA RAUT,Independent,40,M,Maharashtra,Hingoli,15
BHAWAR GOVINDRAO FULAJI,Independent,53,M,Maharashtra,Hingoli,15
SARJERAO NIVRUTTI KHANDARE,Independent,33,M,Maharashtra,Hingoli,15
DR. B. D. CHAVHAN,Vanchit Bahujan  Aaghadi,61,M,Maharashtra,Hingoli,15
ADV. RAMRAO ATMARAM JUMBADE,Independent,27,M,Maharashtra,Hingoli,15
PRAKASH MASARAM RANVIR,Republican Party of India (A),47,M,Maharashtra,Hingoli,15
TRISHALA MILIND KAMBLE,Bahujan Samaj Party  (Ambedkar),41,F,Maharashtra,Hingoli,15
RAMPRASAD NARAYAN BANGAR,Independent,43,M,Maharashtra,Hingoli,15
ADV. SHIVAJIRAO JADHAV,Independent,25,M,Maharashtra,Hingoli,15
VISHVANATH BHAURAO FALEGAONKAR,Independent,34,third,Maharashtra,Hingoli,15
A. KADIR MASTAN SAYYED (GOREGAONKAR),Independent,52,M,Maharashtra,Hingoli,15
GAJANAN DHONDBA DAL,Bahujan Samaj Party,41,M,Maharashtra,Hingoli,15
HEMANT RADHAKISHAN KANAKE,Rashtriya Kisan Bahujan Party,38,M,Maharashtra,Hingoli,15
BABURAO KADAM KOHALIKAR,Shiv Sena,55,M,Maharashtra,Hingoli,15
ANAND RAJARAM DHULE,Independent,35,M,Maharashtra,Hingoli,15
ASHOK PANDURANG RATHOD,Independent,41,M,Maharashtra,Hingoli,15
ADV ALTAF AHMED,Indian National League,53,M,Maharashtra,Hingoli,15
ANIL DEVRAO MOHITE,Akhil Bhartiya Parivar Party,35,M,Maharashtra,Hingoli,15
ADV RAVI SHINDE,Independent,44,M,Maharashtra,Hingoli,15
AASHTIKAR PATIL NAGESH BAPURAO,ShivSena (Uddhav Balasaheb Thackeray),52,M,Maharashtra,Hingoli,15
VASANT KISAN PAIKRAO,Independent,64,M,Maharashtra,Hingoli,15
DESHA SHYAM BANJARA,Samnak Janta Party,56,M,Maharashtra,Hingoli,15
RAVI RAMDAS JADHAV (SAWANEKAR),Abhinav Bharat Janseva Paksh,37,M,Maharashtra,Hingoli,15
NIKHIL LAXMANRAO GARJE,Independent,34,M,Maharashtra,Nanded,16
PANDURANG RAMA ADGULWAR,Bahujan Samaj Party,37,M,Maharashtra,Nanded,16
NAGESH SAMBHAJI GAIKWAD,Independent,29,M,Maharashtra,Nanded,16
SUSHILA NILKANTHRAO PAWAR,Samnak Janta Party,37,F,Maharashtra,Nanded,16
RAHUL SURYAKANT YANGADE,Bahujan Mukti Party,42,M,Maharashtra,Nanded,16
GAJANAN DATTRAMJI DHUMAL,Independent,40,M,Maharashtra,Nanded,16
BHASKAR CHAMPATRAO DOIFODE,Independent,36,M,Maharashtra,Nanded,16
DEVIDAS GOVINDRAO INGLE,Independent,51,M,Maharashtra,Nanded,16
AVINASH VISHWANATH BHOSIKAR,Independent,42,M,Maharashtra,Nanded,16
AVINASH VISHWANATH BHOSIKAR,Vanchit Bahujan  Aaghadi,42,M,Maharashtra,Nanded,16
KAUSAR SULTANA,Indian National League,49,F,Maharashtra,Nanded,16
CHIKHALIKAR PRATAPRAO GOVINDRAO,Bharatiya Janata Party,62,M,Maharashtra,Nanded,16
RATHOD SURESH GOPINATH,Independent,40,M,Maharashtra,Nanded,16
ABDUL RAIS AHEMAD,Desh Janhit Party,56,M,Maharashtra,Nanded,16
RUKMINBAI SHANKARRAO GITE,Bharatiya Praja Surajya Paksha,61,F,Maharashtra,Nanded,16
HARI PIRAJI BOYALE,Bahujan Bharat Party,49,M,Maharashtra,Nanded,16
DNYANESHWAR RAOSAHEB KAPATE,Independent,32,M,Maharashtra,Nanded,16
KALPANA SANJAY GAIKWAD,Independent,40,F,Maharashtra,Nanded,16
BHASKAR CHAMPATRAO DOIFODE,Independent,36,M,Maharashtra,Nanded,16
CHAVAN VASANTRAO BALWANTRAO,Indian National Congress,69,M,Maharashtra,Nanded,16
LAXMAN NAGORAO PATIL,Independent,34,M,Maharashtra,Nanded,16
KADAM SURAJ DEVENDRA,Independent,30,M,Maharashtra,Nanded,16
JAGDISH LAXMAN POTRE,Independent,45,M,Maharashtra,Nanded,16
MAHARUDRA KESHAV POPLAITKAR,Independent,33,M,Maharashtra,Nanded,16
SAHEBRAO BHIVA GAJBHARE,Independent,50,M,Maharashtra,Nanded,16
PROF. DR. VILAS BANSIDHAR TANGADE,Independent,49,M,Maharashtra,Parbhani,17
DASHARATH PRABHKAR RATHOD,Maharashtra Vikas Aghadi,40,M,Maharashtra,Parbhani,17
SAYYD ABDUL SATTAR AJIJ,Independent,65,M,Maharashtra,Parbhani,17
SHRIRAM BANSILAL JADHAV,Jai Sewalal Bahujan Vikas Party,65,M,Maharashtra,Parbhani,17
SHAIKH SALEEM SHAIKH IBRAHIM,Independent,46,M,Maharashtra,Parbhani,17
KARBHARI KUNDLIK MITHE,Independent,36,M,Maharashtra,Parbhani,17
KISHORE RADHAKISHAN DHAGE,Independent,41,M,Maharashtra,Parbhani,17
SAMIR GANESHRAO DUDHGAONKAR,Independent,47,M,Maharashtra,Parbhani,17
PANJAB UTTAMRAO DAKH,Independent,45,M,Maharashtra,Parbhani,17
PANJAB UTTAMRAO DAKH,Vanchit Bahujan  Aaghadi,45,M,Maharashtra,Parbhani,17
DR. GOVARDHAN BHIWAJI KHANDAGALE,Bahujan Bharat Party,70,M,Maharashtra,Parbhani,17
ALAMGIR MOHAMMAD KHAN,Bahujan Samaj Party,43,M,Maharashtra,Parbhani,17
KISHORKUMAR PRAKASH SHINDE,Independent,33,M,Maharashtra,Parbhani,17
SUBHASH DATTARAV JAVLE,Independent,67,M,Maharashtra,Parbhani,17
BOBADE SAKHARAM PADEGAONKAR,Independent,47,M,Maharashtra,Parbhani,17
KAILAS BALIRAM PAWAR (NAIK),Baliraja Party,38,M,Maharashtra,Parbhani,17
DNYANESHWAR JAGANNATH DAHIBHATE,Independent,38,M,Maharashtra,Parbhani,17
RAJABHAU SHESHRAO KAKDE,Independent,51,M,Maharashtra,Parbhani,17
COMRADE RAJAN KSHIRSAGAR,Communist Party of India,56,M,Maharashtra,Parbhani,17
SAYED IRSHAD ALI SAYYED LAYAKH ALI,Social Democratic Party Of India,36,M,Maharashtra,Parbhani,17
RAJENDRA RAMDAS ATKAL,Independent,31,M,Maharashtra,Parbhani,17
ARJUN DNYANOBA BHISE,Independent,31,M,Maharashtra,Parbhani,17
KRUSHNA TRIMBAKRAO PAWAR,Independent,35,M,Maharashtra,Parbhani,17
KAMBLE SHIVAJI DEVAJI,Independent,54,M,Maharashtra,Parbhani,17
SHAIKH SALEEM SHAIKH IBRAHIM,All India Majlis-E-Inquilab-E-Millat,46,M,Maharashtra,Parbhani,17
COMRADE GANPAT BHISE,Independent,51,M,Maharashtra,Parbhani,17
ADV. VINOD CHHAGANRAO AMBHORE,Bahujan Mukti Party,38,M,Maharashtra,Parbhani,17
VISHNUDAS SHIVAJI BHOSALE,Independent,33,M,Maharashtra,Parbhani,17
SANGEETA VYAKANTRAO GIRI,Swarajya Shakti Sena,48,F,Maharashtra,Parbhani,17
VIJAY ANNASAHEB THOMBARE,Independent,41,M,Maharashtra,Parbhani,17
MUSTAFA MAINODDIN SHAIKH,Independent,48,M,Maharashtra,Parbhani,17
JADHAV SANJAY ( BANDU ) HARIBHAU,ShivSena (Uddhav Balasaheb Thackeray),57,M,Maharashtra,Parbhani,17
JANKAR MAHADEV JAGANNATH,Rashtriya Samaj Paksha,55,M,Maharashtra,Parbhani,17
APPASAHEB OMKAR KADAM,Independent,59,M,Maharashtra,Parbhani,17
GOVIND BHAIYYA RAMRAO DESHMUKH,Independent,41,M,Maharashtra,Parbhani,17
ANIL MANIKRAO MUDGALKAR,Independent,55,M,Maharashtra,Parbhani,17
MUKESH PRABHAT RATHOD,Akhil Bhartiya Parivar Party,30,M,Maharashtra,Jalna,18
BABASAHEB PATIL SHINDE,Independent,67,M,Maharashtra,Jalna,18
BAKALE PRABHAKAR DEVGAN,Vanchit Bahujan  Aaghadi,51,M,Maharashtra,Jalna,18
DIPAK BHIMRAO BORHADE,Samnak Janta Party,40,M,Maharashtra,Jalna,18
DNYANESHWAR DAGDUJI NADE,Independent,57,M,Maharashtra,Jalna,18
ADV. YOGESH DATTU GULLAPELLI,Independent,34,M,Maharashtra,Jalna,18
KALYAN VAIJINATHRAO KALE,Indian National Congress,61,M,Maharashtra,Jalna,18
MANOJ NEMINATH KOLTE,Independent,40,M,Maharashtra,Jalna,18
