Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities,State
Sawami Agnivesh,IND,0,5th Pass,47,"Rs 26,60,202  ~ 26 Lacs+",Rs 0  ~,Haryana
Sawatantar Singh Chauhan,Jan Shakti Dal,0,Post Graduate,45,,,Haryana
Seema,IND,0,Graduate,37,"Rs 4,84,50,237  ~ 4 Crore+",Rs 0  ~,Haryana
Selja,INC,0,Post Graduate,61,"Rs 42,06,55,803  ~ 42 Crore+",Rs 0  ~,Haryana
Sewa Singh,IND,0,10th Pass,52,"Rs 3,85,85,035  ~ 3 Crore+","Rs 23,05,486  ~ 23 Lacs+",Haryana
Shakila Hussain,Loktantrik Janshakti Party,0,12th Pass,41,"Rs 32,12,000  ~ 32 Lacs+",Rs 0  ~,Haryana
Shiv Narayan Baba Dubey,Kisan Mazdoor Sangharsh Party,0,10th Pass,54,,,Haryana
Shyam Sunder Singh,Bhartiya Shakti Chetna Party,0,Graduate,56,"Rs 31,90,000  ~ 31 Lacs+","Rs 11,46,000  ~ 11 Lacs+",Haryana
Singh Ram,IND,1,12th Pass,69,"Rs 16,00,000  ~ 16 Lacs+",Rs 0  ~,Haryana
Sonia,IND,2,Graduate Professional,37,"Rs 56,16,000  ~ 56 Lacs+",Rs 0  ~,Haryana
Sorab Khan,Indian National Lok Dal,0,10th Pass,57,"Rs 3,11,10,000  ~ 3 Crore+",Rs 0  ~,Haryana
Subhash,Rashtrawadi Janlok Party (Satya),0,12th Pass,48,,,Haryana
Sukhdev Singh Sandhu,IND,0,10th Pass,36,"Rs 11,03,000  ~ 11 Lacs+","Rs 1,10,000  ~ 1 Lacs+",Haryana
Sunaina Chautala,Indian National Lok Dal,0,Graduate,49,"Rs 13,20,17,179  ~ 13 Crore+","Rs 40,95,176  ~ 40 Lacs+",Haryana
Sunil Kumar,IND,0,Graduate,45,"Rs 4,49,100  ~ 4 Lacs+",Rs 0  ~,Haryana
Sunil Kumar,Rashtriya Garib Dal,0,12th Pass,28,"Rs 10,48,035  ~ 10 Lacs+","Rs 1,16,000  ~ 1 Lacs+",Haryana
Sunil Kumar Sharma,BSP,0,Graduate,52,,,Haryana
Sunil Tewatia,Indian National Lok Dal,0,Graduate,49,"Rs 16,47,50,000  ~ 16 Crore+",Rs 0  ~,Haryana
Sunny Kashyap Teora,IND,0,10th Pass,29,"Rs 38,40,000  ~ 38 Lacs+",Rs 0  ~,Haryana
Suraj Kumar,Bahujan Mukti Party,0,12th Pass,41,"Rs 36,50,000  ~ 36 Lacs+",Rs 480  ~ 4 Hund+,Haryana
Surender,Aam Aadmi Parivartan Party,0,8th Pass,41,"Rs 11,09,500  ~ 11 Lacs+","Rs 8,00,000  ~ 8 Lacs+",Haryana
Surender,IND,0,12th Pass,35,,,Haryana
Surender Kumar,IND,0,10th Pass,54,"Rs 4,38,78,500  ~ 4 Crore+","Rs 1,25,93,000  ~ 1 Crore+",Haryana
Surender Kumar Phulan,IND,0,12th Pass,46,"Rs 10,50,500  ~ 10 Lacs+",Rs 0  ~,Haryana
Surender Singh,IND,0,Graduate Professional,53,"Rs 6,68,42,080  ~ 6 Crore+","Rs 33,641  ~ 33 Thou+",Haryana
Surender Singh,IND,0,12th Pass,31,"Rs 92,357  ~ 92 Thou+",Rs 0  ~,Haryana
Swami Rajendra Dev Ji,IND,0,10th Pass,50,,,Haryana
Udevir,IND,0,12th Pass,50,"Rs 3,54,33,448  ~ 3 Crore+",Rs 0  ~,Haryana
Umesh Kumar,BSP,0,12th Pass,36,"Rs 82,00,000  ~ 82 Lacs+","Rs 1,55,000  ~ 1 Lacs+",Haryana
Vandna Guliya,Right to Recall Party,0,Graduate,44,"Rs 1,26,74,900  ~ 1 Crore+","Rs 67,64,000  ~ 67 Lacs+",Haryana
Varsha,IND,0,Post Graduate,26,"Rs 31,97,400  ~ 31 Lacs+","Rs 1,50,000  ~ 1 Lacs+",Haryana
Varun Chaudhry,INC,0,Graduate Professional,44,,,Haryana
Varun Gupta,IND,0,Graduate,42,"Rs 1,94,61,731  ~ 1 Crore+","Rs 4,52,105  ~ 4 Lacs+",Haryana
Ved Prakash,IND,0,5th Pass,69,"Rs 3,89,35,950  ~ 3 Crore+","Rs 51,36,215  ~ 51 Lacs+",Haryana
Vijay Khatana,BSP,0,Post Graduate,41,"Rs 34,06,068  ~ 34 Lacs+","Rs 5,24,514  ~ 5 Lacs+",Haryana
Vijay Singh,IND,0,12th Pass,34,"Rs 65,000  ~ 65 Thou+",Rs 0  ~,Haryana
Vijay Yadav,Jan Sewak Kranti Party,0,Post Graduate,44,,,Haryana
Vinay,IND,0,Graduate Professional,43,"Rs 1,28,72,936  ~ 1 Crore+","Rs 12,33,210  ~ 12 Lacs+",Haryana
Vineet Choudhary,Bharatiya Asha Party,0,Graduate,40,"Rs 2,62,80,000  ~ 2 Crore+",Rs 0  ~,Haryana
Vinod Kumar,Peoples Party of India (Democratic),0,Post Graduate,40,"Rs 41,69,020  ~ 41 Lacs+","Rs 5,00,000  ~ 5 Lacs+",Haryana
Vishesh Bamel,Bharatiya Asha Party,0,Graduate Professional,39,"Rs 3,52,47,000  ~ 3 Crore+","Rs 12,00,000  ~ 12 Lacs+",Haryana
Vishnu,IND,0,12th Pass,46,,,Haryana
Yogbir Singh,IND,0,Graduate,31,"Rs 3,97,624  ~ 3 Lacs+",Rs 0  ~,Haryana
Yogesh Boora,IND,0,10th Pass,28,"Rs 6,18,000  ~ 6 Lacs+",Rs 0  ~,Haryana
Yogesh Sharma,IND,0,Graduate Professional,50,"Rs 3,50,73,176  ~ 3 Crore+","Rs 5,500  ~ 5 Thou+",Haryana
Achal Singh,IND,0,Post Graduate,59,"Rs 43,15,000  ~ 43 Lacs+",Rs 0  ~,Himachal Pradesh
Advocate Sanjay Sharma,IND,0,Graduate Professional,56,"Rs 2,12,41,828  ~ 2 Crore+","Rs 5,80,621  ~ 5 Lacs+",Himachal Pradesh
Anand Sharma,INC,0,Graduate Professional,71,"Rs 16,81,60,425  ~ 16 Crore+",Rs 0  ~,Himachal Pradesh
Anil Kumar Manget,BSP,0,Post Graduate,31,"Rs 12,58,743  ~ 12 Lacs+","Rs 4,67,000  ~ 4 Lacs+",Himachal Pradesh
Anurag Singh Thakur,BJP,1,Graduate,50,,,Himachal Pradesh
Arun Ankesh Syal,Ekam Sanatan Bharat Dal,0,Graduate Professional,34,"Rs 42,601  ~ 42 Thou+","Rs 45,040  ~ 45 Thou+",Himachal Pradesh
Ashutosh Mahant,IND,0,12th Pass,38,"Rs 1,54,62,153  ~ 1 Crore+",Rs 0  ~,Himachal Pradesh
Bhuvnesh Kumar,Rashtriya Devbhumi Party,0,Graduate,49,"Rs 38,22,000  ~ 38 Lacs+","Rs 15,50,000  ~ 15 Lacs+",Himachal Pradesh
Dev Raj Bhardwaj,Rashtriya Samaj Dal (R),0,Graduate,71,"Rs 68,30,85,377  ~ 68 Crore+","Rs 4,00,000  ~ 4 Lacs+",Himachal Pradesh
Dinesh Kumar Bhati,IND,0,Post Graduate,56,,,Himachal Pradesh
Dr Kehar Singh,IND,0,Doctorate,53,"Rs 5,20,00,000  ~ 5 Crore+",Rs 0  ~,Himachal Pradesh
Dr Prakash Chand Bhardwaj,BSP,0,Post Graduate,65,"Rs 1,64,44,000  ~ 1 Crore+","Rs 9,50,000  ~ 9 Lacs+",Himachal Pradesh
Dr Rajeev Bhardwaj,BJP,0,Graduate Professional,62,"Rs 5,87,23,886  ~ 5 Crore+","Rs 4,24,821  ~ 4 Lacs+",Himachal Pradesh
Garib Dass Katoch,IND,0,12th Pass,66,"Rs 1,85,90,000  ~ 1 Crore+","Rs 9,85,000  ~ 9 Lacs+",Himachal Pradesh
Gopi Chand Attari,IND,0,Post Graduate,69,,,Himachal Pradesh
Hem Raj,BSP,0,10th Pass,62,"Rs 64,36,836  ~ 64 Lacs+",Rs 0  ~,Himachal Pradesh
Jagdeep Kumar,Rashtriya Devbhumi Party,0,Others,38,"Rs 1,39,89,282  ~ 1 Crore+","Rs 10,12,554  ~ 10 Lacs+",Himachal Pradesh
Jeevan Kumar,Akhil Bhartiya Parivar Party,0,12th Pass,34,"Rs 24,000  ~ 24 Thou+","Rs 5,00,000  ~ 5 Lacs+",Himachal Pradesh
Kangna Ranaut,BJP,8,12th Pass,37,"Rs 91,66,31,239  ~ 91 Crore+","Rs 17,38,86,641  ~ 17 Crore+",Himachal Pradesh
Madan Lal,Akhil Bhartiya Parivar Party,0,10th Pass,43,,,Himachal Pradesh
Mahesh Saini,Himachal Janta Party,0,Post Graduate,45,"Rs 24,72,919  ~ 24 Lacs+","Rs 26,30,000  ~ 26 Lacs+",Himachal Pradesh
Nand Lal,IND,0,10th Pass,65,"Rs 1,23,28,900  ~ 1 Crore+","Rs 3,50,000  ~ 3 Lacs+",Himachal Pradesh
Narain Singh Dogra,Himachal Janta Party,0,Post Graduate,64,"Rs 1,31,96,110  ~ 1 Crore+","Rs 1,25,130  ~ 1 Lacs+",Himachal Pradesh
Narender Kumar,Rashtriya Devbhumi Party,1,Others,54,"Rs 1,20,85,000  ~ 1 Crore+","Rs 32,00,000  ~ 32 Lacs+",Himachal Pradesh
Rakhee Gupta,IND,0,12th Pass,52,,,Himachal Pradesh
Ramesh Chand Sarthi,IND,1,Graduate Professional,50,"Rs 64,97,932  ~ 64 Lacs+",Rs 0  ~,Himachal Pradesh
Rekha Chaudhary,BSP,0,Graduate,41,"Rs 10,47,249  ~ 10 Lacs+",Rs 0  ~,Himachal Pradesh
Satpal Raizada,INC,1,10th Pass,53,"Rs 15,85,90,568  ~ 15 Crore+","Rs 1,00,18,940  ~ 1 Crore+",Himachal Pradesh
Subedar Major Kulwant Singh Patial,Bharatheeya Jawan Kisan Party,1,10th Pass,56,"Rs 1,89,66,000  ~ 1 Crore+","Rs 13,50,000  ~ 13 Lacs+",Himachal Pradesh
Subhash Mohan Snehi,IND,0,Doctorate,46,,,Himachal Pradesh
Sumit Rana,Akhil Bhartiya Parivar Party,0,Others,32,"Rs 24,25,000  ~ 24 Lacs+","Rs 55,00,000  ~ 55 Lacs+",Himachal Pradesh
Surender Kumar Gautam,IND,0,12th Pass,53,"Rs 1,80,55,305  ~ 1 Crore+","Rs 19,70,000  ~ 19 Lacs+",Himachal Pradesh
Suresh Kumar,Rashtriya Devbhumi Party,0,10th Pass,52,"Rs 1,47,00,000  ~ 1 Crore+","Rs 7,80,000  ~ 7 Lacs+",Himachal Pradesh
Suresh Kumar Kashyap,BJP,0,Post Graduate,53,"Rs 4,44,42,736  ~ 4 Crore+","Rs 51,05,342  ~ 51 Lacs+",Himachal Pradesh
Vikramaditya Singh,INC,14,Post Graduate,34,,,Himachal Pradesh
Vinay Kumar,Akhil Bhartiya Parivar Party,0,12th Pass,42,"Rs 14,45,000  ~ 14 Lacs+","Rs 11,00,000  ~ 11 Lacs+",Himachal Pradesh
Vinod Sultanpuri,INC,0,Graduate Professional,42,"Rs 9,22,83,379  ~ 9 Crore+","Rs 73,87,679  ~ 73 Lacs+",Himachal Pradesh
Abdul Raouf Malik,IND,0,10th Pass,55,"Rs 3,23,27,353  ~ 3 Crore+","Rs 9,00,000  ~ 9 Lacs+",Jammu and Kashmir
Abdul Rashid Sheikh,IND,3,Graduate,59,"Rs 1,56,37,424  ~ 1 Crore+","Rs 14,42,558  ~ 14 Lacs+",Jammu and Kashmir
Abdul Rouf Naik,IND,0,Post Graduate,27,"Rs 2,00,000  ~ 2 Lacs+",Rs 0  ~,Jammu and Kashmir
Aga Syed Ruhullah Mehdi,Jammu & Kashmir National Conference,0,12th Pass,46,"Rs 3,57,93,000  ~ 3 Crore+","Rs 4,38,000  ~ 4 Lacs+",Jammu and Kashmir
Ali Mohammad Wani,IND,0,Graduate,51,,,Jammu and Kashmir
Amin Dar,IND,0,10th Pass,55,"Rs 2,00,30,000  ~ 2 Crore+",Rs 0  ~,Jammu and Kashmir
Amir Ahmad Bhat,Democratic Progressive Azad Party,0,10th Pass,34,"Rs 55,48,147  ~ 55 Lacs+","Rs 12,43,607  ~ 12 Lacs+",Jammu and Kashmir
Amit Kumar,BSP,0,Graduate,28,"Rs 51,55,000  ~ 51 Lacs+",Rs 0  ~,Jammu and Kashmir
Ankur Sharma,Ekam Sanatan Bharat Dal,0,Graduate Professional,37,"Rs 2,67,36,567  ~ 2 Crore+","Rs 1,00,36,855  ~ 1 Crore+",Jammu and Kashmir
Arsheed Ahmed Lone,Jammu & Kashmir National Panthers Party (Bhim),0,12th Pass,28,Nil,,Jammu and Kashmir
Arun Kumar Raina,IND,0,12th Pass,50,"Rs 20,00,000  ~ 20 Lacs+",Rs 0  ~,Jammu and Kashmir
Atul Raina,IND,0,Post Graduate,38,"Rs 6,94,337  ~ 6 Lacs+",Rs 0  ~,Jammu and Kashmir
Baldev Kumar,IND,0,10th Pass,67,"Rs 5,40,000  ~ 5 Lacs+",Rs 0  ~,Jammu and Kashmir
Balwan Singh,Jammu & Kashmir National Panthers Party (Bhim),2,Post Graduate,57,"Rs 25,38,559  ~ 25 Lacs+",Rs 0  ~,Jammu and Kashmir
Bansi Lal,IND,0,8th Pass,58,,,Jammu and Kashmir
Ch Lal Singh,INC,0,Graduate,65,"Rs 3,50,13,425  ~ 3 Crore+","Rs 25,34,944  ~ 25 Lacs+",Jammu and Kashmir
Dilip Kumar Pandita,IND,1,12th Pass,56,"Rs 17,50,000  ~ 17 Lacs+","Rs 14,50,000  ~ 14 Lacs+",Jammu and Kashmir
Dr Jitendra Singh,BJP,0,Post Graduate,67,"Rs 8,59,05,005  ~ 8 Crore+",Rs 0  ~,Jammu and Kashmir
Dr Pankaj Sharma,IND,0,Doctorate,44,"Rs 5,00,000  ~ 5 Lacs+",Rs 0  ~,Jammu and Kashmir
Dr Prince Raina,IND,0,Graduate Professional,37,,,Jammu and Kashmir
Dr Qazi Ashraf,IND,0,Post Graduate,55,"Rs 15,01,82,000  ~ 15 Crore+","Rs 1,30,00,000  ~ 1 Crore+",Jammu and Kashmir
Farooq Ahmad Bhat,National Youth Party,0,8th Pass,44,"Rs 1,51,99,500  ~ 1 Crore+",Rs 0  ~,Jammu and Kashmir
Fayaz Ahmad Butt,IND,0,8th Pass,52,"Rs 50,39,670  ~ 50 Lacs+","Rs 56,50,788  ~ 56 Lacs+",Jammu and Kashmir
Firdous Ahmad Bhat,IND,0,Post Graduate,37,"Rs 50,000  ~ 50 Thou+",Rs 0  ~,Jammu and Kashmir
Ganesh Choudhary,Hindustan Shakti Sena,1,8th Pass,37,,,Jammu and Kashmir
Ghulam Mohammad Wani,IND,0,12th Pass,49,"Rs 1,25,000  ~ 1 Lacs+",Rs 0  ~,Jammu and Kashmir
Ghulam Mohd Saroori,IND,0,10th Pass,71,"Rs 6,76,06,025  ~ 6 Crore+","Rs 30,00,000  ~ 30 Lacs+",Jammu and Kashmir
Gulshan Akhter,IND,0,Post Graduate,64,"Rs 2,50,000  ~ 2 Lacs+",Rs 0  ~,Jammu and Kashmir
Hakikat Singh,Jammu & Kashmir National Panthers Party (Bhim),0,Graduate,55,"Rs 26,00,00,000  ~ 26 Crore+","Rs 10,00,000  ~ 10 Lacs+",Jammu and Kashmir
Hilal Ahmad Wagay,IND,0,5th Pass,35,,,Jammu and Kashmir
Imran Sheikh,IND,20,8th Pass,37,"Rs 54,60,000  ~ 54 Lacs+",Rs 0  ~,Jammu and Kashmir
Imtiyaz Ahmad,National Loktantrik Party,0,12th Pass,40,"Rs 18,20,000  ~ 18 Lacs+",Rs 0  ~,Jammu and Kashmir
Jagdish Raj,BSP,0,10th Pass,70,"Rs 37,00,000  ~ 37 Lacs+","Rs 5,00,000  ~ 5 Lacs+",Jammu and Kashmir
Jahangir Ahmad Sheikh,IND,0,Graduate Professional,30,"Rs 4,320  ~ 4 Thou+",Rs 0  ~,Jammu and Kashmir
Javaid Ahmed,All India Forward Bloc,0,12th Pass,43,,,Jammu and Kashmir
Javeed Ahmad Wani,IND,0,Graduate Professional,45,"Rs 6,49,000  ~ 6 Lacs+","Rs 30,00,000  ~ 30 Lacs+",Jammu and Kashmir
Jibran Firdous Dar,IND,0,Graduate Professional,33,"Rs 50,000  ~ 50 Thou+","Rs 1,75,000  ~ 1 Lacs+",Jammu and Kashmir
Jugal Kishore,BJP,0,10th Pass,61,"Rs 7,63,78,942  ~ 7 Crore+","Rs 80,13,699  ~ 80 Lacs+",Jammu and Kashmir
Karanjit,IND,0,12th Pass,41,"Rs 66,50,000  ~ 66 Lacs+",Rs 0  ~,Jammu and Kashmir
Khursheed Ahmad Shah,Rashtriya Jankranti Party,0,8th Pass,44,,,Jammu and Kashmir
Manoj Kumar,Ekam Sanatan Bharat Dal,1,12th Pass,32,"Rs 7,20,227  ~ 7 Lacs+","Rs 5,00,000  ~ 5 Lacs+",Jammu and Kashmir
Mehbooba Mufti,Jammu & Kashmir Peoples Democratic Party,0,Graduate Professional,64,"Rs 75,69,867  ~ 75 Lacs+",Rs 0  ~,Jammu and Kashmir
Mehraj Din,IND,3,Post Graduate,36,"Rs 45,000  ~ 45 Thou+","Rs 2,00,000  ~ 2 Lacs+",Jammu and Kashmir
Mehraj Uddin Najar,IND,2,10th Pass,41,"Rs 10,000  ~ 10 Thou+",Rs 0  ~,Jammu and Kashmir
Mian Altaf Ahmad,Jammu & Kashmir National Conference,0,Graduate Professional,66,,,Jammu and Kashmir
Mir Mohammad Fayaz,Jammu & Kashmir Peoples Democratic Party,0,12th Pass,47,"Rs 86,78,920  ~ 86 Lacs+",Rs 0  ~,Jammu and Kashmir
Mirza Sajad Hussain Beigh,IND,1,Graduate,34,"Rs 8,00,000  ~ 8 Lacs+",Rs 0  ~,Jammu and Kashmir
Mohamad Saleem Paray,Democratic Progressive Azad Party,0,Graduate Professional,40,"Rs 1,51,88,507  ~ 1 Crore+","Rs 21,98,300  ~ 21 Lacs+",Jammu and Kashmir
Mohammad Ashraf Mir,Jammu and Kashmir Apni Party,0,Post Graduate,52,"Rs 32,69,50,450  ~ 32 Crore+","Rs 2,10,00,000  ~ 2 Crore+",Jammu and Kashmir
Mohammad Maqbool Teli,Garib Democratic Party,0,8th Pass,61,,,Jammu and Kashmir
Mohammad Sultan Ganaie,IND,0,Post Graduate,57,Rs 67  ~,Rs 0  ~,Jammu and Kashmir
Mohd Ali Gujjar,IND,0,Graduate,43,"Rs 30,05,601  ~ 30 Lacs+","Rs 14,20,000  ~ 14 Lacs+",Jammu and Kashmir
Mohd Yousuf Bhat,Gana Suraksha Party,1,12th Pass,59,"Rs 1,16,90,000  ~ 1 Crore+",Rs 0  ~,Jammu and Kashmir
Mudasir Ahmad Tantary,IND,0,12th Pass,36,"Rs 7,00,000  ~ 7 Lacs+","Rs 56,983  ~ 56 Thou+",Jammu and Kashmir
Munir Ahmad Khan,Jammu and Kashmir Nationalist Peoples Front,0,12th Pass,50,,,Jammu and Kashmir
Mushtaq Ahmad Mir,National Loktantrik Party,0,8th Pass,42,"Rs 30,000  ~ 30 Thou+",Rs 0  ~,Jammu and Kashmir
Muzaffar Hussain Dar,IND,0,10th Pass,40,"Rs 5,17,00,000  ~ 5 Crore+",Rs 0  ~,Jammu and Kashmir
Naresh Kumar Chib,Jammu & Kashmir National Panthers Party (Bhim),0,Graduate,63,"Rs 1,96,84,000  ~ 1 Crore+","Rs 6,50,000  ~ 6 Lacs+",Jammu and Kashmir
Naresh Kumar Talla,IND,0,10th Pass,60,"Rs 40,59,800  ~ 40 Lacs+",Rs 0  ~,Jammu and Kashmir
Nazir Ahmad Sofi,IND,0,10th Pass,38,,,Jammu and Kashmir
Nisar Ahmad Ahangar,IND,0,10th Pass,44,"Rs 4,20,000  ~ 4 Lacs+",Rs 0  ~,Jammu and Kashmir
Omar Abdullah,Jammu & Kashmir National Conference,0,Graduate,53,"Rs 54,45,000  ~ 54 Lacs+",Rs 0  ~,Jammu and Kashmir
Peerzada Mudasir Rashid Shah,Jammu & Kashmir National Panthers Party (Bhim),0,Graduate,36,"Rs 40,000  ~ 40 Thou+",Rs 0  ~,Jammu and Kashmir
Perseen Singh,IND,0,12th Pass,43,"Rs 4,35,000  ~ 4 Lacs+",Rs 0  ~,Jammu and Kashmir
Principal C D Sharma,IND,0,Post Graduate,63,,,Jammu and Kashmir
Qari Zaheer Abbas Bhatti,All India Forward Bloc,1,Others,52,"Rs 51,91,991  ~ 51 Lacs+","Rs 14,10,000  ~ 14 Lacs+",Jammu and Kashmir
Raj Kumar,IND,3,10th Pass,49,"Rs 1,30,04,000  ~ 1 Crore+",Rs 0  ~,Jammu and Kashmir
Rajesh Manchanda,IND,0,12th Pass,56,"Rs 1,36,00,000  ~ 1 Crore+","Rs 14,00,000  ~ 14 Lacs+",Jammu and Kashmir
Raman Bhalla,INC,0,Graduate Professional,61,"Rs 9,18,36,822  ~ 9 Crore+","Rs 81,81,299  ~ 81 Lacs+",Jammu and Kashmir
Rattan Lal,Jammu & Kashmir People Conference,0,10th Pass,50,,,Jammu and Kashmir
Ravinder Singh,IND,0,Illiterate,49,"Rs 1,46,51,000  ~ 1 Crore+","Rs 6,00,000  ~ 6 Lacs+",Jammu and Kashmir
Riyaz Ahmad Bhat,IND,0,10th Pass,51,"Rs 84,00,000  ~ 84 Lacs+","Rs 3,00,000  ~ 3 Lacs+",Jammu and Kashmir
Rubina Akhter,National Loktantrik Party,0,12th Pass,40,"Rs 20,000  ~ 20 Thou+",Rs 0  ~,Jammu and Kashmir
Sachin Gupta,IND,0,Graduate,37,"Rs 3,04,265  ~ 3 Lacs+",Rs 0  ~,Jammu and Kashmir
Sajad Ahmad Dar,IND,1,12th Pass,33,,,Jammu and Kashmir
Sajad Ahmad Dar,IND,1,12th Pass,33,"Rs 7,52,500  ~ 7 Lacs+",Rs 0  ~,Jammu and Kashmir
Sajad Gani Lone,Jammu & Kashmir People Conference,0,Graduate,57,"Rs 20,60,66,730  ~ 20 Crore+","Rs 6,94,26,484  ~ 6 Crore+",Jammu and Kashmir
Satish Poonchi,IND,0,10th Pass,75,"Rs 1,34,80,000  ~ 1 Crore+",Rs 0  ~,Jammu and Kashmir
Sayim Mustafa,IND,0,Post Graduate,36,"Rs 2,00,000  ~ 2 Lacs+",Rs 0  ~,Jammu and Kashmir
Shaber Ahmed,IND,0,Graduate,38,,,Jammu and Kashmir
Shabir Ahmad Dar,IND,0,Post Graduate,43,"Rs 35,000  ~ 35 Thou+",Rs 0  ~,Jammu and Kashmir
Shadib Hanief Khan,IND,0,8th Pass,35,"Rs 2,96,000  ~ 2 Lacs+",Rs 0  ~,Jammu and Kashmir
Shafeeqa Begum,IND,0,Illiterate,54,"Rs 40,70,000  ~ 40 Lacs+",Rs 0  ~,Jammu and Kashmir
Shahnaz Hussain Shah,IND,0,12th Pass,44,"Rs 40,00,000  ~ 40 Lacs+","Rs 5,00,000  ~ 5 Lacs+",Jammu and Kashmir
Sheeban Ashai,IND,0,Graduate Professional,33,,,Jammu and Kashmir
Sheikh Muzafar Ahmed,Jammu and Kashmir Nationalist Peoples Front,0,Graduate Professional,62,"Rs 85,95,000  ~ 85 Lacs+",Rs 0  ~,Jammu and Kashmir
Shikha Bandral,National Awami United Party,0,Graduate,30,"Rs 20,04,723  ~ 20 Lacs+",Rs 0  ~,Jammu and Kashmir
Sudarshan Singh,National Awami United Party,0,10th Pass,57,"Rs 20,37,100  ~ 20 Lacs+",Rs 0  ~,Jammu and Kashmir
Suraiya Nissar,IND,0,Graduate,32,"Rs 4,65,850  ~ 4 Lacs+","Rs 2,40,000  ~ 2 Lacs+",Jammu and Kashmir
Surinder Singh,IND,0,Graduate,66,,,Jammu and Kashmir
Sushil Kumar Sharma,IND,0,12th Pass,31,"Rs 50,000  ~ 50 Thou+","Rs 14,40,000  ~ 14 Lacs+",Jammu and Kashmir
Swami Divya Nand,Jammu and Kashmir Nationalist Peoples Front,0,Literate,60,"Rs 25,000  ~ 25 Thou+","Rs 4,00,000  ~ 4 Lacs+",Jammu and Kashmir
Swarn Veer Singh Jaral,IND,0,Post Graduate,30,"Rs 2,10,000  ~ 2 Lacs+",Rs 0  ~,Jammu and Kashmir
Syed Ameer Suhail,IND,0,Post Graduate,33,"Rs 5,10,000  ~ 5 Lacs+",Rs 0  ~,Jammu and Kashmir
Vicky Kumar Dogra,IND,3,10th Pass,38,,,Jammu and Kashmir
Waheed Ur Rehman Para,Jammu & Kashmir Peoples Democratic Party,2,Post Graduate,36,"Rs 2,69,26,000  ~ 2 Crore+",Rs 0  ~,Jammu and Kashmir
Waheeda Tabasum Shah,IND,0,Graduate Professional,49,"Rs 1,00,00,000  ~ 1 Crore+",Rs 0  ~,Jammu and Kashmir
Waseem Hassan Sheikh,IND,0,12th Pass,28,"Rs 2,40,000  ~ 2 Lacs+",Rs 0  ~,Jammu and Kashmir
Younis Ahmad Mir,Bharat Jodo Party,0,8th Pass,34,"Rs 23,00,000  ~ 23 Lacs+",Rs 0  ~,Jammu and Kashmir
Zafar Iqbal Khan Manhas,Jammu and Kashmir Apni Party,0,Post Graduate,70,,,Jammu and Kashmir
Abhishek Kumar,IND,1,12th Pass,37,"Rs 12,70,000  ~ 12 Lacs+","Rs 2,80,000  ~ 2 Lacs+",Jharkhand
Ainul Ansari,IND,2,Others,35,"Rs 63,33,576  ~ 63 Lacs+",Rs 0  ~,Jharkhand
Ajay Krishna,Moolniwasi Samaj Party,2,12th Pass,55,"Rs 70,26,000  ~ 70 Lacs+","Rs 6,50,000  ~ 6 Lacs+",Jharkhand
Ajit Marandi,Rashtriya Jansambhavna Party,1,Graduate,52,"Rs 50,900  ~ 50 Thou+",Rs 0  ~,Jharkhand
Akbar Ali,Akhil Bhartiya Parivar Party,0,Graduate,31,,,Jharkhand
Akleshwar Saw,Lokhit Adhikar Party,0,8th Pass,49,"Rs 42,27,600  ~ 42 Lacs+",Rs 0  ~,Jharkhand
Alesh Hansda,Indian National Socialistic Action Forces,0,10th Pass,51,"Rs 7,55,000  ~ 7 Lacs+","Rs 50,000  ~ 50 Thou+",Jharkhand
Amit Kumar Singh,IND,0,10th Pass,41,"Rs 25,77,500  ~ 25 Lacs+",Rs 0  ~,Jharkhand
Anand Mukhi,IND,0,10th Pass,44,"Rs 1,29,500  ~ 1 Lacs+",Rs 0  ~,Jharkhand
Angad Mahato,Amra Bangalee,0,10th Pass,55,,,Jharkhand
Anil Tudu,Lokhit Adhikar Party,0,12th Pass,35,"Rs 26,07,000  ~ 26 Lacs+",Rs 0  ~,Jharkhand
Aniruddh Kumar,CPI,2,Post Graduate,50,"Rs 1,63,05,948  ~ 1 Crore+","Rs 4,10,332  ~ 4 Lacs+",Jharkhand
Anjani Pandey,IND,0,Graduate Professional,66,"Rs 50,000  ~ 50 Thou+",Rs 0  ~,Jharkhand
Annpurna Devi,BJP,2,Post Graduate,55,"Rs 12,82,82,857  ~ 12 Crore+","Rs 78,85,853  ~ 78 Lacs+",Jharkhand
Anup Kumar,"Proutist Bloc, India",0,Post Graduate,36,,,Jharkhand
Anupama Singh,INC,0,12th Pass,38,"Rs 8,41,84,001  ~ 8 Crore+","Rs 8,73,08,518  ~ 8 Crore+",Jharkhand
Arjun Kumar,CPI,1,10th Pass,39,"Rs 50,27,000  ~ 50 Lacs+","Rs 90,000  ~ 90 Thou+",Jharkhand
Arjun Munda,BJP,1,Graduate Professional,55,"Rs 16,56,55,057  ~ 16 Crore+","Rs 2,42,92,905  ~ 2 Crore+",Jharkhand
Arjun Prajapati,IND,0,8th Pass,64,"Rs 68,85,000  ~ 68 Lacs+",Rs 0  ~,Jharkhand
Arjun Toppo,IND,0,12th Pass,47,,,Jharkhand
Arpan Deo Bhagat,IND,0,Post Graduate,34,"Rs 6,33,285  ~ 6 Lacs+","Rs 4,00,000  ~ 4 Lacs+",Jharkhand
